,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
0,122.14,128.75,122.57,127.63,123.87,123.19,123.19,123.21,124.47,123.2,123.2,125.23,125.04,125.04,125.03,124.96,124.85,124.98,124.26,125.14,124.96,124.96,125.1,124.93,124.93,124.49,124.99,124.68,124.99,124.75,124.76,124.76,124.8,124.8,125.13,124.94,124.94,124.78,124.78,125.06,124.82,124.75,124.82,124.82,124.82,124.82,124.92,124.92,124.77,124.77,124.77,124.77,124.9,124.9,124.91,124.84,124.84,124.85,124.85
1,-167.88,-174.54,-169.5,-173.89,-170.39,-169.79,-169.79,-169.57,-170.91,-169.76,-169.76,-171.68,-171.43,-171.43,-171.43,-171.38,-171.27,-171.4,-170.67,-171.59,-171.4,-171.4,-171.51,-171.36,-171.36,-170.92,-171.43,-171.11,-171.43,-171.19,-171.21,-171.21,-171.23,-171.23,-171.55,-171.38,-171.38,-171.2,-171.2,-171.48,-171.26,-171.19,-171.24,-171.24,-171.24,-171.24,-171.34,-171.34,-171.2,-171.2,-171.2,-171.2,-171.33,-171.33,-171.33,-171.27,-171.27,-171.28,-171.28
2,-5.9154,-6.1078,-5.7407,-6.2923,-6.0233,-5.9216,-5.9216,-6.1638,-6.0695,-5.9511,-5.9511,-6.0599,-6.1281,-6.1281,-6.1238,-6.1109,-6.1015,-6.1026,-6.1062,-6.0775,-6.087,-6.087,-6.1087,-6.1007,-6.1007,-6.0857,-6.0839,-6.0843,-6.0904,-6.0855,-6.0796,-6.0796,-6.0946,-6.0946,-6.0998,-6.0834,-6.0834,-6.1087,-6.1087,-6.1004,-6.0864,-6.0819,-6.098,-6.098,-6.098,-6.098,-6.103,-6.103,-6.0907,-6.0907,-6.0907,-6.0907,-6.0976,-6.0976,-6.0994,-6.0865,-6.0865,-6.0935,-6.0935
3,-0.025498,-0.027598,-0.033625,-0.031311,-0.031957,-0.031785,-0.031785,-0.030883,-0.028987,-0.03029,-0.03029,-0.02931,-0.031775,-0.031775,-0.032231,-0.03097,-0.031093,-0.031255,-0.030222,-0.030183,-0.031475,-0.031475,-0.030488,-0.030247,-0.030247,-0.030725,-0.030776,-0.030701,-0.030741,-0.030814,-0.031146,-0.031146,-0.030827,-0.030827,-0.030826,-0.030703,-0.030703,-0.0309,-0.0309,-0.03092,-0.031109,-0.030476,-0.030981,-0.030981,-0.030981,-0.030981,-0.031028,-0.031028,-0.031109,-0.031109,-0.031109,-0.031109,-0.030862,-0.030862,-0.030851,-0.030915,-0.030915,-0.030797,-0.030797
4,-0.00028432,-0.00029284,-0.00039164,-0.00036719,-0.00036711,-0.00037464,-0.00037464,-0.00034,-0.00032319,-0.00034076,-0.00034076,-0.0003301,-0.0003654,-0.0003654,-0.00037508,-0.00035047,-0.00035676,-0.00035658,-0.0003437,-0.00034344,-0.00035969,-0.00035969,-0.0003472,-0.00034117,-0.00034117,-0.0003482,-0.00035062,-0.00034975,-0.00034871,-0.00035006,-0.0003558,-0.0003558,-0.00035124,-0.00035124,-0.00035109,-0.00034921,-0.00034921,-0.00035185,-0.00035185,-0.00035234,-0.00035576,-0.00034631,-0.00035221,-0.00035221,-0.00035221,-0.00035221,-0.00035375,-0.00035375,-0.00035524,-0.00035524,-0.00035524,-0.00035524,-0.00035162,-0.00035162,-0.00035129,-0.00035234,-0.00035234,-0.0003505,-0.0003505
5,1.9462,2.3967,2.1743,2.2356,2.2062,2.1876,2.1876,2.195,2.2075,2.1895,2.1895,2.2123,2.1939,2.1939,2.1974,2.2006,2.1946,2.1907,2.195,2.1902,2.1934,2.1934,2.1932,2.1934,2.1934,2.1938,2.1931,2.1932,2.1929,2.1941,2.1935,2.1935,2.1935,2.1935,2.1942,2.194,2.194,2.1936,2.1936,2.1935,2.1936,2.1935,2.1936,2.1936,2.1936,2.1936,2.1936,2.1936,2.1935,2.1935,2.1935,2.1935,2.1935,2.1935,2.1934,2.1935,2.1935,2.1935,2.1935
6,0.75108,0.86433,0.76639,0.6691,0.75894,0.70962,0.70962,0.7111,0.69058,0.72079,0.72079,0.6981,0.71011,0.71011,0.71696,0.71451,0.71867,0.72037,0.71909,0.72144,0.72111,0.72111,0.7197,0.71866,0.71866,0.71938,0.72044,0.71924,0.71943,0.71793,0.7199,0.7199,0.71968,0.71968,0.71878,0.71904,0.71904,0.71952,0.71952,0.71954,0.71935,0.71949,0.71923,0.71923,0.71923,0.71923,0.71912,0.71912,0.71923,0.71923,0.71923,0.71923,0.71938,0.71938,0.71943,0.71938,0.71938,0.71931,0.71931
7,0.0082878,0.0080233,0.010741,0.0094826,0.0078698,0.010354,0.010354,0.008412,0.010303,0.0095287,0.0095287,0.0096516,0.010598,0.010598,0.010079,0.0089782,0.0099181,0.010098,0.0096048,0.0096975,0.0097378,0.0097378,0.0096156,0.0096434,0.0096434,0.0095374,0.0095016,0.0098168,0.0098571,0.0097491,0.0096241,0.0096241,0.0096023,0.0096023,0.009791,0.0098487,0.0098487,0.0097962,0.0097962,0.0098085,0.0098217,0.0096756,0.0097427,0.0097427,0.0097427,0.0097427,0.0096968,0.0096968,0.0097305,0.0097305,0.0097305,0.0097305,0.009758,0.009758,0.0097381,0.0097465,0.0097465,0.0097332,0.0097332
8,0.00144,0.0069316,0.0010211,0.0013266,0.0036514,0.00087964,0.00087964,0.0020283,0.00092107,0.0014981,0.0014981,0.0010283,0.00082276,0.00082276,0.00091634,0.0014864,0.00099089,0.00094088,0.0011396,0.0011089,0.0010676,0.0010676,0.0011039,0.0010995,0.0010995,0.0011634,0.0011719,0.0010239,0.0010106,0.0010388,0.0011025,0.0011025,0.0011143,0.0011143,0.0010187,0.00099474,0.00099474,0.0010193,0.0010193,0.0010113,0.0010062,0.0010812,0.0010441,0.0010441,0.0010441,0.0010441,0.001069,0.001069,0.0010516,0.0010516,0.0010516,0.0010516,0.0010354,0.0010354,0.0010453,0.0010428,0.0010428,0.0010479,0.0010479
9,-4.791e-05,0.00025548,-1.9208e-05,-3.6941e-05,1.0765e-05,-4.7717e-05,-4.7717e-05,-4.4258e-05,-4.5808e-05,-4.4464e-05,-4.4464e-05,-4.1219e-05,-3.5373e-05,-3.5373e-05,-2.8138e-05,-2.1557e-05,-4.1221e-05,-2.44e-05,-2.4595e-05,-2.75e-05,-2.253e-05,-2.253e-05,-2.0419e-05,-2.613e-05,-2.613e-05,-2.0763e-05,-1.6743e-05,-2.4339e-05,-3.2943e-05,-2.4011e-05,-1.8439e-05,-1.8439e-05,-1.822e-05,-1.822e-05,-2.1708e-05,-2.4944e-05,-2.4944e-05,-2.1243e-05,-2.1243e-05,-2.1222e-05,-2.2586e-05,-2.1486e-05,-2.0394e-05,-2.0394e-05,-2.0394e-05,-2.0394e-05,-2.0036e-05,-2.0036e-05,-2.0541e-05,-2.0541e-05,-2.0541e-05,-2.0541e-05,-2.0782e-05,-2.0782e-05,-2.0704e-05,-2.0577e-05,-2.0577e-05,-2.0556e-05,-2.0556e-05
10,5.8253e-07,1.8575e-05,2.7846e-06,-1.0311e-06,7.4521e-07,5.8163e-07,5.8163e-07,-7.7173e-07,2.2811e-07,-1.272e-06,-1.272e-06,-8.246e-07,9.4003e-08,9.4003e-08,7.1197e-07,-9.6083e-07,-3.5198e-07,-1.0064e-06,7.3504e-07,-5.3873e-07,-4.254e-07,-4.254e-07,2.907e-07,7.3048e-07,7.3048e-07,2.8159e-07,-6.832e-07,1.2905e-06,-1.7233e-07,-7.4091e-08,-3.0012e-07,-3.0012e-07,1.6565e-07,1.6565e-07,-4.65e-07,3.1849e-07,3.1849e-07,-6.4868e-07,-6.4868e-07,-5.8941e-07,1.8478e-07,-9.7539e-08,-4.9962e-07,-4.9962e-07,-4.9962e-07,-4.9962e-07,-2.565e-07,-2.565e-07,-4.1621e-07,-4.1621e-07,-4.1621e-07,-4.1621e-07,-3.3824e-07,-3.3824e-07,-2.8685e-07,-1.7534e-07,-1.7534e-07,-4.8383e-07,-4.8383e-07
11,,-3.0108e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
