,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,246.51,241.55,240.51,233.35,231.33,233.98,233.65,231.94,235.48,234.85,233.47,232.94,234.56,233.8,233.36,232.86,234.34,233.86,233.75,233.5,233.23,233.89,233.37,233.63,233.27,234.02,233.76,233.46,233.82,234.04,233.51,233.88,233.77,233.87,233.66,233.66,233.67,233.75,233.67,233.61,233.83,233.74,233.75,233.75,234.0,233.69,233.68,233.68
1,-306.43,-299.2,-298.43,-292.01,-290.29,-292.76,-292.79,-291.22,-294.11,-293.67,-292.35,-291.94,-293.49,-292.77,-292.37,-291.96,-293.2,-292.84,-292.74,-292.47,-292.25,-292.82,-292.37,-292.55,-292.21,-292.94,-292.71,-292.43,-292.74,-292.97,-292.45,-292.81,-292.72,-292.77,-292.62,-292.62,-292.64,-292.66,-292.62,-292.58,-292.78,-292.69,-292.68,-292.68,-292.91,-292.63,-292.64,-292.64
2,-20.042,-21.194,-20.534,-19.708,-19.499,-19.671,-19.385,-19.214,-19.87,-19.668,-19.61,-19.502,-19.558,-19.526,-19.479,-19.396,-19.63,-19.51,-19.499,-19.519,-19.471,-19.557,-19.493,-19.566,-19.555,-19.574,-19.542,-19.524,-19.57,-19.56,-19.551,-19.554,-19.542,-19.586,-19.523,-19.523,-19.521,-19.574,-19.534,-19.526,-19.543,-19.542,-19.562,-19.56,-19.58,-19.549,-19.527,-19.527
3,-0.34111,-0.36699,-0.3456,-0.33352,-0.33147,-0.33002,-0.31985,-0.31976,-0.33397,-0.33102,-0.32867,-0.32656,-0.32759,-0.32689,-0.32734,-0.32475,-0.3286,-0.3269,-0.32599,-0.32801,-0.32675,-0.32881,-0.32669,-0.32826,-0.32865,-0.32836,-0.32805,-0.32785,-0.3285,-0.32893,-0.32881,-0.32798,-0.3283,-0.32889,-0.32773,-0.32773,-0.32732,-0.32842,-0.32779,-0.3277,-0.32825,-0.32789,-0.3283,-0.32839,-0.32861,-0.32819,-0.32787,-0.32787
4,-0.0061246,-0.013575,-0.012513,-0.010392,-0.01131,-0.011435,-0.010621,-0.010106,-0.01064,-0.011314,-0.011259,-0.010939,-0.010839,-0.010626,-0.010484,-0.010689,-0.010415,-0.010715,-0.010388,-0.010562,-0.010666,-0.010739,-0.010666,-0.010656,-0.010681,-0.010561,-0.010641,-0.01059,-0.010506,-0.010692,-0.010653,-0.010688,-0.010594,-0.010592,-0.010643,-0.010643,-0.010577,-0.010572,-0.010645,-0.010607,-0.010667,-0.010607,-0.010619,-0.01065,-0.010671,-0.010661,-0.010575,-0.010575
5,3.4952,3.0642,3.1164,3.3159,3.293,3.2248,3.2958,3.281,3.306,3.2894,3.2952,3.3039,3.3012,3.2919,3.2921,3.2949,3.2898,3.2936,3.2899,3.2911,3.2906,3.2923,3.289,3.2895,3.2898,3.2898,3.2885,3.2901,3.2903,3.2894,3.2899,3.29,3.2895,3.2905,3.2898,3.2898,3.2899,3.2899,3.29,3.29,3.29,3.2898,3.2898,3.2899,3.29,3.2899,3.2899,3.2899
6,1.2096,1.0399,1.0742,1.1097,1.0749,1.0985,1.0994,1.061,1.0789,1.0836,1.0817,1.0754,1.068,1.0803,1.087,1.0813,1.0811,1.0777,1.0781,1.0808,1.0792,1.0795,1.0822,1.0802,1.0786,1.0794,1.0816,1.08,1.0803,1.0804,1.0798,1.0801,1.0806,1.08,1.0802,1.0802,1.08,1.0797,1.0799,1.0797,1.0801,1.08,1.0802,1.08,1.08,1.0799,1.08,1.08
7,0.014674,0.013607,0.011585,0.0097495,0.011374,0.014123,0.010501,0.014787,0.012949,0.011533,0.014173,0.012673,0.011339,0.012827,0.012407,0.012248,0.013172,0.01322,0.014057,0.012607,0.013199,0.013101,0.012793,0.013024,0.013178,0.013381,0.013364,0.013224,0.013299,0.013304,0.01336,0.013321,0.012962,0.013128,0.013138,0.013138,0.013207,0.013262,0.013383,0.013269,0.013262,0.01322,0.01326,0.013217,0.013211,0.013257,0.013215,0.013215
8,0.0024093,0.001921,0.0038039,0.0046823,0.0031344,0.0015334,0.0039894,0.0011873,0.0019037,0.0027038,0.0014366,0.0019622,0.0026649,0.0018819,0.0021218,0.0022297,0.001714,0.0016008,0.0012778,0.0019586,0.0016211,0.0016798,0.0018832,0.0017188,0.0016293,0.0015313,0.0015361,0.0016035,0.0015575,0.0015598,0.0015288,0.0015456,0.0017379,0.0016413,0.0016397,0.0016397,0.0016028,0.0015793,0.0015201,0.0015727,0.0015796,0.0015986,0.0015792,0.0016019,0.0016003,0.001581,0.0016003,0.0016003
9,9.8058e-06,7.2935e-05,-4.4516e-06,-2.8751e-05,-4.7341e-05,-6.8121e-05,-7.3989e-05,-6.9941e-05,-9.315e-05,-8.2058e-05,-7.7111e-05,-9.0193e-05,-0.00010033,-9.1118e-05,-8.6243e-05,-8.5148e-05,-9.2746e-05,-8.401e-05,-7.9615e-05,-8.3042e-05,-7.049e-05,-7.5842e-05,-7.7823e-05,-7.3244e-05,-7.2928e-05,-7.5211e-05,-7.0466e-05,-7.1899e-05,-6.9504e-05,-7.1163e-05,-6.87e-05,-6.8488e-05,-7.0304e-05,-6.8999e-05,-6.8492e-05,-6.8492e-05,-6.7886e-05,-6.9243e-05,-6.9314e-05,-6.8319e-05,-6.869e-05,-6.8841e-05,-6.9049e-05,-6.9787e-05,-6.8441e-05,-6.8596e-05,-6.8188e-05,-6.8188e-05
