,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
0,356.19,358.59,360.55,361.88,361.88,361.65,364.92,362.68,360.75,363.57,362.62,364.84,362.45,362.58,363.92,363.1,362.01,363.16,362.91,362.95,362.29,363.57,363.57,362.53,363.38,363.22,363.01,363.0,362.9,362.73,362.76,363.35,362.71,363.35,363.05,363.2,363.16,362.88,363.49,362.91,363.15,363.48,362.89,363.29,363.43,363.28,363.28,363.42,363.18,363.16,363.06,363.37,362.95,363.26,363.29,363.3,363.27,362.99,363.2,363.12,362.99,363.35,363.35,363.31,363.56,363.17,363.22
1,-418.85,-420.58,-421.58,-424.24,-424.24,-423.34,-426.53,-424.86,-422.63,-425.68,-424.59,-426.55,-424.15,-424.89,-425.52,-424.99,-424.21,-424.98,-424.97,-424.95,-424.39,-425.33,-425.58,-424.65,-425.23,-425.36,-425.08,-425.05,-424.96,-424.87,-424.75,-425.34,-424.84,-425.35,-425.16,-425.23,-425.15,-424.93,-425.47,-424.96,-425.14,-425.48,-424.99,-425.34,-425.38,-425.23,-425.23,-425.35,-425.2,-425.2,-425.09,-425.36,-424.98,-425.25,-425.25,-425.33,-425.25,-424.98,-425.23,-425.17,-425.01,-425.35,-425.35,-425.31,-425.53,-425.16,-425.22
2,-41.98,-41.753,-42.621,-41.47,-41.47,-41.969,-42.183,-41.62,-41.903,-41.672,-41.826,-42.076,-42.04,-41.49,-42.168,-41.899,-41.586,-41.952,-41.724,-41.781,-41.677,-41.999,-41.768,-41.664,-41.918,-41.649,-41.724,-41.733,-41.723,-41.651,-41.79,-41.797,-41.657,-41.778,-41.676,-41.755,-41.786,-41.733,-41.802,-41.739,-41.792,-41.781,-41.685,-41.735,-41.826,-41.828,-41.828,-41.847,-41.763,-41.742,-41.744,-41.794,-41.75,-41.79,-41.826,-41.756,-41.792,-41.783,-41.757,-41.731,-41.759,-41.786,-41.786,-41.786,-41.809,-41.787,-41.789
3,-1.2807,-1.3086,-1.3996,-1.2321,-1.2321,-1.3289,-1.2957,-1.2679,-1.285,-1.28,-1.2724,-1.2817,-1.3094,-1.2614,-1.293,-1.2707,-1.2816,-1.2932,-1.279,-1.2746,-1.2826,-1.2993,-1.2851,-1.274,-1.2914,-1.2744,-1.2727,-1.2856,-1.2761,-1.274,-1.282,-1.2811,-1.2776,-1.2805,-1.2777,-1.2801,-1.2811,-1.2782,-1.2811,-1.2808,-1.2796,-1.2798,-1.2761,-1.278,-1.2843,-1.2791,-1.2791,-1.2856,-1.2804,-1.2798,-1.2788,-1.2826,-1.2796,-1.2811,-1.2822,-1.281,-1.284,-1.2814,-1.2783,-1.2779,-1.2784,-1.2789,-1.2789,-1.2806,-1.2797,-1.2828,-1.2812
4,-0.049259,-0.042843,-0.0451,-0.040744,-0.040744,-0.043596,-0.042825,-0.042773,-0.04182,-0.041322,-0.042798,-0.04228,-0.042849,-0.040881,-0.041531,-0.041255,-0.042992,-0.042564,-0.042102,-0.042137,-0.041838,-0.042281,-0.042237,-0.042249,-0.041781,-0.042035,-0.041758,-0.042174,-0.041988,-0.04176,-0.042152,-0.041874,-0.041682,-0.041973,-0.04199,-0.041813,-0.042114,-0.041995,-0.042155,-0.042146,-0.042004,-0.04207,-0.042014,-0.041895,-0.042018,-0.042198,-0.042198,-0.042316,-0.042214,-0.042241,-0.042301,-0.042185,-0.042173,-0.042146,-0.042201,-0.04209,-0.042264,-0.042083,-0.042115,-0.042213,-0.042132,-0.04212,-0.04212,-0.042027,-0.042093,-0.042198,-0.042323
5,4.6177,4.5079,4.4692,4.3871,4.3871,4.3843,4.3845,4.4017,4.378,4.3874,4.3957,4.395,4.3696,4.394,4.3678,4.3892,4.3849,4.3912,4.382,4.3824,4.3863,4.3812,4.3894,4.3878,4.3825,4.3833,4.3861,4.3819,4.3873,4.3867,4.3848,4.3857,4.3856,4.3865,4.3852,4.3848,4.3846,4.3855,4.3848,4.3853,4.3853,4.3848,4.3851,4.3846,4.3847,4.3851,4.3851,4.385,4.3847,4.3847,4.3848,4.3847,4.3846,4.3845,4.3846,4.3849,4.3848,4.3847,4.385,4.3848,4.3848,4.3847,4.3847,4.3847,4.3848,4.3847,4.3848
6,1.6195,1.5478,1.4538,1.3901,1.3901,1.4353,1.4447,1.4253,1.4471,1.4243,1.4411,1.4343,1.4427,1.4388,1.4549,1.4399,1.4422,1.427,1.4411,1.4392,1.4413,1.4421,1.4386,1.4356,1.4445,1.4428,1.4395,1.4421,1.4386,1.4388,1.4404,1.4398,1.4401,1.4395,1.4404,1.4399,1.4397,1.4406,1.44,1.4396,1.4395,1.4403,1.4394,1.4407,1.4408,1.4398,1.4398,1.44,1.4404,1.4404,1.4401,1.4402,1.4405,1.4406,1.4406,1.4401,1.4403,1.4402,1.44,1.4402,1.4401,1.4403,1.4403,1.4403,1.4403,1.4402,1.4401
7,0.019988,0.01649,0.012461,0.012889,0.012889,0.016204,0.01593,0.016557,0.015554,0.016453,0.016539,0.016613,0.018112,0.016876,0.015739,0.017703,0.016353,0.018223,0.017584,0.016734,0.016649,0.016284,0.017283,0.017716,0.016235,0.016361,0.017,0.016759,0.016997,0.016769,0.016689,0.016809,0.016543,0.016869,0.016564,0.016737,0.01684,0.01679,0.016754,0.016695,0.016813,0.01672,0.016694,0.01696,0.016862,0.01694,0.01694,0.01694,0.016913,0.016836,0.016815,0.016833,0.016824,0.016817,0.016798,0.016826,0.016854,0.016796,0.016811,0.016812,0.016823,0.016812,0.016812,0.016803,0.016829,0.016791,0.016819
8,0.0018647,0.0033359,0.0070294,0.00549,0.00549,0.0027485,0.0029913,0.0025469,0.0032064,0.0024284,0.0024301,0.0024075,0.0017559,0.0022458,0.002981,0.0019032,0.0024778,0.0015827,0.0018805,0.0022332,0.0022811,0.0024767,0.0019868,0.0018169,0.0025425,0.0024824,0.0020983,0.0021985,0.0020733,0.0021759,0.0022479,0.0021757,0.0023184,0.0021425,0.0022987,0.002212,0.0021685,0.0021841,0.0022052,0.0022282,0.0021733,0.0022201,0.0022341,0.0021017,0.0021451,0.0021041,0.0021041,0.0021043,0.0021175,0.0021606,0.0021735,0.0021639,0.0021698,0.0021714,0.0021823,0.0021667,0.0021517,0.0021797,0.0021701,0.0021722,0.0021683,0.0021737,0.0021737,0.0021757,0.0021635,0.0021846,0.0021667
9,8.5323e-05,0.00032327,-1.3002e-05,-1.6809e-05,-1.6809e-05,-3.4712e-05,-9.8864e-05,-7.907e-05,-0.00010708,-6.8234e-05,-9.406e-05,-0.00010164,-0.00011632,-0.00010533,-0.0001243,-9.6438e-05,-0.00010789,-0.00010209,-7.6177e-05,-9.1625e-05,-0.00010166,-9.0966e-05,-9.4994e-05,-9.9536e-05,-0.00010006,-8.5897e-05,-0.00010113,-9.1115e-05,-9.3848e-05,-9.3564e-05,-9.2325e-05,-9.1737e-05,-8.5424e-05,-9.3596e-05,-9.0822e-05,-9.0131e-05,-9.4456e-05,-8.249e-05,-9.1411e-05,-9.0605e-05,-9.3312e-05,-8.8128e-05,-9.2865e-05,-9.1746e-05,-9.0342e-05,-9.057e-05,-9.057e-05,-9.2212e-05,-9.185e-05,-9.2202e-05,-8.9734e-05,-9.1667e-05,-9.1714e-05,-9.1488e-05,-9.144e-05,-9.1783e-05,-9.1555e-05,-9.2008e-05,-9.1454e-05,-9.1271e-05,-8.8976e-05,-9.1354e-05,-9.1354e-05,-9.1264e-05,-9.0583e-05,-9.1833e-05,-9.1483e-05
