,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0,536.6,536.6,525.46,527.8,525.29,524.77,523.39,524.46,527.69,525.45,524.72,524.98,524.46,526.04,524.79,525.46,525.34,524.31,524.55,524.74,524.74,523.86,524.75,523.9,524.26,525.85,524.82,524.86,524.68,524.32,524.58,524.86,525.22,524.19,524.63,525.01,524.84,524.35,524.52,524.61,524.76,524.94,524.71,524.48,524.86,524.48,525.07,524.74,524.74,524.68,524.7,524.46,524.75,525.13,524.65,524.72,524.47
1,-600.24,-600.24,-589.9,-592.33,-590.26,-590.11,-588.86,-590.07,-592.69,-590.79,-590.55,-590.35,-590.0,-591.15,-590.08,-590.33,-590.63,-589.73,-589.65,-590.07,-590.07,-589.33,-589.87,-589.22,-589.53,-591.02,-589.88,-590.05,-589.89,-589.56,-589.81,-590.04,-590.28,-589.46,-589.82,-590.14,-589.96,-589.57,-589.74,-589.85,-589.86,-590.11,-589.93,-589.7,-590.03,-589.66,-590.14,-589.93,-589.93,-589.92,-589.88,-589.74,-589.94,-590.31,-589.91,-589.91,-589.67
2,-64.562,-64.562,-64.287,-64.221,-63.672,-63.51,-63.298,-63.198,-63.748,-63.423,-62.973,-63.422,-63.228,-63.655,-63.491,-63.855,-63.48,-63.36,-63.652,-63.437,-63.437,-63.311,-63.641,-63.44,-63.497,-63.588,-63.694,-63.571,-63.548,-63.518,-63.536,-63.58,-63.696,-63.496,-63.566,-63.62,-63.639,-63.556,-63.551,-63.535,-63.663,-63.599,-63.545,-63.545,-63.589,-63.584,-63.686,-63.572,-63.572,-63.522,-63.581,-63.489,-63.57,-63.578,-63.511,-63.566,-63.573
3,-2.6649,-2.6649,-2.5891,-2.618,-2.5679,-2.5517,-2.52,-2.503,-2.5238,-2.5529,-2.507,-2.5147,-2.5384,-2.5417,-2.5266,-2.5708,-2.5334,-2.5237,-2.5537,-2.5364,-2.5364,-2.5233,-2.5494,-2.543,-2.5344,-2.542,-2.5501,-2.5344,-2.5411,-2.5383,-2.5397,-2.5434,-2.5433,-2.5329,-2.5453,-2.5511,-2.5428,-2.5357,-2.5374,-2.5359,-2.5465,-2.5391,-2.538,-2.5407,-2.5441,-2.5429,-2.5483,-2.5436,-2.5436,-2.538,-2.539,-2.5322,-2.5413,-2.5383,-2.5323,-2.539,-2.5394
4,-0.077782,-0.077782,-0.076076,-0.074772,-0.075841,-0.073968,-0.074689,-0.075125,-0.074816,-0.075665,-0.074463,-0.074446,-0.075467,-0.074897,-0.075317,-0.076007,-0.075316,-0.07493,-0.075846,-0.07538,-0.07538,-0.074928,-0.075276,-0.07529,-0.075052,-0.075525,-0.075413,-0.07516,-0.075318,-0.075226,-0.075243,-0.075284,-0.075212,-0.075163,-0.075395,-0.075488,-0.075271,-0.075154,-0.075285,-0.075279,-0.075508,-0.075358,-0.075275,-0.075325,-0.075419,-0.075312,-0.075418,-0.075341,-0.075341,-0.075247,-0.075352,-0.075141,-0.075338,-0.075295,-0.075123,-0.075303,-0.075274
5,5.2808,5.2808,5.3478,5.5176,5.5253,5.4355,5.5637,5.4589,5.4291,5.5,5.4761,5.4934,5.4817,5.4945,5.4713,5.4777,5.4838,5.4822,5.4762,5.4801,5.4801,5.4825,5.4746,5.479,5.48,5.4797,5.4775,5.4791,5.4788,5.4799,5.4802,5.478,5.4785,5.4788,5.4786,5.479,5.479,5.4792,5.4791,5.4789,5.4791,5.4791,5.4793,5.4795,5.4793,5.4795,5.4787,5.4791,5.4791,5.4793,5.479,5.4791,5.4791,5.4793,5.4792,5.4792,5.4793
6,1.7612,1.7612,1.7769,1.7982,1.8023,1.8636,1.8212,1.811,1.8133,1.8085,1.8102,1.8029,1.8043,1.7925,1.8113,1.7965,1.8019,1.804,1.8106,1.7974,1.7974,1.7976,1.8055,1.8005,1.802,1.8017,1.8028,1.7996,1.801,1.7989,1.7991,1.8028,1.8014,1.8013,1.8009,1.7996,1.8013,1.8012,1.8008,1.8008,1.8009,1.8008,1.8002,1.8001,1.8004,1.8001,1.8012,1.8007,1.8007,1.8006,1.8006,1.8006,1.8007,1.8006,1.8005,1.8006,1.8005
7,0.024977,0.024977,0.018687,0.018653,0.017388,0.019601,0.01946,0.022068,0.022201,0.020036,0.020306,0.019553,0.020701,0.02135,0.019904,0.020052,0.020643,0.020511,0.020657,0.021334,0.021334,0.020961,0.020757,0.020793,0.02022,0.019831,0.020185,0.020488,0.020678,0.021008,0.020413,0.020832,0.020647,0.020419,0.020225,0.020334,0.020582,0.020668,0.020686,0.020486,0.020683,0.020632,0.0206,0.020615,0.020647,0.020613,0.020608,0.020565,0.020565,0.020613,0.020571,0.020568,0.020607,0.020608,0.020603,0.0206,0.020622
8,0.0025908,0.0025908,0.0063903,0.0059684,0.0070715,0.0038277,0.0034453,0.002613,0.0028985,0.0033566,0.0030816,0.0035659,0.0029193,0.0026277,0.0032858,0.0031894,0.0029266,0.002972,0.0029067,0.0025359,0.0025359,0.0026865,0.002813,0.0027655,0.0030719,0.0032742,0.0030884,0.0029277,0.0028142,0.0026596,0.0029689,0.0027453,0.0028127,0.0029548,0.0030589,0.0029748,0.0028758,0.0028256,0.002808,0.0029156,0.0028104,0.0028337,0.0028517,0.0028482,0.0028273,0.0028443,0.0028523,0.0028789,0.0028789,0.0028456,0.0028683,0.0028714,0.0028498,0.0028536,0.00285,0.0028528,0.0028423
9,0.00032232,0.00032232,0.00010519,4.5455e-05,9.2647e-06,-4.7718e-05,-4.8006e-05,-0.00012402,-5.3385e-05,-0.00010227,-0.0001034,-0.00011603,-0.00011965,-0.00010476,-0.00010972,-0.00013146,-0.00011585,-0.00010815,-0.0001345,-0.00011918,-0.00011918,-0.00012232,-0.00013578,-0.00014075,-0.00013883,-0.00011405,-0.00012369,-0.00012643,-0.00013229,-0.00014024,-0.00014278,-0.00013282,-0.0001394,-0.00013642,-0.00014144,-0.00013158,-0.00014042,-0.00013568,-0.00014049,-0.00013678,-0.00013936,-0.00013451,-0.00014194,-0.00013874,-0.0001378,-0.00013502,-0.00013715,-0.00014138,-0.00014138,-0.00013884,-0.00014101,-0.00014132,-0.00014013,-0.00013996,-0.00013967,-0.00013875,-0.0001398
