,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,746.18,713.51,729.91,733.62,726.26,722.41,723.2,734.16,724.46,730.05,728.06,729.66,726.57,729.53,730.7,731.07,729.65,730.82,728.24,729.16,728.83,728.28,728.85,728.2,730.04,728.56,729.61,729.41,730.54,728.25,729.07,729.46,729.38,728.51,728.66,729.01,729.59,728.93,729.21,729.62,728.73,729.59,728.89,728.85,729.03,729.3,728.94,729.05,729.09,729.27
1,-805.51,-777.3,-793.84,-795.17,-790.08,-786.86,-787.47,-796.26,-787.55,-793.22,-791.08,-792.72,-789.94,-792.11,-793.55,-794.12,-792.49,-794.11,-791.27,-792.11,-792.07,-791.16,-791.67,-791.18,-793.03,-791.47,-792.54,-792.31,-793.33,-791.28,-791.94,-792.32,-792.15,-791.37,-791.47,-791.87,-792.46,-791.77,-792.05,-792.39,-791.59,-792.48,-791.71,-791.72,-791.89,-792.14,-791.75,-791.89,-792.06,-792.06
2,-92.901,-88.134,-88.954,-90.776,-88.849,-88.06,-88.338,-90.332,-89.346,-89.357,-89.423,-89.46,-89.181,-89.876,-89.674,-89.509,-89.663,-89.266,-89.487,-89.574,-89.283,-89.618,-89.666,-89.524,-89.534,-89.582,-89.568,-89.595,-89.7,-89.475,-89.629,-89.629,-89.724,-89.607,-89.674,-89.626,-89.622,-89.655,-89.67,-89.719,-89.62,-89.61,-89.663,-89.612,-89.627,-89.649,-89.675,-89.648,-89.539,-89.691
3,-5.3775,-5.1315,-4.6802,-4.8981,-4.8394,-4.9417,-4.864,-5.0317,-4.999,-4.9244,-5.0317,-4.9443,-4.9193,-5.0016,-4.9436,-4.9037,-4.9573,-4.909,-4.9453,-4.9443,-4.9373,-4.9614,-4.9818,-4.9568,-4.9399,-4.9619,-4.9627,-4.966,-4.9678,-4.9492,-4.9684,-4.976,-4.9714,-4.9899,-4.9773,-4.979,-4.9674,-4.9686,-4.959,-4.9769,-4.9829,-4.9627,-4.9811,-4.9754,-4.9663,-4.9721,-4.9803,-4.9709,-4.9589,-4.9805
4,-0.20092,-0.19944,-0.17808,-0.18492,-0.17824,-0.18818,-0.18123,-0.19072,-0.18706,-0.18339,-0.18939,-0.18485,-0.18549,-0.18667,-0.1851,-0.18341,-0.18641,-0.18485,-0.18429,-0.18609,-0.18572,-0.18705,-0.18612,-0.18612,-0.18515,-0.18608,-0.18539,-0.18563,-0.18655,-0.1856,-0.18651,-0.18692,-0.18696,-0.18747,-0.18697,-0.18665,-0.18622,-0.18625,-0.18615,-0.18689,-0.18705,-0.18658,-0.18681,-0.18662,-0.18657,-0.1865,-0.18734,-0.18659,-0.18635,-0.18688
5,6.8249,6.7407,6.5382,6.6763,6.5548,6.4532,6.553,6.5846,6.5238,6.5428,6.604,6.564,6.5785,6.5619,6.5803,6.5744,6.5787,6.573,6.5734,6.5713,6.5669,6.5732,6.5752,6.5747,6.5733,6.5713,6.5729,6.5777,6.572,6.5729,6.5739,6.5742,6.5733,6.5733,6.5737,6.5736,6.5735,6.5746,6.5737,6.5733,6.5736,6.5739,6.5738,6.5738,6.5738,6.5738,6.5738,6.5735,6.5738,6.5736
6,1.9139,2.0439,2.1958,2.1958,2.18,2.2044,2.1488,2.1724,2.1594,2.1741,2.1658,2.1578,2.1564,2.1596,2.1594,2.1541,2.157,2.1579,2.1556,2.1569,2.1615,2.1541,2.1566,2.1543,2.1552,2.159,2.157,2.155,2.1567,2.1562,2.1559,2.1548,2.1557,2.1556,2.1558,2.1557,2.1555,2.1553,2.1559,2.1557,2.1557,2.1552,2.1554,2.1554,2.1558,2.1554,2.1555,2.1556,2.1555,2.1556
7,0.024892,0.034103,0.024113,0.018181,0.020009,0.025005,0.025689,0.026217,0.025919,0.024248,0.023046,0.024689,0.025465,0.025544,0.026282,0.025122,0.024929,0.024982,0.024991,0.025183,0.024768,0.025544,0.024714,0.025724,0.025869,0.025774,0.02527,0.025396,0.025286,0.025528,0.025384,0.025345,0.025243,0.02536,0.025411,0.025309,0.025403,0.025372,0.025399,0.025354,0.025317,0.025309,0.025523,0.02543,0.025292,0.025366,0.025351,0.025296,0.025366,0.025328
8,0.0099829,0.0057396,0.0040989,0.0092824,0.0066166,0.0032898,0.0028608,0.0026393,0.0029516,0.0037676,0.0044193,0.0033385,0.0029512,0.0027591,0.0025297,0.0030063,0.0030743,0.0030441,0.0030427,0.0029398,0.0031474,0.0027308,0.0031473,0.0026426,0.0026031,0.0026361,0.002891,0.002804,0.0028511,0.0027518,0.0028024,0.002833,0.0028809,0.0028216,0.0028049,0.0028526,0.0028033,0.0028126,0.0028073,0.0028331,0.0028428,0.002845,0.0027488,0.0027893,0.0028522,0.0028197,0.0028217,0.0028516,0.0028212,0.0028439
9,0.0026167,0.0015466,0.001917,0.00092628,0.00094144,0.0003796,0.00031294,0.00023479,7.4961e-05,-2.8733e-06,-8.5936e-05,-4.4869e-05,-5.5879e-05,-6.1846e-05,-4.1311e-05,-8.9689e-05,-6.8466e-05,-0.00010722,-9.9901e-05,-6.5568e-05,-9.3544e-05,-9.4315e-05,-0.00010449,-8.2623e-05,-9.4231e-05,-0.0001094,-0.0001043,-0.00011469,-0.00013073,-0.00010318,-0.00010864,-0.00010089,-0.00011163,-9.6745e-05,-0.00011003,-0.00010477,-9.9293e-05,-0.00011126,-0.00013107,-9.9476e-05,-0.00011581,-0.00010204,-0.00010774,-0.00010035,-0.00010345,-0.00010213,-0.0001054,-0.00010626,-0.00010434,-0.00010393
10,0.00015869,-8.3015e-05,-4.0459e-05,-4.5292e-05,-0.00010925,-8.093e-05,-0.00010411,-9.5619e-05,-0.00012315,-0.00011974,-0.00011516,-0.0001098,-0.00011252,-0.00010728,-0.00011219,-0.00010356,-0.00010861,-8.6485e-05,-0.00010011,-0.00010825,-9.949e-05,-9.7918e-05,-8.9814e-05,-0.00010212,-9.3912e-05,-7.7608e-05,-8.84e-05,-7.4887e-05,-5.8782e-05,-8.6465e-05,-8.1456e-05,-9.0141e-05,-7.8622e-05,-9.1741e-05,-7.7436e-05,-8.473e-05,-8.878e-05,-7.7036e-05,-5.6906e-05,-8.9274e-05,-7.2049e-05,-8.6392e-05,-7.923e-05,-8.7659e-05,-8.5578e-05,-8.7053e-05,-8.329e-05,-8.2502e-05,-8.4296e-05,-8.4626e-05
