,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,982.79,989.36,967.91,979.76,980.53,993.16,981.96,987.13,985.22,985.36,979.91,985.23,980.85,980.68,985.09,980.65,982.51,982.54,982.38,979.22,980.35,981.41,983.05,981.6,983.64,982.6,981.99,981.32,981.0,982.92,982.93,982.72,982.16,982.88,982.36,981.52,982.0,981.33,982.74,981.6,981.7,982.33,981.89,981.73,981.38,981.92,982.1,981.33,982.29,982.27,982.33,982.24
1,-1047.7,-1049.3,-1024.3,-1035.0,-1036.4,-1050.1,-1038.5,-1043.9,-1041.6,-1041.0,-1036.3,-1041.7,-1037.3,-1037.9,-1041.7,-1036.7,-1038.6,-1038.8,-1038.1,-1035.4,-1036.8,-1038.1,-1039.5,-1038.2,-1040.0,-1038.9,-1038.4,-1037.7,-1037.6,-1039.3,-1039.4,-1039.1,-1038.3,-1039.3,-1038.7,-1037.8,-1038.5,-1037.6,-1039.0,-1038.0,-1038.1,-1038.5,-1038.3,-1038.1,-1037.7,-1038.2,-1038.5,-1037.6,-1038.5,-1038.5,-1038.7,-1038.5
2,-115.5,-115.5,-117.74,-118.4,-118.24,-118.06,-118.05,-117.64,-118.18,-118.82,-118.04,-118.07,-118.2,-117.47,-117.99,-118.44,-118.4,-118.31,-118.78,-118.3,-118.07,-117.94,-118.1,-118.0,-118.19,-118.25,-118.19,-118.21,-117.97,-118.24,-118.18,-118.16,-118.34,-118.19,-118.2,-118.27,-118.1,-118.31,-118.28,-118.18,-118.15,-118.34,-118.17,-118.18,-118.23,-118.24,-118.2,-118.27,-118.3,-118.32,-118.24,-118.31
3,-7.8041,-8.079,-9.0871,-9.5955,-9.1281,-8.4333,-8.919,-8.9406,-8.9198,-9.0101,-8.9909,-8.9282,-8.8504,-8.8167,-8.8492,-8.9991,-8.9648,-8.9336,-8.967,-9.0108,-8.9165,-8.8839,-8.8792,-8.8758,-8.8955,-8.9335,-8.8912,-8.891,-8.9038,-8.9096,-8.8512,-8.9145,-8.979,-8.9207,-8.9096,-8.9416,-8.9104,-8.9421,-8.9145,-8.9262,-8.9101,-8.9292,-8.923,-8.9263,-8.945,-8.9226,-8.9198,-8.9537,-8.9338,-8.9328,-8.9184,-8.9356
4,-0.33166,-0.53176,-0.39813,-0.4465,-0.45585,-0.45519,-0.42009,-0.44356,-0.41644,-0.43156,-0.44168,-0.40477,-0.42561,-0.41397,-0.42061,-0.42067,-0.42958,-0.425,-0.42257,-0.42292,-0.42768,-0.42187,-0.42293,-0.42947,-0.42342,-0.42856,-0.4243,-0.42551,-0.422,-0.42127,-0.42434,-0.42405,-0.42813,-0.42313,-0.42125,-0.4237,-0.4224,-0.42287,-0.42382,-0.42408,-0.42346,-0.42557,-0.42278,-0.42126,-0.42474,-0.42334,-0.42371,-0.42608,-0.42249,-0.42426,-0.42555,-0.42314
5,8.0243,7.9148,7.2781,7.5935,7.7041,7.6629,7.7287,7.619,7.666,7.6551,7.6834,7.6562,7.6347,7.6669,7.6608,7.6621,7.6707,7.6653,7.6768,7.6647,7.6655,7.6636,7.6644,7.6606,7.6683,7.6663,7.6649,7.6678,7.6661,7.6658,7.665,7.6651,7.6659,7.6664,7.6667,7.6668,7.6662,7.6659,7.666,7.6659,7.6661,7.6658,7.666,7.6664,7.6666,7.6665,7.6658,7.6659,7.6662,7.6661,7.6656,7.666
6,2.7192,2.695,2.5049,2.5127,2.4543,2.4688,2.5587,2.4816,2.4944,2.5275,2.4958,2.5145,2.5212,2.5115,2.4941,2.5021,2.4933,2.495,2.491,2.4999,2.4932,2.4987,2.5014,2.5044,2.4971,2.5028,2.4996,2.498,2.4998,2.5,2.5003,2.4998,2.4992,2.4987,2.4989,2.4981,2.4986,2.4998,2.4994,2.4991,2.4988,2.4989,2.4993,2.4991,2.4988,2.4991,2.4992,2.4991,2.4993,2.4991,2.4991,2.4995
7,0.028388,0.021516,0.023606,0.02658,0.020602,0.032248,0.027282,0.023379,0.027017,0.028258,0.026249,0.028154,0.02777,0.027497,0.028638,0.029017,0.029386,0.029368,0.029236,0.028778,0.029927,0.02885,0.02826,0.028546,0.028575,0.028125,0.028866,0.028662,0.028588,0.02898,0.028843,0.028415,0.028702,0.028913,0.028675,0.028563,0.028885,0.028603,0.028758,0.028731,0.028895,0.028792,0.028791,0.028736,0.028829,0.028811,0.028799,0.028766,0.028861,0.028807,0.028776,0.028823
8,0.0046186,0.010538,0.0066012,0.0046299,0.0084908,0.0032201,0.0035255,0.0050776,0.0040044,0.003282,0.004043,0.0035369,0.0033351,0.0037489,0.0030608,0.0029153,0.0026916,0.0026888,0.0027489,0.0028929,0.0023885,0.0028727,0.0030996,0.0029935,0.0030124,0.0031635,0.0027746,0.0029169,0.0030227,0.0028194,0.0028788,0.0030348,0.0028856,0.0028555,0.0029115,0.0029484,0.0028575,0.0029515,0.0028788,0.0029086,0.0027684,0.0028898,0.0028896,0.0029139,0.0028562,0.002861,0.0028914,0.0028887,0.0028666,0.0028781,0.0028685,0.0028458
9,0.00048067,0.0021121,0.0022181,0.00201,0.00022786,0.00064363,0.00086911,0.00067566,0.00015397,6.8081e-05,-4.3346e-05,-0.00010355,0.00018519,-0.00010916,-7.0799e-05,-0.0001023,-8.2818e-05,-0.00012161,-0.00011821,-0.00011473,-8.4657e-06,-0.00010939,-6.3212e-05,-0.0001521,-0.00013498,-0.00014022,-6.0299e-05,-9.8725e-05,-0.00013173,-0.00011629,-0.00014537,-0.00014004,-0.00014974,-0.00013246,-7.9539e-05,-0.00015122,-0.00014473,-0.00014051,-0.00013977,-0.00012501,-6.0055e-05,-0.0001324,-0.00014824,-0.00013433,-0.00015205,-0.00011396,-0.00013734,-0.00012874,-0.00011831,-0.00014417,-0.00013524,-0.00013927
