,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,73.388,71.721,72.025,74.787,73.386,72.059,73.977,71.789,72.904,73.506,72.205,73.613,72.88,73.111,72.848,72.616,73.144,72.88,73.618,73.101,73.322,73.345,73.157,73.133,72.914,73.196,73.214,73.207,73.395,73.34,73.122,73.012,73.152,73.229,73.136,72.966,73.139,73.066,73.133,73.231,73.231,73.131,73.226,73.17,73.153,73.05,73.05,73.147,73.189,73.046,73.164,73.164,73.297,73.122,73.122,73.102,73.11,73.133,73.159,73.159,73.112
1,-147.92,-148.64,-148.33,-150.77,-149.34,-148.45,-150.03,-147.87,-149.16,-149.56,-148.49,-149.76,-148.98,-149.33,-149.01,-148.9,-149.38,-149.08,-149.78,-149.27,-149.43,-149.51,-149.34,-149.33,-149.1,-149.39,-149.41,-149.4,-149.57,-149.48,-149.29,-149.24,-149.36,-149.39,-149.32,-149.16,-149.33,-149.25,-149.32,-149.42,-149.42,-149.32,-149.39,-149.35,-149.36,-149.23,-149.23,-149.33,-149.37,-149.25,-149.35,-149.35,-149.48,-149.32,-149.32,-149.3,-149.29,-149.32,-149.34,-149.34,-149.31
2,-12.246,-12.152,-12.01,-12.579,-12.51,-12.157,-12.467,-12.475,-12.289,-12.484,-12.258,-12.399,-12.444,-12.329,-12.384,-12.272,-12.31,-12.345,-12.382,-12.374,-12.439,-12.38,-12.362,-12.347,-12.356,-12.358,-12.351,-12.35,-12.37,-12.407,-12.381,-12.322,-12.335,-12.38,-12.366,-12.354,-12.355,-12.359,-12.355,-12.353,-12.353,-12.359,-12.378,-12.365,-12.341,-12.363,-12.363,-12.368,-12.365,-12.342,-12.356,-12.356,-12.367,-12.353,-12.353,-12.351,-12.367,-12.355,-12.369,-12.369,-12.347
3,-0.16125,-0.14888,-0.15867,-0.16519,-0.16824,-0.16433,-0.16637,-0.16508,-0.15605,-0.16714,-0.16576,-0.16452,-0.1644,-0.16337,-0.16499,-0.16245,-0.16384,-0.16549,-0.16572,-0.16368,-0.16719,-0.1642,-0.1648,-0.16465,-0.16477,-0.164,-0.16412,-0.16438,-0.16399,-0.16544,-0.16447,-0.16338,-0.16328,-0.16469,-0.16495,-0.16472,-0.16407,-0.16439,-0.16453,-0.16427,-0.16427,-0.1649,-0.16499,-0.16463,-0.16385,-0.16441,-0.16441,-0.16473,-0.16493,-0.1637,-0.16442,-0.16442,-0.16428,-0.1642,-0.1642,-0.16417,-0.16471,-0.16437,-0.16406,-0.16406,-0.16404
4,-0.00013072,-0.00013667,-0.0001412,-0.00015372,-0.0001532,-0.00015008,-0.00014805,-0.00014886,-0.00014035,-0.00014987,-0.00014967,-0.00014846,-0.00014654,-0.00014747,-0.00014761,-0.00014621,-0.00014698,-0.00014924,-0.00014895,-0.00014622,-0.00015049,-0.0001475,-0.00014862,-0.00014812,-0.00014842,-0.00014765,-0.00014756,-0.00014804,-0.00014711,-0.00014908,-0.00014786,-0.00014687,-0.00014661,-0.00014809,-0.00014862,-0.00014823,-0.00014748,-0.00014775,-0.00014817,-0.00014804,-0.00014804,-0.00014851,-0.0001483,-0.00014798,-0.00014741,-0.00014788,-0.00014788,-0.00014829,-0.00014848,-0.00014713,-0.00014777,-0.00014777,-0.00014799,-0.00014775,-0.00014775,-0.00014783,-0.0001483,-0.00014779,-0.00014747,-0.00014747,-0.00014756
5,10.137,9.912,9.9442,9.9758,9.8531,9.9788,9.941,9.9606,9.9702,9.9593,9.9608,9.9646,9.9664,9.9628,9.9633,9.9716,9.9624,9.9646,9.9629,9.9631,9.9632,9.963,9.9639,9.9637,9.964,9.9639,9.9637,9.9637,9.9637,9.9638,9.9637,9.9636,9.9639,9.9639,9.9639,9.9639,9.9638,9.9638,9.9638,9.9638,9.9638,9.9638,9.9639,9.9638,9.9638,9.9638,9.9638,9.9638,9.9638,9.9638,9.9638,9.9638,9.9638,9.9638,9.9638,9.9638,9.9638,9.9638,9.9638,9.9638,9.9638
6,1.1732,1.1155,1.1127,1.1507,1.1469,1.1364,1.1378,1.1455,1.1497,1.1519,1.1462,1.141,1.1446,1.1441,1.146,1.1418,1.1458,1.1443,1.1449,1.1442,1.1448,1.1452,1.1451,1.1448,1.1445,1.1447,1.1449,1.1449,1.145,1.1452,1.1451,1.1451,1.1448,1.145,1.1449,1.145,1.145,1.1451,1.145,1.145,1.145,1.145,1.1449,1.145,1.1449,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145,1.145
7,0.067168,0.055143,0.057341,0.056148,0.051334,0.051708,0.049739,0.050159,0.047359,0.051006,0.049785,0.050985,0.050174,0.049806,0.050028,0.050025,0.049979,0.050153,0.050009,0.050226,0.050203,0.049839,0.050044,0.049992,0.050004,0.049918,0.049962,0.050019,0.049979,0.050036,0.049936,0.050052,0.049954,0.049965,0.049943,0.049994,0.049998,0.049972,0.049959,0.049983,0.049983,0.049955,0.049963,0.04997,0.049977,0.049986,0.049986,0.049978,0.049968,0.049996,0.049975,0.049975,0.04998,0.049984,0.049984,0.049988,0.04998,0.049989,0.049975,0.049975,0.049987
8,0.027257,0.01851,0.01458,0.018834,0.025644,0.025662,0.024943,0.025409,0.030377,0.024475,0.026028,0.023781,0.024455,0.025474,0.024791,0.024379,0.024904,0.024544,0.024523,0.024071,0.024225,0.024918,0.024438,0.024537,0.024569,0.024654,0.024534,0.024461,0.024575,0.024436,0.024592,0.024442,0.024528,0.024553,0.024597,0.024497,0.024472,0.024533,0.024505,0.024504,0.024504,0.024518,0.024543,0.02452,0.024522,0.024505,0.024505,0.024499,0.024538,0.024501,0.0245,0.0245,0.024504,0.024515,0.024515,0.024507,0.02449,0.024505,0.024506,0.024506,0.024504
9,-0.000123,0.0076733,8.9678e-05,0.00013133,0.00038577,-0.00030838,0.0002476,-0.00063042,0.00030287,0.00069342,0.00090848,0.00038089,0.00096765,-0.00047055,0.0014601,0.0018483,0.0010818,0.0018268,0.0020329,0.0025723,0.0024622,0.0017823,0.0021588,0.0022262,0.0024522,0.0024786,0.0022947,0.0022734,0.0014557,0.002326,0.0024493,0.0020633,0.0020485,0.0023902,0.0023382,0.0025835,0.002476,0.0022594,0.0026453,0.0026636,0.0026636,0.0025798,0.0024221,0.0023952,0.0025615,0.0023878,0.0023878,0.0025657,0.0024395,0.0024057,0.0026798,0.0026798,0.002592,0.0022964,0.0022964,0.0025383,0.00262,0.0024945,0.0025466,0.0025466,0.0026039
