,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,96.379,93.777,96.863,93.756,96.016,94.398,94.463,95.846,95.552,95.003,95.468,96.057,93.952,95.464,94.762,95.341,95.081,94.836,95.142,94.58,94.871,95.419,95.352,95.089,95.343,95.167,95.146,95.145,95.305,95.059,95.325,95.375,95.547,95.273,95.278,95.165,95.21,95.214,95.305,95.239,95.218,95.308,95.221,95.245,95.258,95.266,95.327,95.278,95.292,95.347,95.332,95.249
1,-188.49,-186.13,-188.9,-186.4,-188.64,-187.37,-187.28,-188.74,-188.37,-187.94,-188.15,-188.74,-186.83,-188.14,-187.54,-188.12,-187.89,-187.65,-187.91,-187.39,-187.67,-188.18,-188.13,-187.88,-188.14,-187.99,-187.92,-187.95,-188.06,-187.87,-188.1,-188.15,-188.3,-188.03,-188.06,-187.96,-187.99,-188.01,-188.08,-188.01,-187.99,-188.09,-188.0,-188.04,-188.05,-188.06,-188.09,-188.04,-188.07,-188.13,-188.1,-188.02
2,-13.951,-13.842,-13.899,-13.501,-13.656,-13.35,-13.444,-13.404,-13.459,-13.352,-13.609,-13.592,-13.4,-13.601,-13.501,-13.511,-13.478,-13.468,-13.515,-13.469,-13.488,-13.523,-13.501,-13.49,-13.484,-13.457,-13.507,-13.483,-13.523,-13.475,-13.509,-13.512,-13.535,-13.522,-13.503,-13.49,-13.499,-13.491,-13.513,-13.515,-13.508,-13.497,-13.506,-13.492,-13.493,-13.493,-13.522,-13.521,-13.507,-13.499,-13.517,-13.508
3,-0.18556,-0.18325,-0.18486,-0.16565,-0.16935,-0.17026,-0.17048,-0.16778,-0.16789,-0.16776,-0.17186,-0.17209,-0.16764,-0.17173,-0.17122,-0.16904,-0.17059,-0.16894,-0.16967,-0.16958,-0.16934,-0.1697,-0.1699,-0.1707,-0.16884,-0.16919,-0.16984,-0.16946,-0.16984,-0.16934,-0.17001,-0.17037,-0.17055,-0.17058,-0.16963,-0.16969,-0.16976,-0.16947,-0.16991,-0.16973,-0.16984,-0.16956,-0.16975,-0.16998,-0.16948,-0.16997,-0.17044,-0.17011,-0.17022,-0.16989,-0.17012,-0.17015
4,-0.00021501,-0.00021772,-0.00021679,-0.00018925,-0.00019484,-0.00020254,-0.00019941,-0.00019746,-0.00019486,-0.00019602,-0.00019888,-0.00020036,-0.00019472,-0.00019923,-0.00019941,-0.0001976,-0.00019877,-0.00019592,-0.00019735,-0.00019721,-0.00019661,-0.00019729,-0.00019783,-0.00019837,-0.00019624,-0.00019728,-0.00019795,-0.00019732,-0.0001976,-0.00019699,-0.0001978,-0.00019872,-0.00019866,-0.00019842,-0.00019761,-0.0001975,-0.00019752,-0.00019744,-0.0001977,-0.00019743,-0.00019764,-0.00019749,-0.00019762,-0.00019799,-0.0001973,-0.00019798,-0.00019844,-0.00019796,-0.00019806,-0.00019772,-0.00019807,-0.00019814
5,11.842,11.908,11.752,11.888,11.908,11.984,11.952,11.957,11.935,11.94,11.961,11.946,11.946,11.951,11.952,11.956,11.953,11.95,11.954,11.952,11.953,11.951,11.951,11.951,11.952,11.952,11.953,11.952,11.953,11.952,11.953,11.953,11.953,11.952,11.952,11.953,11.952,11.952,11.952,11.952,11.953,11.952,11.952,11.952,11.952,11.952,11.952,11.952,11.952,11.952,11.952,11.952
6,1.1515,1.3902,1.3326,1.3846,1.4005,1.381,1.3622,1.3845,1.3757,1.3837,1.3831,1.3797,1.3734,1.3767,1.3789,1.3759,1.3763,1.3803,1.3774,1.3773,1.3769,1.3785,1.3784,1.3786,1.3778,1.3776,1.3777,1.3782,1.3777,1.3781,1.3777,1.3778,1.3777,1.378,1.378,1.3778,1.3779,1.3778,1.3778,1.3779,1.3777,1.3779,1.3779,1.3779,1.3779,1.378,1.3779,1.3779,1.3778,1.3779,1.3778,1.378
7,0.061827,0.067065,0.070816,0.062113,0.068048,0.063548,0.062119,0.059589,0.058888,0.059144,0.057889,0.059078,0.060419,0.060926,0.05952,0.059208,0.059391,0.058769,0.059062,0.059284,0.059277,0.059164,0.059587,0.059202,0.059087,0.059131,0.059147,0.059145,0.059019,0.059085,0.05912,0.059105,0.059052,0.059102,0.059117,0.059064,0.059069,0.059093,0.059091,0.059088,0.059098,0.059099,0.059102,0.059094,0.059094,0.059111,0.059089,0.059099,0.059107,0.059102,0.059087,0.059107
8,0.0080092,0.021332,0.0086534,0.03459,0.02839,0.029777,0.028855,0.033962,0.033211,0.033648,0.03599,0.033985,0.030587,0.029899,0.031458,0.031911,0.031738,0.032791,0.031958,0.031382,0.031631,0.032022,0.031147,0.031661,0.03185,0.031844,0.031741,0.031781,0.031938,0.031792,0.03172,0.031803,0.031865,0.03179,0.031735,0.03178,0.03183,0.031868,0.031817,0.031745,0.03181,0.031791,0.031791,0.031767,0.03177,0.031758,0.031773,0.031755,0.031779,0.031763,0.031806,0.031727
9,0.0080224,0.0046995,0.0058738,-0.00012964,3.5872e-05,-0.00066057,-0.00072619,-0.00041403,-0.00048196,-0.00046223,-0.00030787,-0.00044369,0.00030352,0.00064914,0.0005714,0.00018108,0.0006523,0.00016192,0.00052148,0.00047943,0.0005747,0.00023938,0.00099186,0.001094,0.00070866,0.0014485,0.00076895,0.00089241,0.0010423,0.0012314,0.0015644,0.0014478,0.0014123,0.0013581,0.0014466,0.0013045,0.0014207,0.0012399,0.0012174,0.0017511,0.0013132,0.0015898,0.0016459,0.0015779,0.0017927,0.0017516,0.0016035,0.0017985,0.0017978,0.0016505,0.0015081,0.0018259
10,4.8801e-05,-8.4863e-05,-0.0001549,-3.4428e-05,0.00043529,0.00088313,0.00083185,0.00026605,0.00099879,0.0011525,0.0012103,0.001102,0.0014702,0.0012826,0.0012203,0.0014383,0.001221,0.0013481,0.0014014,0.0014189,0.0012845,0.0015303,0.0010201,0.00085677,0.0012113,0.00057887,0.0011635,0.0010466,0.00091608,0.00074831,0.00043619,0.00054893,0.00057479,0.00063365,0.00056329,0.00068821,0.00057455,0.00074432,0.00076748,0.00027219,0.00068354,0.00041571,0.00036701,0.00043016,0.00021647,0.00026213,0.00040455,0.0002155,0.00022494,0.00035901,0.00049944,0.00019277
11,-0.00021818,0.00027424,-1.2646e-05,7.9743e-05,0.00011021,0.00022563,8.5311e-06,4.4783e-05,4.6816e-05,3.0054e-05,5.1002e-05,1.3099e-05,1.4069e-05,6.3663e-05,4.1094e-05,3.1486e-05,4.7924e-05,4.1884e-05,3.1726e-05,3.7533e-05,3.6364e-05,3.2833e-05,7.0955e-05,6.3728e-05,4.0873e-05,8.2767e-05,5.0343e-05,5.5435e-05,6.8766e-05,7.4354e-05,9.3771e-05,8.9064e-05,8.6525e-05,8.3592e-05,7.755e-05,7.1406e-05,7.4194e-05,6.7531e-05,6.9623e-05,9.7426e-05,8.0357e-05,9.1099e-05,9.6095e-05,9.7706e-05,9.6444e-05,9.6203e-05,9.2022e-05,9.5644e-05,9.7345e-05,8.8313e-05,9.086e-05,0.00010124
12,4.1753e-05,2.4254e-05,4.4531e-05,0.00019073,0.00013814,0.00016189,3.8661e-05,7.7938e-05,6.2026e-05,5.5428e-05,7.2194e-05,4.4657e-05,4.1733e-05,3.4971e-05,3.5195e-05,5.1101e-05,3.8562e-05,5.9739e-05,4.0084e-05,4.3604e-05,3.9171e-05,3.6653e-05,2.2491e-05,3.2036e-05,4.2559e-05,1.7665e-05,3.9271e-05,3.2241e-05,2.0059e-05,1.8135e-05,6.1492e-06,6.8626e-06,1.173e-05,1.5337e-05,2.25e-05,2.2297e-05,2.344e-05,2.775e-05,2.5894e-05,6.6143e-06,1.6189e-05,7.8719e-06,8.3342e-06,3.3347e-06,6.5436e-06,6.0202e-06,1.1097e-05,8.4266e-06,6.0103e-06,1.3947e-05,1.1493e-05,4.8434e-06
