,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,125.81,121.77,117.54,116.4,117.87,116.82,114.86,116.04,117.27,117.16,116.6,116.28,117.14,116.58,116.73,116.29,117.03,116.84,116.9,116.73,116.32,116.36,116.67,116.87,116.47,116.74,116.61,116.6,116.64,116.61,116.28,116.51,116.64,116.54,116.57,116.41,116.76,116.51,116.47,116.63,116.63,116.66,116.75,116.61,116.71,116.67,116.58,116.63,116.6,116.58,116.52,116.55,116.66,116.54,116.48
1,-229.31,-230.22,-226.36,-225.24,-226.74,-225.71,-223.84,-225.3,-226.15,-226.07,-225.59,-225.4,-226.2,-225.7,-225.87,-225.44,-226.07,-225.9,-225.97,-225.87,-225.44,-225.51,-225.75,-225.93,-225.57,-225.78,-225.7,-225.69,-225.73,-225.69,-225.43,-225.59,-225.71,-225.62,-225.66,-225.53,-225.83,-225.6,-225.56,-225.73,-225.71,-225.74,-225.82,-225.7,-225.78,-225.76,-225.67,-225.72,-225.69,-225.68,-225.61,-225.65,-225.74,-225.64,-225.59
2,-15.196,-15.256,-15.331,-15.166,-15.103,-15.132,-15.001,-14.739,-15.101,-15.11,-15.014,-14.885,-14.95,-14.893,-14.874,-14.857,-14.969,-14.948,-14.938,-14.868,-14.89,-14.868,-14.932,-14.945,-14.907,-14.967,-14.925,-14.919,-14.913,-14.923,-14.864,-14.925,-14.941,-14.922,-14.917,-14.886,-14.933,-14.916,-14.916,-14.907,-14.933,-14.932,-14.938,-14.921,-14.932,-14.919,-14.915,-14.921,-14.915,-14.913,-14.918,-14.907,-14.933,-14.907,-14.898
3,-0.23207,-0.18697,-0.18511,-0.18989,-0.1902,-0.1918,-0.19282,-0.17651,-0.19218,-0.19353,-0.18998,-0.18524,-0.18613,-0.18508,-0.1879,-0.18529,-0.18621,-0.18733,-0.1881,-0.18538,-0.18556,-0.18489,-0.18732,-0.18833,-0.18548,-0.1877,-0.18708,-0.18704,-0.18617,-0.18763,-0.18572,-0.18632,-0.18807,-0.1869,-0.18698,-0.187,-0.18695,-0.18708,-0.18696,-0.18623,-0.18741,-0.18716,-0.18701,-0.18661,-0.18727,-0.18666,-0.18715,-0.18724,-0.18693,-0.18663,-0.18671,-0.18667,-0.1871,-0.18657,-0.1865
4,-0.00049713,-0.00033346,-0.00033038,-0.00034886,-0.00033817,-0.00034643,-0.00035408,-0.00032093,-0.00035358,-0.00035357,-0.00034794,-0.0003402,-0.00034075,-0.00033873,-0.00034692,-0.00034054,-0.0003416,-0.00034423,-0.00034495,-0.00033814,-0.00033922,-0.00033765,-0.00034364,-0.00034581,-0.00033921,-0.0003443,-0.00034386,-0.00034329,-0.00034135,-0.00034406,-0.00034023,-0.00034205,-0.00034535,-0.00034251,-0.00034255,-0.00034328,-0.00034305,-0.00034322,-0.00034277,-0.00034134,-0.00034331,-0.00034282,-0.00034272,-0.00034212,-0.00034367,-0.00034212,-0.00034377,-0.00034378,-0.00034294,-0.00034215,-0.00034262,-0.00034244,-0.00034283,-0.00034229,-0.00034196
5,12.986,14.023,13.946,13.874,13.946,13.931,13.893,13.899,13.912,13.935,13.922,13.899,13.908,13.913,13.908,13.912,13.907,13.913,13.914,13.914,13.912,13.913,13.914,13.912,13.912,13.912,13.913,13.912,13.912,13.913,13.913,13.913,13.913,13.913,13.913,13.913,13.913,13.913,13.913,13.913,13.913,13.913,13.913,13.913,13.913,13.913,13.913,13.913,13.913,13.913,13.913,13.913,13.913,13.913,13.913
6,0.74833,1.4963,1.7215,1.6805,1.6474,1.6165,1.644,1.6248,1.6245,1.6382,1.6345,1.6389,1.6347,1.6413,1.6433,1.6392,1.6427,1.6384,1.638,1.6376,1.6387,1.6389,1.6384,1.6392,1.6389,1.6385,1.6385,1.6389,1.639,1.6386,1.6389,1.6387,1.6388,1.6389,1.6387,1.6385,1.6388,1.6387,1.6388,1.6388,1.6389,1.6387,1.6388,1.6387,1.6389,1.6387,1.6389,1.6388,1.6387,1.6388,1.6386,1.6388,1.6388,1.6387,1.6387
7,0.06056,0.085465,0.082752,0.081939,0.076466,0.071153,0.074159,0.067176,0.067487,0.066396,0.067644,0.066723,0.066717,0.065824,0.06701,0.065776,0.065389,0.06656,0.065865,0.06594,0.066903,0.066348,0.066694,0.066447,0.06632,0.066297,0.066502,0.066324,0.066514,0.06648,0.066303,0.066299,0.066441,0.066416,0.066351,0.06632,0.06631,0.066319,0.066377,0.066287,0.066409,0.066316,0.066338,0.066301,0.06637,0.066317,0.066335,0.066345,0.066293,0.066307,0.066288,0.066328,0.066327,0.066307,0.066294
8,-0.0012195,0.0082595,0.022922,0.018421,0.033883,0.035625,0.034899,0.040263,0.039551,0.044307,0.040715,0.042804,0.041852,0.042958,0.041876,0.042769,0.043193,0.042038,0.042658,0.042274,0.041145,0.041851,0.041361,0.041668,0.041836,0.041812,0.041598,0.041752,0.041498,0.041527,0.041768,0.041762,0.04167,0.041579,0.041782,0.041691,0.041737,0.041679,0.041681,0.041789,0.041554,0.041787,0.041744,0.041775,0.041681,0.041765,0.041696,0.041734,0.041746,0.041753,0.041774,0.041722,0.04173,0.041748,0.041758
9,0.0032625,0.0036347,0.0050939,0.0090996,0.00041445,-0.00030963,-0.00044468,-0.00054461,-0.00061101,-0.00050477,-0.00041134,-0.00011308,-0.00057145,-0.00029641,-0.00049347,-0.0001876,-0.00024041,-0.00047801,-0.00035154,-0.00024334,-0.00017791,1.7216e-05,-5.5503e-05,-0.00020023,-0.00016073,0.00022691,-3.276e-05,9.1139e-05,8.8523e-05,-0.00012116,8.432e-05,0.00032412,9.3643e-05,0.0002101,-0.00018811,0.00040521,6.1061e-05,6.3741e-05,0.00025449,0.00023877,0.0003069,0.00015642,0.00033502,0.00031772,0.00029789,0.00021919,0.00038466,0.00042587,0.00019457,0.0002412,0.00031062,0.00022531,0.00052997,0.00024814,0.00027219
