,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,223.16,231.08,230.49,223.43,229.26,229.34,228.69,227.89,228.82,228.35,227.96,227.43,227.61,228.02,227.63,227.77,227.91,227.87,227.51,227.76,228.26,227.4,227.72,227.74,227.67,227.84,227.36,227.92,227.84,227.45,227.56,227.63,227.54,227.5,227.76,227.67,227.75,227.66,227.65,227.59,227.84,227.69,227.71,227.62,227.65
1,-285.86,-295.85,-295.29,-289.45,-294.21,-294.47,-293.68,-293.01,-293.97,-293.57,-293.32,-292.66,-292.94,-293.25,-292.94,-293.01,-293.2,-293.11,-292.78,-293.0,-293.43,-292.72,-292.96,-292.99,-292.96,-293.08,-292.68,-293.13,-293.13,-292.75,-292.87,-292.97,-292.82,-292.86,-293.03,-292.95,-293.05,-292.94,-292.95,-292.88,-293.11,-293.0,-292.98,-292.93,-292.94
2,-35.964,-36.711,-36.663,-35.423,-36.489,-36.39,-36.502,-36.364,-36.354,-36.293,-36.175,-36.26,-36.176,-36.269,-36.2,-36.272,-36.227,-36.253,-36.23,-36.264,-36.336,-36.19,-36.263,-36.264,-36.214,-36.268,-36.195,-36.295,-36.222,-36.211,-36.196,-36.176,-36.228,-36.156,-36.24,-36.224,-36.208,-36.233,-36.204,-36.216,-36.238,-36.196,-36.238,-36.202,-36.226
3,-1.6708,-1.7169,-1.6688,-1.5846,-1.664,-1.6566,-1.6538,-1.6685,-1.639,-1.6342,-1.6386,-1.6669,-1.6501,-1.6588,-1.6505,-1.6532,-1.6493,-1.6595,-1.6527,-1.6585,-1.6538,-1.6486,-1.6662,-1.6532,-1.6563,-1.6547,-1.6493,-1.6594,-1.6519,-1.6499,-1.6509,-1.65,-1.6547,-1.6489,-1.6512,-1.6516,-1.6527,-1.6519,-1.6511,-1.6547,-1.6526,-1.6507,-1.6518,-1.65,-1.651
4,-0.019918,-0.019942,-0.019422,-0.019352,-0.01966,-0.019778,-0.019883,-0.02005,-0.019664,-0.019584,-0.01965,-0.019804,-0.019769,-0.019826,-0.019737,-0.01975,-0.019665,-0.019863,-0.019727,-0.019785,-0.019772,-0.019693,-0.019871,-0.019745,-0.019799,-0.019765,-0.019744,-0.019813,-0.019743,-0.019697,-0.019698,-0.019705,-0.019751,-0.019721,-0.019717,-0.019731,-0.019743,-0.01973,-0.019731,-0.019769,-0.019746,-0.019725,-0.019723,-0.01972,-0.019721
5,13.042,13.399,13.2,13.009,13.005,13.12,13.06,13.111,13.089,13.087,13.103,13.094,13.104,13.108,13.099,13.096,13.102,13.097,13.099,13.101,13.1,13.1,13.102,13.1,13.1,13.1,13.099,13.099,13.099,13.099,13.099,13.1,13.1,13.099,13.099,13.099,13.099,13.099,13.099,13.099,13.1,13.099,13.099,13.099,13.099
6,1.0929,0.45402,0.44636,0.52792,0.49332,0.57342,0.56562,0.52847,0.54823,0.53128,0.5388,0.54015,0.53102,0.52991,0.53637,0.54538,0.53805,0.53986,0.53578,0.53904,0.53765,0.5383,0.53719,0.53582,0.53768,0.53707,0.53751,0.53705,0.53766,0.53728,0.53811,0.53736,0.53759,0.53767,0.53759,0.53754,0.53735,0.5376,0.53749,0.53746,0.53738,0.53739,0.53747,0.53746,0.53752
7,0.10795,0.094594,0.092168,0.090756,0.099934,0.10047,0.10023,0.10178,0.097964,0.1063,0.1013,0.10125,0.10125,0.099389,0.10042,0.10008,0.1004,0.10163,0.10125,0.10128,0.1011,0.10131,0.10064,0.10082,0.10162,0.10081,0.10155,0.10105,0.10123,0.10137,0.10112,0.10087,0.10137,0.10102,0.10127,0.10128,0.1011,0.10118,0.10133,0.10124,0.10119,0.10122,0.10125,0.10121,0.10117
8,0.014791,0.0048725,0.0040739,0.013095,0.0050455,0.0086271,0.0093002,0.0049869,0.0082159,0.0034668,0.0059824,0.0065895,0.0063075,0.0074057,0.0071713,0.007091,0.0069684,0.0060274,0.0065782,0.0061718,0.0066388,0.0064722,0.0070075,0.0067427,0.0062992,0.0066339,0.0064152,0.006618,0.0064663,0.0064131,0.0066386,0.0067996,0.0063751,0.0067196,0.0065419,0.0065123,0.0065895,0.0065771,0.006449,0.006483,0.0065522,0.0065734,0.0065041,0.0065502,0.0065714
9,0.025163,0.0079982,0.010664,0.0041809,0.001641,0.0007502,0.00043037,0.0011689,0.0012053,0.00092701,0.00078694,0.00077166,0.00047341,0.00034247,0.00033873,0.00094556,0.00038603,0.00066304,0.00031423,0.00063502,0.00034595,0.00035965,0.00032052,0.00034561,0.00033209,0.00048986,0.00030398,0.00038522,0.00036178,0.00037097,0.00030924,0.00032733,0.00039739,0.00031452,0.00031517,0.00034248,0.0003721,0.00034875,0.00035863,0.00038746,0.00035597,0.00032792,0.00035893,0.00035311,0.00035035
10,0.0063693,-0.00011244,-0.00057024,0.00022722,0.00034703,0.00081857,0.00061893,0.00067207,0.00089756,0.00064306,0.0010493,0.00095646,0.00083462,0.0009685,0.00095778,0.00094872,0.001127,0.0010982,0.0010034,0.0010717,0.0010722,0.0010932,0.0010333,0.0010734,0.00106,0.0010557,0.0010403,0.001045,0.001058,0.001077,0.0010616,0.001065,0.0010818,0.0010554,0.0010629,0.0010705,0.0010714,0.001063,0.0010856,0.0010925,0.0010803,0.0010668,0.0010628,0.0010737,0.0010798
11,0.00018588,0.00033097,0.00057573,0.00032673,0.00013355,0.00022265,7.0792e-05,0.00039683,0.00022582,0.00026413,9.8852e-05,6.3973e-05,0.00023256,5.4721e-05,8.1474e-05,0.0002387,6.5048e-05,4.8272e-05,4.4399e-05,8.4817e-05,4.1607e-05,4.8141e-05,5.2093e-05,4.8564e-05,5.225e-05,7.5658e-05,4.8914e-05,8.9422e-05,8.5081e-05,5.442e-05,5.1421e-05,4.6567e-05,5.6149e-05,5.2726e-05,5.953e-05,5.7313e-05,5.5641e-05,5.5418e-05,4.2702e-05,4.068e-05,4.3981e-05,4.7665e-05,6.1826e-05,4.5541e-05,4.1809e-05
12,9.5387e-05,1.506e-05,6.9302e-05,0.00010739,7.5179e-05,0.00018243,0.00012756,0.00011914,0.00016845,0.00010411,0.00014064,0.00012761,0.00012306,0.00015538,0.00014565,0.00010735,0.00015591,0.00013727,0.00014685,0.00015899,0.00014939,0.00015026,0.00015506,0.00013559,0.00015136,0.00015547,0.00015543,0.00015514,0.0001579,0.00014846,0.00015715,0.000156,0.00015443,0.00015832,0.00015173,0.00012963,0.00015454,0.00015553,0.0001453,0.00014561,0.00015192,0.00015451,0.00015751,0.00015291,0.00015071
13,0.00010196,2.1927e-05,0.00012595,5.4112e-05,1.7867e-05,4.5778e-05,3.0566e-05,1.6144e-05,2.6489e-05,1.7689e-05,4.2186e-06,1.1505e-05,2.3827e-05,4.0499e-06,2.3944e-05,6.275e-05,8.9828e-06,2.7514e-06,4.0481e-06,9.2823e-06,2.0294e-06,1.111e-05,4.1711e-06,4.2683e-06,3.4112e-06,1.0718e-05,1.9946e-06,6.9936e-06,4.5054e-06,8.6111e-06,3.6397e-06,2.7735e-06,4.6929e-06,2.1717e-06,6.8634e-06,2.745e-06,3.596e-06,5.1271e-06,6.2834e-06,3.9984e-06,3.5674e-06,3.1637e-06,2.6509e-06,3.8907e-06,3.5842e-06
14,2.8652e-05,3.7828e-05,2.1734e-05,3.941e-05,1.025e-05,1.6776e-05,1.8526e-05,2.36e-05,1.8557e-05,1.0165e-05,,7.5685e-06,6.3397e-06,,7.2635e-06,5.7928e-06,,,,,,5.7698e-06,,,,5.1559e-06,,,,,,,,,,,,,,,,,,,
15,4.4942e-05,1.7354e-06,1.0117e-05,1.3918e-05,1.442e-06,4.5701e-06,2.861e-06,1.3255e-06,1.169e-06,4.6931e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,9.9158e-06,,3.7038e-06,6.1551e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
