,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,264.9,263.04,262.61,261.26,263.68,263.48,261.94,262.54,262.18,262.15,262.5,262.67,262.56,263.19,262.91,261.9,262.17,261.73,262.75,262.63,262.07,262.72,262.81,262.37,262.18,262.3,262.79,262.66,262.36,262.76,262.71,262.46,262.81,262.76,262.43,262.51,262.83,262.76,262.61,262.53,262.53,262.6,262.56,262.72,262.57,262.68,262.64,262.45,262.6,262.52,262.64,262.56,262.75,262.56,262.61,262.58
1,-336.96,-335.59,-335.63,-333.14,-336.02,-335.63,-334.05,-334.86,-334.44,-334.62,-334.88,-335.09,-334.87,-335.5,-335.32,-334.49,-334.73,-334.36,-335.17,-335.07,-334.59,-335.05,-335.17,-334.91,-334.58,-334.81,-335.14,-335.0,-334.83,-335.09,-335.18,-334.98,-335.25,-335.16,-334.9,-334.95,-335.19,-335.17,-335.0,-335.0,-335.0,-334.98,-334.97,-335.11,-334.97,-335.04,-335.03,-334.88,-334.99,-334.93,-335.08,-334.96,-335.11,-334.98,-335.0,-334.99
2,-40.887,-39.337,-38.437,-39.702,-39.418,-39.452,-39.45,-39.332,-39.384,-39.139,-39.265,-39.215,-39.309,-39.314,-39.234,-39.036,-39.082,-39.008,-39.205,-39.201,-39.119,-39.288,-39.262,-39.094,-39.234,-39.128,-39.277,-39.292,-39.157,-39.291,-39.158,-39.116,-39.189,-39.227,-39.166,-39.19,-39.264,-39.225,-39.243,-39.165,-39.165,-39.246,-39.218,-39.238,-39.23,-39.257,-39.236,-39.202,-39.233,-39.214,-39.195,-39.22,-39.263,-39.208,-39.233,-39.215
3,-1.9426,-1.8626,-1.8055,-1.8998,-1.8335,-1.8175,-1.8543,-1.8169,-1.8259,-1.8564,-1.8254,-1.8431,-1.8568,-1.8464,-1.8329,-1.8386,-1.8291,-1.8316,-1.8542,-1.8358,-1.8346,-1.8511,-1.8494,-1.8306,-1.8467,-1.8325,-1.8553,-1.8471,-1.8396,-1.8492,-1.8375,-1.8416,-1.8442,-1.8434,-1.8364,-1.8464,-1.8505,-1.8446,-1.8441,-1.8404,-1.8404,-1.8446,-1.8444,-1.8478,-1.8449,-1.8481,-1.8476,-1.8429,-1.849,-1.8449,-1.8404,-1.846,-1.8469,-1.8434,-1.8454,-1.8448
4,-0.026889,-0.026078,-0.024657,-0.026102,-0.025292,-0.025108,-0.02536,-0.025097,-0.025167,-0.025597,-0.025148,-0.025366,-0.02553,-0.025535,-0.025269,-0.025374,-0.025288,-0.025316,-0.025579,-0.025349,-0.025297,-0.025508,-0.025472,-0.025242,-0.025441,-0.02525,-0.025577,-0.025482,-0.025315,-0.025447,-0.025295,-0.025414,-0.025401,-0.025418,-0.025303,-0.025445,-0.025493,-0.025411,-0.025379,-0.02535,-0.02535,-0.025402,-0.025391,-0.025445,-0.025393,-0.025454,-0.025447,-0.025391,-0.025462,-0.025416,-0.025364,-0.025439,-0.025445,-0.025392,-0.025432,-0.025415
5,14.015,14.847,14.061,14.378,14.585,14.324,14.349,14.41,14.427,14.418,14.409,14.431,14.442,14.44,14.424,14.42,14.426,14.426,14.432,14.424,14.424,14.428,14.426,14.429,14.428,14.428,14.43,14.428,14.427,14.428,14.428,14.428,14.428,14.428,14.428,14.428,14.429,14.428,14.428,14.428,14.428,14.428,14.428,14.428,14.428,14.428,14.428,14.428,14.428,14.428,14.428,14.428,14.428,14.428,14.428,14.428
6,1.0152,0.65731,0.59921,0.78674,0.62269,0.59647,0.57901,0.5833,0.56267,0.58674,0.58863,0.58352,0.57849,0.56807,0.57853,0.58266,0.57432,0.58126,0.57285,0.57957,0.57629,0.5756,0.57566,0.57245,0.57711,0.57444,0.57248,0.57429,0.5754,0.57468,0.57433,0.57501,0.57462,0.57416,0.57428,0.5746,0.57426,0.57436,0.57442,0.57459,0.57459,0.57479,0.57465,0.57426,0.57433,0.57468,0.57462,0.57449,0.57458,0.57457,0.57443,0.57445,0.57469,0.5745,0.57464,0.57483
7,0.1132,0.11009,0.10519,0.10578,0.1111,0.10809,0.10754,0.10574,0.1058,0.105,0.10688,0.10715,0.10671,0.10455,0.11089,0.10885,0.10888,0.10668,0.10655,0.10826,0.10817,0.10711,0.1084,0.1067,0.1074,0.10785,0.10807,0.10851,0.10768,0.10783,0.1076,0.1077,0.10777,0.10746,0.10785,0.10779,0.10765,0.10767,0.10766,0.10766,0.10766,0.1077,0.10763,0.10767,0.10768,0.10769,0.10774,0.10762,0.10759,0.10767,0.10759,0.10761,0.10764,0.10761,0.10764,0.10766
8,0.016854,0.012607,0.0068699,0.014036,0.0056406,0.004386,0.0047057,0.0057501,0.0078838,0.0093876,0.0069667,0.0078922,0.0061464,0.0064567,0.0059828,0.0062809,0.0066388,0.0078209,0.0077748,0.0063879,0.0069403,0.0073309,0.0061067,0.0077591,0.0071905,0.0073163,0.0068227,0.0066361,0.0071071,0.0070296,0.0073894,0.0069319,0.0067881,0.007326,0.0071954,0.0070742,0.0070425,0.0071139,0.007195,0.0072082,0.0072082,0.0071283,0.0070533,0.0069645,0.0074773,0.0075595,0.0073353,0.007292,0.0072914,0.0072371,0.0072924,0.0072395,0.0075512,0.007478,0.0069634,0.0070611
9,0.010366,0.010842,0.0087004,0.010897,0.0059387,0.007532,0.0052098,0.0051179,0.0019255,0.0018261,0.0032004,0.0021227,0.0033945,0.0041557,0.00098921,0.002033,0.0015211,0.0018243,0.0016638,0.0019696,0.0016787,0.0017406,0.0021338,0.0014505,0.0017145,0.001212,0.0015632,0.0015245,0.0015952,0.0016018,0.0013627,0.0017411,0.0018609,0.0015274,0.0014072,0.0015562,0.0016551,0.0015928,0.0015294,0.0014747,0.0014747,0.001504,0.0016664,0.0017329,0.001234,0.0011518,0.0013147,0.0014307,0.00145,0.0014653,0.0014582,0.0014736,0.0011613,0.0012585,0.0017533,0.0016486
