,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0,27.693,27.471,28.909,28.05,27.612,28.475,28.96,29.018,28.3,28.139,28.555,28.551,28.359,28.561,28.871,28.96,28.832,28.408,28.357,28.467,28.755,28.512,28.324,28.478,28.59,28.59,28.545,28.609,28.609,28.784,28.59,28.576,28.53,28.505,28.505,28.383,28.593,28.591,28.591,28.606,28.572,28.591,28.604,28.604,28.542,28.57,28.514,28.514,28.583,28.583,28.63,28.63,28.63,28.487,28.487,28.564,28.538
1,-53.169,-53.409,-54.779,-54.264,-54.055,-54.71,-55.031,-54.965,-54.272,-54.183,-54.605,-54.632,-54.558,-54.666,-54.934,-55.006,-54.899,-54.588,-54.534,-54.603,-54.8,-54.661,-54.443,-54.649,-54.722,-54.722,-54.663,-54.722,-54.722,-54.846,-54.738,-54.686,-54.683,-54.625,-54.625,-54.532,-54.718,-54.713,-54.713,-54.73,-54.695,-54.699,-54.711,-54.711,-54.655,-54.687,-54.654,-54.654,-54.702,-54.702,-54.743,-54.743,-54.743,-54.609,-54.609,-54.691,-54.663
2,-4.9795,-4.9941,-5.0946,-4.7433,-4.4679,-4.6122,-4.8265,-4.9692,-4.9449,-4.8695,-4.8607,-4.828,-4.7083,-4.8094,-4.8472,-4.8648,-4.8435,-4.7352,-4.739,-4.7773,-4.8677,-4.7647,-4.792,-4.7436,-4.7811,-4.7811,-4.7952,-4.8003,-4.8003,-4.8505,-4.7658,-4.8027,-4.7611,-4.7938,-4.7938,-4.7649,-4.7888,-4.792,-4.792,-4.79,-4.7897,-4.8053,-4.8059,-4.8059,-4.8005,-4.7959,-4.7743,-4.7743,-4.794,-4.794,-4.8005,-4.8005,-4.8005,-4.7909,-4.7909,-4.7859,-4.7882
3,-0.047873,-0.04124,-0.044023,-0.038969,-0.03543,-0.038613,-0.041369,-0.045293,-0.043698,-0.042832,-0.042272,-0.042232,-0.03909,-0.041174,-0.041253,-0.043037,-0.042064,-0.040194,-0.040159,-0.040615,-0.042374,-0.040586,-0.041544,-0.040086,-0.040819,-0.040819,-0.041357,-0.041024,-0.041024,-0.04194,-0.040443,-0.041417,-0.040465,-0.041218,-0.041218,-0.040559,-0.040903,-0.040916,-0.040916,-0.041076,-0.040934,-0.041256,-0.04116,-0.04116,-0.0412,-0.041291,-0.040782,-0.040782,-0.041025,-0.041025,-0.041107,-0.041107,-0.041107,-0.04093,-0.04093,-0.040904,-0.04095
4,-1.6732e-05,-1.5799e-05,-1.7088e-05,-1.5098e-05,-1.3007e-05,-1.5131e-05,-1.5306e-05,-1.8529e-05,-1.6543e-05,-1.71e-05,-1.5833e-05,-1.614e-05,-1.4738e-05,-1.5629e-05,-1.5836e-05,-1.7147e-05,-1.6283e-05,-1.553e-05,-1.5337e-05,-1.5422e-05,-1.6266e-05,-1.5492e-05,-1.5975e-05,-1.531e-05,-1.5679e-05,-1.5679e-05,-1.5882e-05,-1.5584e-05,-1.5584e-05,-1.6138e-05,-1.546e-05,-1.5868e-05,-1.543e-05,-1.5753e-05,-1.5753e-05,-1.545e-05,-1.5665e-05,-1.5626e-05,-1.5626e-05,-1.5753e-05,-1.5649e-05,-1.5822e-05,-1.569e-05,-1.569e-05,-1.5734e-05,-1.5859e-05,-1.5543e-05,-1.5543e-05,-1.5649e-05,-1.5649e-05,-1.5755e-05,-1.5755e-05,-1.5755e-05,-1.5691e-05,-1.5691e-05,-1.5668e-05,-1.5679e-05
5,3.6658,4.1324,3.9277,3.9672,3.9002,3.8724,3.8849,3.903,3.9081,3.8955,3.8986,3.9098,3.8849,3.9027,3.8955,3.8938,3.8925,3.8994,3.8992,3.8954,3.8985,3.8951,3.8965,3.8982,3.8966,3.8966,3.8958,3.8966,3.8966,3.8967,3.8973,3.897,3.897,3.8968,3.8968,3.8969,3.897,3.897,3.897,3.8971,3.8971,3.897,3.8971,3.8971,3.8971,3.8971,3.8971,3.8971,3.897,3.897,3.897,3.897,3.897,3.897,3.897,3.8971,3.8971
6,0.29055,0.14593,0.23256,0.22794,0.16989,0.19444,0.18687,0.19089,0.19565,0.19492,0.1933,0.18406,0.18579,0.19172,0.19122,0.19648,0.19714,0.19116,0.19307,0.19338,0.19351,0.19331,0.1918,0.19227,0.19271,0.19271,0.19345,0.19334,0.19334,0.1928,0.19272,0.19266,0.19304,0.1932,0.1932,0.19299,0.19305,0.19292,0.19292,0.1928,0.19299,0.19295,0.19276,0.19276,0.19293,0.19292,0.1929,0.1929,0.19293,0.19293,0.19294,0.19294,0.19294,0.19292,0.19292,0.19293,0.19293
7,0.034031,0.033733,0.036757,0.025476,0.037699,0.033221,0.032358,0.033645,0.031941,0.033887,0.032081,0.031341,0.033901,0.032596,0.033949,0.03145,0.033997,0.03331,0.033987,0.033319,0.032694,0.033676,0.032945,0.032527,0.033523,0.033523,0.033218,0.032598,0.032598,0.033081,0.032844,0.033018,0.03299,0.033251,0.033251,0.033124,0.033021,0.033019,0.033019,0.033123,0.03302,0.032948,0.032985,0.032985,0.033011,0.033,0.032957,0.032957,0.032954,0.032954,0.033016,0.033016,0.033016,0.032998,0.032998,0.032983,0.032973
8,0.0056068,0.00019338,0.00042244,0.012298,0.00062598,0.0005958,0.00073542,0.00035247,0.0018137,0.00041673,0.0013989,0.0015123,0.00013713,0.0010223,0.00012354,0.0020877,0.00044936,0.00055007,0.00025685,0.00064497,0.0010388,0.00045499,0.0008349,0.0011174,0.00050689,0.00050689,0.00069209,0.0011154,0.0011154,0.000806,0.00094387,0.00082157,0.00083772,0.00068992,0.00068992,0.0007669,0.00081891,0.00083455,0.00083455,0.00076396,0.000828,0.00086658,0.00085812,0.00085812,0.00083633,0.00083835,0.00087154,0.00087154,0.00086505,0.00086505,0.00082847,0.00082847,0.00082847,0.00084264,0.00084264,0.00084969,0.00085194
9,0.00029393,0.00011875,8.7772e-05,3.6391e-05,0.00011693,0.00018603,0.00017622,0.00016678,0.00016139,8.1289e-05,0.00023438,0.00018381,0.0001575,0.00013638,0.00021993,0.00017914,0.00025141,0.00017742,0.00021213,0.00017523,0.00022861,0.00019218,0.00018868,0.00021084,0.00018533,0.00018533,0.00023173,0.00020039,0.00020039,0.00019319,0.00014739,0.00022005,0.00020748,0.00022714,0.00022714,0.00020592,0.00019859,0.00020586,0.00020586,0.00014354,0.00019064,0.00019453,0.0001976,0.0001976,0.00019196,0.00020734,0.00019984,0.00019984,0.00020727,0.00020727,0.00019585,0.00019585,0.00019585,0.00019292,0.00019292,0.00017227,0.00019882
