,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,51.888,50.648,51.801,48.819,48.062,49.716,49.693,49.683,50.6,50.335,50.35,50.605,50.713,50.581,49.843,50.326,50.033,50.358,50.137,50.492,50.245,50.278,50.514,50.624,50.596,50.435,50.413,50.526,50.288,50.297,50.304,50.276,50.447,50.395,50.379,50.54,50.329,50.388,50.407,50.363,50.462,50.362,50.39,50.341,50.447,50.445,50.355,50.283,50.404,50.404
1,-82.914,-82.2,-83.403,-81.071,-80.177,-82.033,-81.898,-81.753,-82.809,-82.572,-82.556,-82.721,-82.772,-82.568,-82.037,-82.444,-82.098,-82.479,-82.294,-82.531,-82.316,-82.426,-82.586,-82.669,-82.637,-82.508,-82.51,-82.629,-82.363,-82.404,-82.431,-82.374,-82.507,-82.493,-82.48,-82.607,-82.448,-82.505,-82.493,-82.439,-82.525,-82.458,-82.464,-82.429,-82.529,-82.502,-82.444,-82.394,-82.507,-82.507
2,-10.309,-9.678,-9.4595,-8.8575,-8.9971,-8.7955,-8.8908,-9.0604,-8.9092,-8.8605,-8.9159,-9.0042,-9.0614,-9.1255,-8.9269,-8.9995,-9.0529,-8.9993,-8.9633,-9.0779,-9.0462,-8.9731,-9.0475,-9.0726,-9.0777,-9.0447,-9.0218,-9.0159,-9.044,-9.0129,-8.9927,-9.0211,-9.058,-9.0221,-9.0179,-9.0505,-9.0009,-9.0034,-9.0333,-9.0424,-9.0548,-9.024,-9.0437,-9.0315,-9.0366,-9.0597,-9.0302,-9.0083,-9.0166,-9.0166
3,-0.23739,-0.17045,-0.16785,-0.13764,-0.1489,-0.13961,-0.15596,-0.1514,-0.14726,-0.14646,-0.14909,-0.1504,-0.1535,-0.15722,-0.15158,-0.15159,-0.15537,-0.15182,-0.15214,-0.15458,-0.15467,-0.1513,-0.1535,-0.15507,-0.1539,-0.15434,-0.15365,-0.15251,-0.1531,-0.15191,-0.15193,-0.1526,-0.15466,-0.15235,-0.15309,-0.15395,-0.15218,-0.15183,-0.15353,-0.1535,-0.15396,-0.15293,-0.15433,-0.15325,-0.15352,-0.15461,-0.15316,-0.15293,-0.15225,-0.15225
4,-0.00044077,-0.00031371,-0.00032295,-0.00026064,-0.0002808,-0.00025373,-0.00028628,-0.00027999,-0.00027721,-0.00027686,-0.00027631,-0.00028044,-0.00028724,-0.00029259,-0.0002807,-0.00028202,-0.00028791,-0.00028161,-0.00028263,-0.00028791,-0.00028601,-0.00028145,-0.00028371,-0.00028852,-0.00028514,-0.00028745,-0.00028536,-0.00028278,-0.0002855,-0.00028285,-0.00028311,-0.00028273,-0.00028836,-0.00028266,-0.0002846,-0.00028596,-0.00028406,-0.00028216,-0.00028575,-0.00028509,-0.00028643,-0.00028393,-0.00028806,-0.0002847,-0.00028494,-0.00028738,-0.00028534,-0.00028402,-0.00028257,-0.00028257
5,5.0757,5.7086,5.2455,5.1627,5.203,5.1743,5.2194,5.2063,5.189,5.2137,5.2005,5.1962,5.1949,5.1981,5.2057,5.1974,5.2006,5.1997,5.1986,5.1985,5.198,5.198,5.2,5.199,5.1999,5.1985,5.1986,5.1984,5.1981,5.1982,5.1984,5.1984,5.1983,5.1983,5.1985,5.198,5.1984,5.1984,5.1986,5.1983,5.1985,5.1983,5.1984,5.1984,5.1984,5.1984,5.1984,5.1984,5.1984,5.1984
6,0.45616,0.43653,0.17774,0.26875,0.22541,0.26665,0.25115,0.25395,0.23991,0.24273,0.25712,0.2543,0.25998,0.25356,0.24974,0.25358,0.25642,0.25378,0.2562,0.25612,0.25665,0.25724,0.25734,0.25815,0.25632,0.25618,0.25697,0.25607,0.2567,0.25676,0.25627,0.25707,0.25657,0.25664,0.25645,0.25667,0.25664,0.25658,0.25655,0.25644,0.25665,0.25664,0.25661,0.25657,0.25658,0.25657,0.25655,0.25653,0.25656,0.25656
7,0.05092,0.040732,0.044992,0.044731,0.048878,0.03893,0.038842,0.043067,0.041689,0.044703,0.040614,0.042076,0.044877,0.042481,0.038959,0.04189,0.040496,0.042274,0.041535,0.040921,0.04279,0.042134,0.041282,0.041052,0.041241,0.042147,0.041448,0.04167,0.041895,0.042496,0.042152,0.041877,0.041992,0.041983,0.041786,0.042065,0.042016,0.041721,0.041988,0.041945,0.041915,0.04198,0.041907,0.041877,0.041846,0.041937,0.04191,0.04193,0.041953,0.041953
8,0.0017735,0.028211,0.00018637,0.0011367,0.00069162,0.005136,0.0032933,0.00058091,0.00059572,-0.0005684,0.0024144,0.0012404,-0.00020757,0.0010214,0.0033505,0.0015184,0.0026107,0.0011488,0.0017807,0.0022018,0.0010415,0.0014393,0.0020374,0.0022805,0.0020243,0.0013899,0.0019514,0.0017524,0.0015629,0.0011636,0.0013922,0.0016065,0.0015172,0.0015381,0.001661,0.0014911,0.0014917,0.0017262,0.0015171,0.001559,0.0015729,0.0015257,0.0015821,0.0016099,0.001618,0.0015646,0.0015771,0.0015608,0.001541,0.001541
9,5.8277e-05,0.0007587,1.1719e-05,3.7971e-05,2.0979e-05,-9.2048e-05,-2.0894e-06,4.3437e-06,1.6203e-05,2.5562e-05,5.2031e-05,6.1893e-05,7.0086e-05,0.00014043,6.1976e-05,4.8252e-05,7.9674e-05,7.5194e-05,0.00012516,8.7517e-05,0.0001687,0.0001673,0.00010689,5.0109e-05,0.00012928,0.00011846,9.1715e-05,0.00017996,0.00013556,0.00018701,0.00018064,0.00017734,0.00018515,0.00019257,0.00011588,0.00016506,0.00011733,0.00010362,0.00019135,0.00018943,0.00019381,0.00017752,0.0001508,0.00019149,0.00016353,0.00018773,0.00017587,0.00018794,0.00013455,0.00013455
10,1.0109e-05,-0.0001992,5.953e-05,0.00015236,0.00010778,0.00012283,0.00015454,0.0001493,0.00015517,0.00017634,0.00015125,0.00012386,0.00011809,7.0979e-05,0.00010768,0.00017031,8.2587e-05,0.00014845,7.0965e-05,9.5386e-05,5.5293e-05,4.3704e-05,8.0731e-05,0.00013755,5.5029e-05,9.1854e-05,0.00010675,1.3621e-05,7.0471e-05,3.0944e-05,3.0203e-05,2.5484e-05,1.9399e-05,1.4153e-05,8.4413e-05,3.9813e-05,9.205e-05,9.4021e-05,1.6637e-05,1.566e-05,1.6059e-05,2.8557e-05,5.2571e-05,1.4172e-05,3.9503e-05,1.6234e-05,2.7362e-05,1.6848e-05,7.1515e-05,7.1515e-05
11,-1.4803e-05,1.5371e-06,1.1466e-05,1.3236e-05,3.8376e-06,8.8777e-05,2.6668e-05,3.3351e-05,2.2955e-05,8.5475e-06,2.4124e-05,3.1739e-05,3.5337e-05,3.2792e-05,2.1965e-05,2.3884e-05,2.7543e-05,2.5228e-05,2.7494e-05,2.8526e-05,2.5251e-05,2.6786e-05,2.6313e-05,2.6847e-05,2.9399e-05,2.6706e-05,2.5077e-05,2.522e-05,2.6535e-05,3.0005e-05,2.849e-05,2.8467e-05,2.888e-05,2.6606e-05,2.7285e-05,2.8262e-05,2.7567e-05,2.6957e-05,2.7824e-05,2.7422e-05,2.2579e-05,2.8019e-05,2.8267e-05,2.6157e-05,2.7809e-05,2.7761e-05,2.8032e-05,2.776e-05,2.8312e-05,2.8312e-05
12,1.0185e-05,0.00023414,1.2576e-05,1.5518e-05,,3.9692e-05,-1.2162e-06,7.3968e-06,1.3306e-05,,7.1405e-07,-8.1688e-07,5.3762e-07,-2.535e-06,-1.0653e-07,8.4792e-07,-1.1789e-06,1.8324e-06,7.6871e-07,7.8969e-08,1.2074e-06,4.6139e-07,7.887e-07,1.535e-06,-1.6868e-06,8.9542e-07,9.5935e-07,-2.9906e-06,9.9837e-07,-1.0736e-06,-1.9427e-07,-1.495e-07,-1.0327e-06,-2.8069e-06,3.3078e-07,2.4668e-07,3.4862e-07,5.8221e-07,-3.1931e-06,-7.5421e-07,-2.1275e-06,-8.7232e-08,-5.1964e-07,-1.0522e-06,-1.808e-07,-6.3509e-07,-2.3033e-07,-4.5829e-07,-2.2812e-06,-2.2812e-06
13,2.4334e-06,1.1644e-05,-1.846e-07,2.5643e-06,,5.5273e-06,,,6.8191e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,2.0627e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
