,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,74.949,79.162,74.978,73.658,73.617,73.916,75.071,73.49,73.956,74.219,74.156,74.37,74.045,74.485,74.915,74.455,74.359,74.285,74.45,74.412,74.3,74.481,74.091,74.209,74.137,74.305,74.099,74.159,74.188,74.607,74.223,74.388,74.156,74.316,74.284,74.208,74.229,74.114,74.35,74.215,74.209,74.328,74.348,74.2,74.304,74.304,74.232,74.31,74.187,74.322,74.295,74.295,74.321
1,-112.98,-116.35,-112.2,-110.72,-111.78,-111.85,-112.6,-111.54,-111.7,-111.82,-111.7,-111.99,-111.78,-111.84,-112.42,-111.96,-111.91,-111.95,-111.98,-112.02,-111.99,-112.08,-111.77,-111.83,-111.78,-111.89,-111.73,-111.76,-111.82,-112.14,-111.87,-112.02,-111.8,-111.92,-111.91,-111.86,-111.84,-111.78,-111.96,-111.88,-111.83,-111.96,-111.95,-111.85,-111.91,-111.94,-111.85,-111.93,-111.84,-111.95,-111.92,-111.92,-111.95
2,-13.566,-13.932,-14.02,-14.169,-13.098,-13.301,-13.717,-13.231,-13.504,-13.656,-13.705,-13.632,-13.522,-13.889,-13.74,-13.748,-13.708,-13.596,-13.723,-13.646,-13.568,-13.657,-13.579,-13.637,-13.613,-13.668,-13.63,-13.652,-13.626,-13.724,-13.607,-13.622,-13.609,-13.656,-13.634,-13.606,-13.645,-13.593,-13.645,-13.596,-13.633,-13.627,-13.649,-13.603,-13.651,-13.619,-13.639,-13.64,-13.607,-13.632,-13.632,-13.632,-13.626
3,-0.3173,-0.33444,-0.35227,-0.37911,-0.30458,-0.31926,-0.33874,-0.31366,-0.3291,-0.33187,-0.34129,-0.33568,-0.33211,-0.34134,-0.33447,-0.33477,-0.3316,-0.33302,-0.33816,-0.33089,-0.32953,-0.33503,-0.33078,-0.33181,-0.33191,-0.3339,-0.33278,-0.33261,-0.33461,-0.33697,-0.33085,-0.3328,-0.33224,-0.33293,-0.33235,-0.33146,-0.33394,-0.33046,-0.33298,-0.33133,-0.33259,-0.33238,-0.33384,-0.33194,-0.33389,-0.3313,-0.33297,-0.33218,-0.33096,-0.332,-0.33226,-0.33226,-0.33245
4,-0.0012598,-0.0014014,-0.0014331,-0.0015085,-0.0012454,-0.0012993,-0.0013677,-0.0012896,-0.0013526,-0.0013534,-0.0013812,-0.0013537,-0.0013484,-0.0013822,-0.0013636,-0.0013676,-0.0013525,-0.0013484,-0.0013721,-0.0013509,-0.0013423,-0.0013671,-0.0013513,-0.0013507,-0.0013567,-0.0013613,-0.001352,-0.0013538,-0.001365,-0.0013757,-0.0013475,-0.0013541,-0.0013498,-0.0013599,-0.0013548,-0.0013491,-0.0013605,-0.0013446,-0.0013555,-0.0013527,-0.0013559,-0.0013527,-0.0013593,-0.0013511,-0.0013586,-0.0013464,-0.0013563,-0.0013535,-0.0013473,-0.0013541,-0.0013524,-0.0013524,-0.0013546
5,6.614,6.6967,6.6734,6.4971,6.4318,6.4818,6.4742,6.4744,6.4552,6.506,6.5084,6.5131,6.5097,6.5135,6.5044,6.5097,6.5098,6.511,6.5073,6.507,6.5088,6.5053,6.507,6.5075,6.5069,6.5059,6.5074,6.5066,6.5074,6.5064,6.5065,6.5068,6.507,6.5069,6.507,6.5066,6.507,6.507,6.5072,6.5069,6.5071,6.5069,6.5071,6.5071,6.507,6.507,6.507,6.5069,6.507,6.5069,6.5069,6.5069,6.507
6,0.5482,0.26151,0.25007,0.33371,0.32539,0.29665,0.3071,0.36656,0.31889,0.30912,0.31025,0.30715,0.31067,0.31037,0.31071,0.3033,0.31305,0.31326,0.31291,0.31282,0.31391,0.31369,0.3125,0.31227,0.31473,0.31411,0.313,0.31326,0.31396,0.31324,0.31352,0.31322,0.31329,0.3135,0.31357,0.3135,0.31353,0.31357,0.31337,0.31324,0.31351,0.31346,0.31343,0.3134,0.31332,0.31344,0.31333,0.31344,0.31335,0.31346,0.31346,0.31346,0.31341
7,0.06263,0.059079,0.049882,0.052904,0.057297,0.052123,0.052232,0.054618,0.053294,0.054642,0.052017,0.051177,0.051453,0.051654,0.052414,0.051426,0.049255,0.050366,0.050417,0.049697,0.050454,0.050725,0.051311,0.050717,0.051319,0.05021,0.050805,0.050783,0.050326,0.050993,0.050633,0.050686,0.050497,0.050914,0.050874,0.050983,0.050965,0.050742,0.050909,0.050861,0.050814,0.050783,0.050821,0.050732,0.050859,0.050792,0.050826,0.050808,0.050805,0.050837,0.05081,0.05081,0.050875
8,0.0040183,0.00080194,-0.00065919,0.0027963,-0.00047515,0.00012284,0.00069838,0.0032099,0.00025579,-0.00018673,0.0011737,0.0013226,0.0014132,0.0011311,0.00066969,0.0012637,0.0029439,0.0021271,0.0021286,0.0025575,0.0021934,0.0019444,0.0016058,0.0019758,0.0016795,0.0023387,0.0019625,0.0019238,0.0022888,0.0018137,0.0020421,0.001991,0.002132,0.0018708,0.0018705,0.0018335,0.0018211,0.0019794,0.001857,0.0018943,0.0019149,0.0019457,0.0019231,0.0019822,0.0019073,0.0019385,0.0019201,0.001937,0.0019299,0.0019144,0.0019376,0.0019376,0.0018854
9,0.00071459,0.00057674,0.00046749,2.9011e-05,1.3842e-05,-2.6202e-05,0.00011339,5.1632e-05,2.5083e-06,-7.2126e-05,-1.9516e-05,-5.8605e-05,-4.1005e-05,-8.0091e-06,-8.8739e-05,-6.2505e-05,-2.2921e-05,-2.5708e-05,-6.1731e-05,-1.4704e-05,-3.1497e-05,-7.8153e-05,-7.2812e-05,-7.6982e-05,-8.0367e-05,-2.773e-05,6.1828e-05,-4.6715e-05,-6.1402e-05,-5.7933e-05,-7.1607e-05,-3.9469e-05,-6.6143e-05,-7.1364e-05,-3.1385e-05,-6.0255e-05,-7.4178e-05,-3.6328e-05,-6.4211e-05,-7.2094e-05,-6.123e-05,-2.0614e-06,-6.8014e-05,3.5078e-06,-5.3811e-05,-3.5503e-05,-4.3492e-05,-5.8991e-05,-6.8609e-05,-3.2984e-05,3.9889e-06,3.9889e-06,-5.6777e-05
10,9.7428e-05,-0.00013031,9.983e-05,6.2074e-05,-5.7331e-05,0.00021051,0.00013517,0.00011963,0.00015661,0.00013177,0.00015247,0.00025127,0.00023279,0.00011834,0.00022276,0.0002246,0.00031007,0.00023283,0.00024646,0.00027582,0.00023937,0.00024005,0.00020913,0.00027561,0.00023108,0.00025821,0.00012139,0.00022416,0.00027291,0.00021067,0.00024316,0.00023624,0.00025264,0.00024268,0.00021903,0.00024466,0.00023847,0.00022082,0.00024004,0.00024769,0.00023792,0.00019029,0.00024661,0.00018359,0.00023203,0.00021575,0.00022818,0.00024581,0.00024179,0.00021582,0.00018314,0.00018314,0.00023234
11,7.0417e-05,0.00011105,0.00018373,5.1277e-05,0.00024222,6.0224e-05,1.477e-05,0.00017609,3.4938e-05,4.761e-05,7.33e-05,1.4908e-05,1.2665e-05,0.00013008,2.0075e-05,1.264e-05,3.5283e-05,1.6768e-05,4.387e-05,1.636e-05,1.5785e-05,3.4798e-05,4.9014e-05,8.8451e-06,3.2296e-05,8.4136e-06,1.1175e-05,1.4981e-05,1.4969e-05,4.9309e-05,4.0111e-05,1.0965e-05,2.7127e-05,2.405e-05,9.8245e-06,2.0506e-05,3.4838e-05,1.4975e-05,1.8734e-05,2.1686e-05,2.0823e-05,1.0436e-05,1.9659e-05,1.1372e-05,1.749e-05,1.5948e-05,1.0882e-05,1.1283e-05,2.5274e-05,1.2636e-05,1.0233e-05,1.0233e-05,2.008e-05
12,6.867e-05,5.6335e-06,2.0899e-05,5.0186e-05,3.018e-05,4.5073e-05,2.4285e-05,1.274e-05,3.3422e-05,3.0768e-05,2.671e-05,1.3577e-05,2.1487e-05,2.6603e-05,3.1051e-05,2.258e-05,2.2282e-05,2.4317e-05,2.2291e-05,2.3414e-05,2.4711e-05,2.5208e-05,2.2938e-05,,2.5418e-05,,2.3652e-05,2.4429e-05,2.1974e-05,2.1299e-05,2.2802e-05,2.0111e-05,2.2481e-05,2.4627e-05,,1.1048e-05,2.4135e-05,2.5008e-05,2.5183e-05,2.4945e-05,2.4713e-05,2.4238e-05,2.4456e-05,2.4411e-05,2.4846e-05,2.489e-05,2.4497e-05,2.4423e-05,2.4819e-05,2.4756e-05,2.4069e-05,2.4069e-05,2.5221e-05
