,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,102.48,102.48,95.946,102.68,102.68,100.8,101.01,101.01,100.47,102.06,101.88,101.05,101.89,101.07,101.05,101.23,101.27,101.32,101.13,101.47,101.32,101.33,101.35,101.57,101.01,101.21,101.26,101.19,101.06,101.16,101.2,101.23,101.23,101.24,101.16,101.38,101.32,101.32,101.42,101.28,101.17,101.32,101.19,101.33,101.33,101.26,101.35,101.33,101.34,101.19,101.21,101.22,101.22,101.18,101.2,101.24,101.25,101.29
1,-145.71,-145.71,-139.42,-145.58,-145.58,-143.77,-143.9,-143.9,-143.4,-144.47,-144.51,-143.83,-144.74,-143.79,-143.91,-144.26,-144.13,-144.32,-143.94,-144.24,-144.18,-144.27,-144.14,-144.31,-143.97,-144.04,-144.04,-144.05,-143.92,-143.97,-143.99,-144.01,-144.09,-144.07,-144.02,-144.2,-144.18,-144.19,-144.22,-144.06,-144.03,-144.15,-144.03,-144.16,-144.16,-144.12,-144.18,-144.15,-144.16,-144.03,-144.08,-144.1,-144.04,-144.05,-144.08,-144.07,-144.09,-144.14
2,-18.149,-18.149,-17.902,-18.433,-18.433,-18.371,-18.45,-18.45,-18.392,-18.894,-18.693,-18.547,-18.496,-18.603,-18.479,-18.315,-18.471,-18.347,-18.521,-18.558,-18.478,-18.395,-18.544,-18.591,-18.38,-18.51,-18.557,-18.479,-18.478,-18.522,-18.54,-18.55,-18.483,-18.504,-18.483,-18.516,-18.477,-18.471,-18.533,-18.556,-18.476,-18.509,-18.494,-18.507,-18.507,-18.479,-18.507,-18.512,-18.515,-18.5,-18.473,-18.457,-18.514,-18.471,-18.458,-18.505,-18.496,-18.484
3,-0.57435,-0.57435,-0.55046,-0.55148,-0.55148,-0.56293,-0.57266,-0.57266,-0.56871,-0.59147,-0.58534,-0.57531,-0.56685,-0.57945,-0.56929,-0.55501,-0.57654,-0.55773,-0.56939,-0.57287,-0.56771,-0.56159,-0.57184,-0.57475,-0.55995,-0.56855,-0.57437,-0.56832,-0.5667,-0.57136,-0.56963,-0.57404,-0.56408,-0.5702,-0.56591,-0.56824,-0.56448,-0.56486,-0.57129,-0.5729,-0.56711,-0.56847,-0.569,-0.56928,-0.56928,-0.56673,-0.57004,-0.56971,-0.57068,-0.56816,-0.56652,-0.56732,-0.57006,-0.5664,-0.56632,-0.56823,-0.56848,-0.56782
4,-0.0030275,-0.0030275,-0.0029544,-0.0030906,-0.0030906,-0.0031846,-0.0032369,-0.0032369,-0.00316,-0.0033301,-0.0032864,-0.003217,-0.0031647,-0.003226,-0.0031941,-0.0031113,-0.0032362,-0.0031267,-0.0032013,-0.0031995,-0.0031905,-0.0031482,-0.0032078,-0.003225,-0.0031349,-0.0031915,-0.0032109,-0.0031868,-0.0031753,-0.0032059,-0.0031935,-0.0032164,-0.0031709,-0.0031892,-0.0031644,-0.00318,-0.0031616,-0.0031683,-0.0032009,-0.0032071,-0.0031786,-0.0031833,-0.0031873,-0.0031892,-0.0031892,-0.0031792,-0.0031973,-0.0031967,-0.003195,-0.0031871,-0.0031748,-0.0031879,-0.0031942,-0.0031754,-0.0031787,-0.003181,-0.0031893,-0.0031843
5,8.2906,8.2906,7.7584,7.8255,7.8255,7.7871,7.8287,7.8287,7.755,7.8074,7.8207,7.8136,7.8089,7.8187,7.8182,7.8159,7.82,7.8125,7.8167,7.8137,7.8166,7.8133,7.8197,7.8172,7.8172,7.8182,7.8177,7.8178,7.8171,7.8172,7.8167,7.8171,7.8171,7.8172,7.8174,7.817,7.8172,7.8172,7.8172,7.8172,7.8174,7.8173,7.8173,7.8172,7.8172,7.8173,7.8172,7.8173,7.8172,7.8172,7.8173,7.8172,7.8173,7.8173,7.8172,7.8173,7.8172,7.8172
6,0.27052,0.27052,0.42253,0.32064,0.32064,0.37286,0.36433,0.36433,0.3748,0.36044,0.3683,0.36494,0.3864,0.36787,0.36414,0.36335,0.3673,0.3736,0.36937,0.36622,0.36819,0.36885,0.36892,0.36815,0.36803,0.36861,0.36749,0.36731,0.36832,0.36749,0.36869,0.36848,0.36792,0.36801,0.36773,0.3681,0.36823,0.36815,0.36804,0.36813,0.36776,0.368,0.36799,0.36801,0.36801,0.36792,0.36797,0.3679,0.36803,0.36801,0.36795,0.36793,0.36793,0.36792,0.36793,0.36792,0.36794,0.36796
7,0.062556,0.062556,0.071051,0.06981,0.06981,0.064138,0.061405,0.061405,0.062348,0.062793,0.05883,0.060516,0.061874,0.061126,0.061614,0.06062,0.059651,0.061125,0.061724,0.061632,0.061738,0.061891,0.05984,0.060933,0.061057,0.061263,0.060504,0.060865,0.060639,0.060573,0.061058,0.060888,0.060689,0.060745,0.060499,0.060905,0.060718,0.060551,0.060577,0.060457,0.060574,0.06061,0.060614,0.060698,0.060698,0.060677,0.060673,0.060696,0.060692,0.060642,0.060609,0.060656,0.060608,0.0607,0.06061,0.060633,0.060652,0.060599
8,0.00051518,0.00051518,0.003402,0.0010856,0.0010856,0.0006555,0.0016771,0.0016771,0.0010705,0.00064231,0.0030572,0.0017845,0.0016843,0.0016697,0.0011458,0.001774,0.0022821,0.0016326,0.0012722,0.0013191,0.0012707,0.0011812,0.0022477,0.0016396,0.001617,0.0014821,0.0018359,0.0016748,0.0017983,0.0018206,0.0015968,0.0016842,0.0017588,0.0017378,0.0018678,0.0016675,0.0017396,0.0018511,0.001825,0.0018793,0.0018324,0.0018168,0.0017927,0.0017614,0.0017614,0.001769,0.0017862,0.0017663,0.001756,0.0017811,0.0018094,0.0017753,0.0018072,0.0017567,0.0018049,0.0017903,0.0017971,0.0018043
9,7.8646e-05,7.8646e-05,9.8516e-05,0.00010342,0.00010342,-5.6943e-05,-0.00012634,-0.00012634,-8.1374e-06,-5.0488e-05,3.9317e-05,-0.00010837,7.85e-05,-5.8918e-05,-5.8966e-05,-4.9843e-05,-8.9158e-05,1.3234e-05,-6.5432e-05,-4.8401e-05,-8.1825e-05,-6.4852e-05,-4.801e-05,-9.1068e-05,-4.6811e-05,-5.2515e-05,-4.639e-05,-8.1411e-05,-5.5851e-05,-4.6842e-05,-9.7095e-05,-6.0347e-05,-5.2453e-05,-6.6409e-05,-4.5738e-05,-7.7873e-05,-5.8247e-05,-5.6315e-05,-3.3201e-05,-3.5563e-05,-5.9419e-05,-6.9708e-05,-4.7772e-05,-6.6804e-05,-6.6804e-05,-3.5749e-05,-7.1487e-05,-6.3675e-05,-5.6878e-05,-5.9446e-05,-6.638e-05,-4.6308e-05,-6.471e-05,-6.0558e-05,-5.9494e-05,-6.6083e-05,-7.1055e-05,-5.3287e-05
