,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
0,137.3,137.3,128.04,129.31,129.27,129.05,128.62,129.73,130.73,130.49,128.99,130.0,130.29,130.67,130.14,129.97,130.53,130.53,130.41,130.41,129.94,130.67,130.02,130.26,130.16,130.56,129.9,130.66,130.34,130.27,130.2,130.19,130.11,129.99,129.99,129.99,130.3,130.24,130.4,130.4,130.4,130.29,130.56,130.42,130.21,130.41,130.41,130.33,130.33,130.33,130.42,130.42,130.42,130.36,130.31,130.31,130.12,130.3,130.22,130.24,130.24,130.24,130.26,130.21,130.28,130.31,130.24,130.43,130.43
1,-184.18,-184.18,-176.64,-178.2,-177.44,-177.09,-177.08,-177.86,-179.0,-178.2,-176.98,-178.02,-178.3,-178.54,-178.19,-178.07,-178.42,-178.42,-178.6,-178.6,-177.9,-178.62,-178.12,-178.36,-178.17,-178.6,-177.94,-178.59,-178.42,-178.38,-178.21,-178.22,-178.05,-178.05,-178.05,-178.05,-178.32,-178.24,-178.41,-178.41,-178.41,-178.33,-178.51,-178.41,-178.24,-178.41,-178.41,-178.37,-178.37,-178.37,-178.43,-178.43,-178.43,-178.38,-178.34,-178.34,-178.16,-178.3,-178.26,-178.27,-178.27,-178.27,-178.26,-178.25,-178.3,-178.34,-178.25,-178.42,-178.42
2,-24.219,-24.219,-23.341,-22.422,-23.31,-23.348,-22.893,-23.281,-23.126,-23.645,-23.366,-23.377,-23.367,-23.495,-23.332,-23.292,-23.485,-23.485,-23.203,-23.203,-23.413,-23.422,-23.287,-23.286,-23.37,-23.354,-23.355,-23.438,-23.31,-23.272,-23.375,-23.349,-23.438,-23.323,-23.323,-23.323,-23.367,-23.392,-23.37,-23.37,-23.37,-23.343,-23.431,-23.398,-23.353,-23.39,-23.39,-23.349,-23.349,-23.349,-23.374,-23.374,-23.374,-23.368,-23.357,-23.357,-23.348,-23.382,-23.346,-23.351,-23.351,-23.351,-23.378,-23.347,-23.362,-23.36,-23.378,-23.395,-23.395
3,-0.84454,-0.84454,-0.79241,-0.75563,-0.81539,-0.8604,-0.8398,-0.8177,-0.82312,-0.86776,-0.86127,-0.81586,-0.84186,-0.85163,-0.82934,-0.83504,-0.84074,-0.84074,-0.82276,-0.82276,-0.84625,-0.84226,-0.82832,-0.83361,-0.84024,-0.8315,-0.82759,-0.84753,-0.83054,-0.83539,-0.83804,-0.83839,-0.84337,-0.83597,-0.83597,-0.83597,-0.83796,-0.83461,-0.83618,-0.83618,-0.83618,-0.83603,-0.83912,-0.83727,-0.83562,-0.83675,-0.83675,-0.83493,-0.83493,-0.83493,-0.83495,-0.83495,-0.83495,-0.83727,-0.83543,-0.83543,-0.83527,-0.83789,-0.83502,-0.83894,-0.83894,-0.83894,-0.83788,-0.83838,-0.83499,-0.83612,-0.83765,-0.83588,-0.83588
4,-0.0064894,-0.0064894,-0.0060088,-0.0058263,-0.0059552,-0.0063638,-0.0061587,-0.0060964,-0.006125,-0.0063888,-0.0063745,-0.0060082,-0.0062106,-0.0063354,-0.0061668,-0.0061987,-0.0062087,-0.0062087,-0.0060875,-0.0060875,-0.0062644,-0.0062356,-0.0061597,-0.0061853,-0.0062356,-0.0061789,-0.0061503,-0.0062967,-0.0061801,-0.0061972,-0.0062288,-0.0062249,-0.0062524,-0.0061929,-0.0061929,-0.0061929,-0.0062103,-0.0061921,-0.0062139,-0.0062139,-0.0062139,-0.0062107,-0.0062328,-0.0062055,-0.006213,-0.0062138,-0.0062138,-0.0062042,-0.0062042,-0.0062042,-0.0062001,-0.0062001,-0.0062001,-0.0062225,-0.0062062,-0.0062062,-0.0062,-0.0062203,-0.0062091,-0.0062336,-0.0062336,-0.0062336,-0.0062237,-0.0062277,-0.0062098,-0.0062178,-0.0062259,-0.0062077,-0.0062077
5,7.6593,7.6593,9.4228,9.0316,9.4117,9.1218,9.1243,9.1338,9.1267,9.1108,9.1524,9.1828,9.1216,9.1331,9.1187,9.1406,9.1366,9.1366,9.1279,9.1279,9.1292,9.13,9.127,9.1271,9.1254,9.1296,9.1299,9.1278,9.1292,9.1286,9.1278,9.1278,9.1289,9.1289,9.1289,9.1289,9.1282,9.1286,9.1285,9.1285,9.1285,9.1285,9.1284,9.1287,9.1285,9.1284,9.1284,9.1285,9.1285,9.1285,9.1284,9.1284,9.1284,9.1285,9.1285,9.1285,9.1284,9.1284,9.1285,9.1284,9.1284,9.1284,9.1285,9.1285,9.1285,9.1285,9.1285,9.1285,9.1285
6,0.33457,0.33457,0.47298,0.37018,0.39626,0.40764,0.4392,0.43686,0.41199,0.44364,0.40481,0.40695,0.42627,0.41981,0.42962,0.42069,0.41617,0.41617,0.42185,0.42185,0.42228,0.42073,0.42185,0.42387,0.42224,0.42026,0.41918,0.42098,0.42042,0.42089,0.42118,0.42181,0.42066,0.42028,0.42028,0.42028,0.4208,0.42078,0.42104,0.42104,0.42104,0.42093,0.42111,0.42081,0.42109,0.42111,0.42111,0.42102,0.42102,0.42102,0.42102,0.42102,0.42102,0.42108,0.42098,0.42098,0.42108,0.42105,0.42103,0.42106,0.42106,0.42106,0.42106,0.42105,0.42104,0.42106,0.42104,0.42106,0.42106
7,0.067851,0.067851,0.055043,0.073574,0.055834,0.077956,0.068849,0.063005,0.070314,0.075377,0.068645,0.0625,0.069175,0.068769,0.070012,0.0694,0.071618,0.071618,0.070712,0.070712,0.070348,0.071201,0.070238,0.070256,0.071694,0.071579,0.071135,0.070261,0.070722,0.070475,0.071009,0.070937,0.070515,0.070545,0.070545,0.070545,0.070504,0.0702,0.070458,0.070458,0.070458,0.07059,0.070509,0.070392,0.070413,0.070482,0.070482,0.070475,0.070475,0.070475,0.070469,0.070469,0.070469,0.070502,0.07048,0.07048,0.070496,0.070513,0.070506,0.0705,0.0705,0.0705,0.070493,0.070527,0.070482,0.070487,0.070484,0.070465,0.070465
8,0.00085693,0.00085693,0.021178,-0.00015649,0.013483,0.0006812,0.0036546,0.0089514,0.0017027,0.00041993,0.0024464,0.0069658,0.0030956,0.003028,0.0023835,0.0023398,0.0012042,0.0012042,0.0016419,0.0016419,0.0018681,0.0014364,0.0018673,0.0019038,0.0011041,0.0011691,0.0013903,0.0019293,0.0016131,0.0017805,0.0014038,0.0015395,0.0017314,0.0017475,0.0017475,0.0017475,0.0017444,0.0019133,0.0017537,0.0017537,0.0017537,0.0016847,0.0017195,0.0018111,0.0017763,0.0017485,0.0017485,0.0017561,0.0017561,0.0017561,0.0017672,0.0017672,0.0017672,0.0017309,0.0017603,0.0017603,0.0017404,0.0017398,0.0017316,0.0017336,0.0017336,0.0017336,0.0017335,0.0017292,0.0017468,0.001756,0.0017371,0.0017491,0.0017491
9,0.00052593,0.00052593,0.0017019,-0.00010394,0.00095325,9.1237e-05,0.00022281,-4.9803e-05,5.7751e-05,1.1095e-05,-5.5198e-06,0.00033645,9.6086e-05,8.4921e-05,0.00024185,4.797e-05,7.9705e-05,7.9705e-05,0.00015948,0.00015948,0.00010873,0.00022394,0.0002617,0.0001647,0.00010366,9.5006e-05,9.7372e-05,5.8589e-05,9.5436e-05,0.00020444,0.00027912,0.0001235,0.00016512,0.00018861,0.00018861,0.00018861,0.00035239,0.00019714,0.00014121,0.00014121,0.00014121,0.00017517,0.0001507,0.00034781,0.00022183,0.00022487,0.00022487,0.0002926,0.0002926,0.0002926,0.00030973,0.00030973,0.00030973,0.00016532,0.00027923,0.00027923,0.00029626,0.00018836,0.00024877,0.00027701,0.00027701,0.00027701,0.00026751,0.00021414,0.00019516,0.0001717,0.00017975,0.0001682,0.0001682
