,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
0,160.13,166.09,153.68,163.28,163.28,162.43,160.59,161.61,160.51,160.41,160.41,160.29,161.26,161.26,161.69,161.69,160.46,161.63,161.95,161.29,161.13,161.05,161.33,161.11,160.57,160.96,161.26,160.98,161.05,161.14,161.39,161.1,161.33,161.17,161.17,161.38,161.09,161.09,161.47,161.47,160.95,161.04,161.04,161.04,161.35,161.35,161.52,160.94,160.95,160.95,161.0,161.06,161.23,161.23,160.97,160.97,161.07,161.07,161.17,161.17,160.95,161.24,161.23,161.02,161.13,161.02,161.02,161.06,161.06,161.1,161.1,161.12,161.12,161.16,161.16,161.16,161.16,161.16
1,-214.34,-218.73,-208.35,-215.96,-215.96,-215.01,-214.24,-215.21,-213.83,-213.82,-213.82,-213.58,-214.3,-214.3,-214.77,-214.77,-213.66,-214.8,-214.84,-214.52,-214.17,-214.33,-214.42,-214.12,-213.87,-214.09,-214.41,-214.09,-214.12,-214.26,-214.54,-214.23,-214.38,-214.3,-214.3,-214.42,-214.26,-214.26,-214.56,-214.56,-214.07,-214.21,-214.21,-214.21,-214.44,-214.44,-214.63,-214.1,-214.09,-214.09,-214.19,-214.16,-214.29,-214.37,-214.16,-214.16,-214.19,-214.19,-214.29,-214.29,-214.11,-214.34,-214.35,-214.21,-214.27,-214.15,-214.15,-214.22,-214.22,-214.25,-214.25,-214.29,-214.29,-214.28,-214.28,-214.28,-214.29,-214.29
2,-27.669,-28.836,-26.844,-28.657,-28.657,-28.818,-27.775,-27.865,-28.098,-28.013,-28.013,-28.144,-28.383,-28.383,-28.342,-28.342,-28.241,-28.263,-28.526,-28.224,-28.373,-28.159,-28.353,-28.401,-28.149,-28.309,-28.285,-28.311,-28.358,-28.314,-28.275,-28.303,-28.373,-28.301,-28.301,-28.38,-28.269,-28.269,-28.344,-28.344,-28.309,-28.266,-28.266,-28.266,-28.335,-28.335,-28.319,-28.272,-28.285,-28.285,-28.245,-28.321,-28.367,-28.295,-28.239,-28.239,-28.312,-28.312,-28.3,-28.31,-28.264,-28.329,-28.312,-28.243,-28.288,-28.296,-28.296,-28.28,-28.28,-28.277,-28.277,-28.262,-28.262,-28.309,-28.309,-28.309,-28.302,-28.302
3,-1.1484,-1.1709,-0.9711,-1.1399,-1.1399,-1.1104,-1.0546,-1.0836,-1.1323,-1.1079,-1.1079,-1.0925,-1.1062,-1.1062,-1.1167,-1.1167,-1.0944,-1.1013,-1.1187,-1.0835,-1.1165,-1.0989,-1.0936,-1.1176,-1.0896,-1.1028,-1.0994,-1.1072,-1.1072,-1.0983,-1.1065,-1.1053,-1.1089,-1.1038,-1.1038,-1.1083,-1.1045,-1.1045,-1.1049,-1.1049,-1.1045,-1.1046,-1.1046,-1.1046,-1.1113,-1.1113,-1.1104,-1.1018,-1.1081,-1.1081,-1.0998,-1.1053,-1.108,-1.1025,-1.1043,-1.1043,-1.1078,-1.1078,-1.107,-1.1058,-1.105,-1.1085,-1.1029,-1.1034,-1.1068,-1.1048,-1.1048,-1.1031,-1.1031,-1.104,-1.104,-1.1032,-1.1032,-1.1072,-1.1072,-1.1072,-1.1048,-1.1048
4,-0.010183,-0.010722,-0.0086074,-0.010004,-0.010004,-0.010048,-0.0095713,-0.0098484,-0.01011,-0.0098048,-0.0098048,-0.009745,-0.0098854,-0.0098854,-0.0099798,-0.0099798,-0.0097575,-0.0098954,-0.009922,-0.0096772,-0.0099461,-0.0098505,-0.0097295,-0.0099781,-0.0097435,-0.0098687,-0.0098495,-0.009909,-0.009917,-0.0098231,-0.0098726,-0.0098698,-0.0099124,-0.0098544,-0.0098544,-0.0098858,-0.0098689,-0.0098689,-0.0098798,-0.0098798,-0.0098562,-0.0098791,-0.0098791,-0.0098791,-0.0099288,-0.0099288,-0.0099063,-0.0098418,-0.0099024,-0.0099024,-0.0098455,-0.0098758,-0.009894,-0.0098552,-0.0098588,-0.0098588,-0.0098944,-0.0098944,-0.0098903,-0.0098773,-0.0098719,-0.0099021,-0.0098595,-0.0098658,-0.0098853,-0.0098704,-0.0098704,-0.0098642,-0.0098642,-0.0098599,-0.0098599,-0.0098594,-0.0098594,-0.0098909,-0.0098909,-0.0098909,-0.0098643,-0.0098643
5,10.317,11.144,10.888,10.351,10.351,10.38,10.335,10.461,10.468,10.452,10.452,10.459,10.446,10.446,10.445,10.445,10.435,10.453,10.443,10.443,10.451,10.448,10.447,10.446,10.446,10.446,10.448,10.448,10.446,10.447,10.447,10.448,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.448,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447
6,0.74589,0.52049,0.32811,0.47703,0.47703,0.44488,0.4821,0.45562,0.46095,0.46326,0.46326,0.44259,0.46277,0.46277,0.4728,0.4728,0.47656,0.46044,0.46562,0.46264,0.4619,0.46368,0.47015,0.46552,0.46227,0.46608,0.46416,0.46436,0.46548,0.46431,0.46447,0.4644,0.46487,0.46572,0.46572,0.46522,0.4648,0.4648,0.4647,0.4647,0.46482,0.46493,0.46493,0.46493,0.46506,0.46506,0.46507,0.46483,0.46489,0.46489,0.46493,0.46492,0.4649,0.4649,0.46492,0.46492,0.46491,0.46491,0.46501,0.46491,0.46493,0.46491,0.46495,0.46497,0.46501,0.46491,0.46491,0.46498,0.46498,0.46492,0.46492,0.46491,0.46491,0.46494,0.46494,0.46494,0.46496,0.46496
7,0.058186,0.085515,0.084612,0.082533,0.082533,0.083617,0.090969,0.085091,0.078084,0.081739,0.081739,0.083262,0.081409,0.081409,0.081302,0.081302,0.083868,0.082,0.082297,0.082332,0.080601,0.081041,0.080417,0.081656,0.081496,0.081622,0.081386,0.081137,0.081397,0.081207,0.081737,0.08144,0.081407,0.081907,0.081907,0.081704,0.081346,0.081346,0.08161,0.08161,0.081492,0.081531,0.081531,0.081531,0.081375,0.081375,0.081384,0.081331,0.081407,0.081407,0.081422,0.081451,0.081423,0.081391,0.08143,0.08143,0.081428,0.081428,0.081417,0.081373,0.081408,0.081402,0.081417,0.081421,0.081413,0.081407,0.081407,0.081409,0.081409,0.081405,0.081405,0.081407,0.081407,0.081414,0.081414,0.081414,0.081411,0.081411
8,-0.0058424,0.0014582,-0.00083766,0.0029849,0.0029849,-0.0014085,0.00077953,-0.00059495,0.0031094,0.0018428,0.0018428,0.00063088,0.001639,0.001639,0.0022897,0.0022897,0.0012189,0.00094164,0.0016906,0.0015588,0.0020675,0.0023285,0.0025499,0.0018833,0.0018127,0.0020439,0.0022166,0.0019368,0.0020515,0.0017165,0.0014838,0.001956,0.0014589,0.0017539,0.0017539,0.0019712,0.0021262,0.0021262,0.0019491,0.0019491,0.0020321,0.0020441,0.0020441,0.0020441,0.0021459,0.0021459,0.0021077,0.0021253,0.0020123,0.0020123,0.0020732,0.0019853,0.0020768,0.0021033,0.0020325,0.0020325,0.0020704,0.0020704,0.0019902,0.0021002,0.0020547,0.002093,0.0021259,0.0020906,0.0019985,0.0020925,0.0020925,0.0020136,0.0020136,0.0020611,0.0020611,0.0020017,0.0020017,0.0021156,0.0021156,0.0021156,0.0020877,0.0020877
9,0.060596,0.0090805,-0.0013219,0.0011031,0.0011031,0.0017178,0.00033217,0.0014095,0.00078725,0.00043781,0.00043781,0.00023813,0.00061897,0.00061897,0.00041218,0.00041218,0.00029852,0.00086387,0.00034004,0.00035496,0.00058383,0.00040192,0.00049202,0.00041611,0.00044596,0.0003826,0.00025308,0.00048803,0.00037904,0.00072531,0.00062977,0.0003235,0.00084748,0.00035828,0.00035828,0.00030806,0.00029295,0.00029295,0.00030507,0.00030507,0.00036212,0.00036511,0.00036511,0.00036511,0.00038858,0.00038858,0.00037731,0.00037599,0.00041057,0.00041057,0.00036945,0.00034819,0.00034659,0.0003127,0.00033422,0.00033422,0.0003307,0.0003307,0.00036972,0.00033315,0.00030399,0.00031315,0.00038444,0.0003304,0.00034868,0.00031237,0.00031237,0.00035781,0.00035781,0.00034111,0.00034111,0.00034735,0.00034735,0.00036425,0.00036425,0.00036425,0.0003169,0.0003169
