,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,116.8,110.31,115.33,116.58,113.4,113.5,113.02,114.45,113.62,113.56,113.85,113.45,112.96,112.83,113.11,113.08,112.62,113.32,113.24,113.27,112.5,113.09,112.86,113.09,113.04,112.92,113.36,113.04,113.06,113.18,113.15,113.2,113.17,113.24,113.37,113.14,113.19,113.07,113.07,113.08,113.09,113.09,113.15,113.07,113.19,113.18,113.1
1,-240.1,-237.42,-243.16,-244.08,-241.27,-241.45,-240.94,-242.31,-241.55,-241.39,-241.74,-241.28,-240.86,-240.77,-241.02,-241.0,-240.58,-241.23,-241.11,-241.16,-240.46,-241.01,-240.79,-240.98,-240.95,-240.88,-241.26,-240.96,-240.99,-241.1,-241.06,-241.1,-241.08,-241.15,-241.27,-241.05,-241.11,-240.99,-240.99,-240.98,-241.01,-241.01,-241.06,-240.98,-241.09,-241.08,-241.02
2,-9.2885,-8.8748,-9.0305,-9.275,-9.1184,-8.982,-8.9811,-9.0828,-8.99,-9.0968,-9.0369,-9.0874,-9.0362,-8.9971,-9.0103,-9.0047,-8.9557,-9.003,-9.052,-9.04,-8.9709,-9.0082,-8.9968,-9.0399,-9.0139,-8.9705,-9.0194,-9.0077,-8.997,-9.0051,-9.0142,-9.0221,-9.0135,-9.0226,-9.0267,-9.0143,-9.0107,-9.0093,-9.0062,-9.0182,-9.0099,-9.0042,-9.0189,-9.0092,-9.0179,-9.0179,-9.0087
3,-0.051813,-0.052254,-0.050941,-0.052934,-0.051239,-0.050124,-0.050402,-0.050836,-0.050608,-0.051568,-0.051097,-0.051151,-0.051051,-0.050761,-0.050855,-0.05069,-0.050471,-0.050723,-0.0511,-0.050992,-0.050408,-0.050829,-0.050744,-0.050892,-0.05079,-0.05033,-0.050772,-0.050818,-0.050678,-0.050655,-0.050775,-0.050855,-0.050804,-0.05082,-0.050884,-0.050818,-0.050733,-0.050693,-0.050703,-0.050819,-0.050702,-0.05069,-0.050803,-0.050772,-0.050815,-0.050808,-0.050721
4,-0.00026232,-0.00025359,-0.00025853,-0.0002707,-0.0002627,-0.00025778,-0.00025779,-0.00026081,-0.000259,-0.00026214,-0.00025962,-0.00026004,-0.00026024,-0.00025876,-0.00025993,-0.00025879,-0.00025867,-0.00025942,-0.0002607,-0.00026053,-0.00025787,-0.0002596,-0.00025889,-0.00025998,-0.00025914,-0.00025781,-0.00025911,-0.00025962,-0.00025884,-0.00025904,-0.00025943,-0.00025975,-0.00025948,-0.0002596,-0.00025972,-0.00025964,-0.00025939,-0.00025908,-0.00025907,-0.00025931,-0.00025915,-0.0002591,-0.00025947,-0.00025936,-0.00025952,-0.00025944,-0.00025915
5,4.7273,4.968,4.9969,4.9134,4.916,4.9136,4.9198,4.9138,4.9164,4.9206,4.9149,4.9202,4.9228,4.9216,4.9123,4.9181,4.9147,4.9175,4.9204,4.914,4.9186,4.9215,4.9201,4.9175,4.9176,4.9177,4.9181,4.9181,4.9185,4.918,4.9182,4.918,4.9179,4.9183,4.9182,4.918,4.9179,4.9177,4.9182,4.9181,4.9184,4.918,4.9181,4.9182,4.918,4.9181,4.9181
6,1.8934,1.842,1.9939,1.9682,1.9836,1.9033,1.9146,1.9492,1.9264,1.932,1.9298,1.9314,1.933,1.9332,1.9464,1.9341,1.9372,1.9369,1.9348,1.9363,1.9354,1.9321,1.9345,1.9359,1.9366,1.9346,1.9339,1.9353,1.9347,1.9351,1.9349,1.9347,1.9351,1.9349,1.9344,1.935,1.9346,1.9351,1.9352,1.9351,1.9347,1.935,1.935,1.9347,1.9353,1.9351,1.935
7,0.011505,0.017811,0.010077,0.011417,0.005328,0.0087887,0.010579,0.00313,0.0056354,0.0045138,0.0090918,0.0043277,0.001762,9.4107e-07,0.0028862,0.00039817,0.0016592,0.0028133,0.0034204,0.0033215,0.0036588,0.002246,0.0016234,0.0028152,0.0024039,0.002762,0.0031354,0.0025749,0.0022678,0.0024965,0.0026853,0.0025281,0.002875,0.0020934,0.0028797,0.0025092,0.0028586,0.0021821,0.0025485,0.0027726,0.0024576,0.0025424,0.0023708,0.002647,0.0023952,0.0025107,0.0024891
8,0.0016043,0.0031018,0.0025439,0.0021358,0.0072266,0.0035668,0.004728,0.0090374,0.0059116,0.0073039,0.0026682,0.0075096,0.010159,0.011928,0.0088994,0.011492,0.010159,0.0089448,0.0083358,0.0083494,0.0081369,0.0095822,0.010203,0.0089333,0.0093485,0.0089531,0.0086062,0.0091866,0.0094887,0.0092624,0.0090832,0.0092301,0.0088472,0.0096698,0.0088573,0.0092406,0.0088744,0.0095825,0.0092087,0.0089734,0.0093045,0.0092109,0.0093783,0.0090866,0.0093665,0.009244,0.0092588
9,2.9264e-05,-2.7237e-05,-3.3654e-05,-5.5734e-05,-3.891e-05,3.2537e-05,3.7233e-05,-6.059e-05,-5.5624e-05,-5.692e-05,-3.1376e-05,-6.1778e-05,-7.5259e-05,-9.2237e-05,-7.5817e-05,-9.0218e-05,-8.171e-05,-7.0295e-05,-6.8394e-05,-6.7522e-05,-6.3731e-05,-7.6823e-05,-7.7314e-05,-6.798e-05,-7.2155e-05,-7.0317e-05,-6.7188e-05,-7.1659e-05,-7.2516e-05,-7.1108e-05,-6.9745e-05,-7.1473e-05,-6.7878e-05,-7.3787e-05,-6.7749e-05,-7.1063e-05,-6.9179e-05,-7.2771e-05,-7.0881e-05,-6.8679e-05,-7.1041e-05,-7.0602e-05,-7.1474e-05,-7.0151e-05,-7.1573e-05,-7.064e-05,-7.1051e-05
