,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,118.33,119.9,118.47,118.47,118.53,119.09,120.98,121.31,121.73,120.99,119.79,119.57,120.72,120.27,120.53,120.93,120.13,120.42,121.08,120.16,120.91,119.98,120.49,120.04,120.53,120.14,120.34,120.54,120.24,120.49,120.33,120.33,120.44,120.15,120.38,120.33,120.39,120.18,120.46,120.36,120.36,120.46,120.23,120.23,120.24,120.19,120.19,120.45,120.29,120.28,120.16,120.16,120.16,120.17,120.34,120.53,120.24,120.21,120.21,120.41,120.24
1,-260.13,-260.07,-258.97,-258.97,-258.73,-259.62,-261.19,-261.43,-261.84,-261.27,-260.23,-259.84,-260.92,-260.53,-260.77,-261.1,-260.4,-260.65,-261.26,-260.39,-261.09,-260.24,-260.73,-260.28,-260.76,-260.39,-260.59,-260.75,-260.47,-260.75,-260.58,-260.57,-260.68,-260.42,-260.62,-260.57,-260.63,-260.42,-260.69,-260.61,-260.61,-260.7,-260.49,-260.49,-260.5,-260.44,-260.44,-260.68,-260.53,-260.51,-260.42,-260.42,-260.42,-260.42,-260.58,-260.76,-260.5,-260.46,-260.46,-260.64,-260.48
2,-10.266,-10.362,-10.037,-10.037,-10.424,-10.188,-10.417,-10.471,-10.484,-10.319,-10.18,-10.329,-10.405,-10.36,-10.362,-10.439,-10.344,-10.376,-10.424,-10.375,-10.437,-10.344,-10.367,-10.361,-10.379,-10.357,-10.35,-10.394,-10.376,-10.356,-10.363,-10.372,-10.369,-10.343,-10.369,-10.373,-10.373,-10.363,-10.376,-10.357,-10.357,-10.365,-10.355,-10.355,-10.349,-10.361,-10.361,-10.371,-10.365,-10.371,-10.352,-10.35,-10.35,-10.357,-10.366,-10.373,-10.343,-10.354,-10.354,-10.372,-10.37
3,-0.066718,-0.063493,-0.061217,-0.061217,-0.066947,-0.064327,-0.066707,-0.067626,-0.067208,-0.06538,-0.063862,-0.066153,-0.066671,-0.065845,-0.066158,-0.067653,-0.066046,-0.066608,-0.066856,-0.066482,-0.066963,-0.066012,-0.066206,-0.066273,-0.066391,-0.066073,-0.066097,-0.066637,-0.066509,-0.065975,-0.066211,-0.066235,-0.066196,-0.066209,-0.066454,-0.066428,-0.066312,-0.066377,-0.066416,-0.065993,-0.065993,-0.06624,-0.066198,-0.066198,-0.06608,-0.066253,-0.066253,-0.066179,-0.066214,-0.066392,-0.066137,-0.066129,-0.066129,-0.066154,-0.066259,-0.066331,-0.065968,-0.066134,-0.066134,-0.066358,-0.066334
4,-0.00032023,-0.00031063,-0.00030254,-0.00030254,-0.00031764,-0.00030688,-0.00031692,-0.00032347,-0.00032118,-0.00031502,-0.00030721,-0.0003146,-0.00031908,-0.00031523,-0.00031628,-0.00032131,-0.00031621,-0.00031834,-0.00031957,-0.00031794,-0.0003203,-0.00031614,-0.00031592,-0.00031693,-0.00031728,-0.00031652,-0.00031662,-0.00031838,-0.0003179,-0.00031646,-0.00031678,-0.00031721,-0.00031666,-0.00031662,-0.00031734,-0.0003175,-0.00031747,-0.00031723,-0.00031742,-0.00031587,-0.00031587,-0.00031667,-0.00031662,-0.00031662,-0.00031637,-0.00031685,-0.00031685,-0.00031702,-0.00031699,-0.00031739,-0.00031629,-0.00031642,-0.00031642,-0.0003167,-0.00031691,-0.00031712,-0.0003159,-0.00031677,-0.00031677,-0.00031742,-0.00031715
5,5.5801,5.3776,5.4558,5.4558,5.3303,5.4275,5.4331,5.4084,5.4278,5.4117,5.4088,5.4079,5.406,5.4039,5.4105,5.4083,5.4094,5.407,5.4078,5.4084,5.4078,5.4083,5.4066,5.4078,5.4067,5.4085,5.4085,5.4083,5.4062,5.4076,5.4078,5.4082,5.4081,5.4079,5.4078,5.4082,5.408,5.4077,5.4077,5.4075,5.4075,5.408,5.4077,5.4077,5.4078,5.4079,5.4079,5.4078,5.4079,5.4078,5.408,5.408,5.408,5.4079,5.4079,5.4078,5.408,5.4078,5.4078,5.4078,5.4079
6,2.2834,2.1854,2.2075,2.2075,2.0935,2.1198,2.1527,2.0962,2.1246,2.1157,2.1314,2.1318,2.1251,2.1171,2.1254,2.129,2.1298,2.1283,2.1325,2.1301,2.1314,2.13,2.1308,2.1306,2.1314,2.1307,2.1307,2.1291,2.132,2.131,2.1304,2.13,2.1299,2.1306,2.1311,2.1301,2.1303,2.1302,2.1304,2.1307,2.1307,2.1303,2.1305,2.1305,2.1304,2.1303,2.1303,2.1303,2.1301,2.1304,2.1303,2.1303,2.1303,2.1303,2.1304,2.1304,2.1302,2.1303,2.1303,2.1303,2.1303
7,0.011846,0.010426,0.012777,0.012777,0.0087039,0.013771,-0.010823,-0.00037439,-0.0032812,0.0089984,0.0094686,0.0055034,0.006196,0.0023337,0.0021281,0.0037568,0.0060079,0.0028949,0.0056491,0.0034108,0.0018981,0.0014975,0.0052466,0.0024302,0.0054423,0.002384,0.0040872,0.0042817,0.0044939,0.0042751,0.0036515,0.0035029,0.0038911,0.0032933,0.00378,0.0038029,0.0031621,0.0040001,0.0034645,0.003528,0.003528,0.0038352,0.0034362,0.0034362,0.0036836,0.0036843,0.0036843,0.0038268,0.0035758,0.0037,0.0036356,0.0038082,0.0038082,0.0036301,0.0037225,0.0035748,0.0037413,0.0036657,0.0036657,0.0035936,0.0035863
8,0.0024349,0.0028438,0.0040664,0.0040664,0.0045236,0.00058401,0.024986,0.014131,0.017548,0.0040002,0.0041279,0.0077874,0.006701,0.010666,0.011156,0.0095248,0.0073473,0.010236,0.0075485,0.0099112,0.011424,0.011805,0.0079447,0.010895,0.0077265,0.010876,0.0091042,0.0089085,0.0086777,0.0088755,0.0095451,0.0096857,0.0093269,0.0099005,0.0094266,0.0093852,0.010055,0.0091958,0.0097492,0.0096832,0.0096832,0.0093538,0.0097655,0.0097655,0.0095175,0.0095181,0.0095181,0.0093694,0.0096274,0.0095013,0.0095692,0.0093937,0.0093937,0.0095669,0.0094737,0.0096283,0.0094604,0.0095253,0.0095253,0.0096075,0.0096187
9,1.1747e-05,-2.464e-05,6.9553e-05,6.9553e-05,-4.3854e-05,-1.7578e-05,-0.00015309,-6.93e-05,-8.1921e-05,-3.7142e-05,-2.4848e-05,-5.9815e-05,-5.2599e-05,-6.8071e-05,-6.8314e-05,-6.7461e-05,-5.7676e-05,-7.4517e-05,-5.4548e-05,-6.6519e-05,-7.2466e-05,-7.2653e-05,-5.6063e-05,-7.092e-05,-5.4529e-05,-6.7763e-05,-5.8287e-05,-5.702e-05,-5.6719e-05,-5.8727e-05,-6.1545e-05,-6.2933e-05,-6.1945e-05,-6.2962e-05,-6.1256e-05,-6.0739e-05,-6.3875e-05,-6.021e-05,-6.3101e-05,-6.3116e-05,-6.3116e-05,-6.0822e-05,-6.2226e-05,-6.2226e-05,-6.1832e-05,-6.1753e-05,-6.1753e-05,-6.0738e-05,-6.2016e-05,-6.1239e-05,-6.1298e-05,-6.0731e-05,-6.0731e-05,-6.1277e-05,-6.0885e-05,-6.1571e-05,-6.0882e-05,-6.1035e-05,-6.1035e-05,-6.155e-05,-6.1401e-05
