,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,60.879,63.258,62.097,62.097,63.615,62.208,62.523,62.988,62.332,62.181,62.975,62.473,63.215,63.212,62.734,63.357,63.718,62.966,63.068,63.101,62.7,63.191,63.229,63.08,63.161,63.075,62.944,62.887,63.188,62.974,62.974,63.12,62.982,63.011,62.979,63.122,63.122,63.054,63.243,63.007,63.022,63.022,63.154,63.154,63.063,63.104,63.104,62.883,63.021,63.099,63.099,63.064,63.064,63.224,63.224,63.224,63.127,63.127,63.141,63.02
1,-102.3,-100.3,-99.903,-99.903,-101.29,-99.886,-100.27,-100.74,-100.18,-99.968,-100.68,-100.25,-100.88,-100.94,-100.48,-101.09,-101.49,-100.72,-100.82,-100.83,-100.46,-100.93,-100.97,-100.84,-100.9,-100.81,-100.69,-100.64,-100.93,-100.73,-100.73,-100.87,-100.73,-100.76,-100.74,-100.87,-100.87,-100.8,-100.98,-100.77,-100.79,-100.79,-100.9,-100.9,-100.81,-100.85,-100.85,-100.64,-100.78,-100.84,-100.84,-100.81,-100.81,-100.96,-100.96,-100.96,-100.87,-100.87,-100.89,-100.76
2,-3.0762,-3.1915,-3.3849,-3.3849,-3.3866,-3.3764,-3.3381,-3.3469,-3.2705,-3.3035,-3.3571,-3.3091,-3.4195,-3.3644,-3.327,-3.3456,-3.3203,-3.3342,-3.3374,-3.3551,-3.3316,-3.3448,-3.3524,-3.3285,-3.3462,-3.3498,-3.3451,-3.3312,-3.3443,-3.3324,-3.3324,-3.3431,-3.3384,-3.3429,-3.3263,-3.3435,-3.3435,-3.3429,-3.3507,-3.3288,-3.3239,-3.3239,-3.345,-3.345,-3.3415,-3.3421,-3.3421,-3.3318,-3.3342,-3.3431,-3.3431,-3.3436,-3.3436,-3.3502,-3.3502,-3.3502,-3.3419,-3.3419,-3.3434,-3.3445
3,-0.0045238,-0.0043279,-0.0045622,-0.0045622,-0.0047587,-0.0049963,-0.0049436,-0.0048841,-0.0048404,-0.0048145,-0.0050592,-0.0048128,-0.0051221,-0.0050204,-0.0048426,-0.0049036,-0.0048435,-0.0048646,-0.004913,-0.0048742,-0.0048683,-0.0049047,-0.0049398,-0.0048784,-0.0049142,-0.004912,-0.0048847,-0.0048547,-0.0049352,-0.0048824,-0.0048824,-0.0049131,-0.0048919,-0.0049437,-0.0048841,-0.0049028,-0.0049028,-0.0049102,-0.0049095,-0.0048829,-0.0048609,-0.0048609,-0.0048951,-0.0048951,-0.0049231,-0.0049066,-0.0049066,-0.0048804,-0.0048765,-0.0049244,-0.0049244,-0.0049139,-0.0049139,-0.004929,-0.004929,-0.004929,-0.0049017,-0.0049017,-0.0049034,-0.0049238
4,-1.0904e-06,-9.895e-07,0.00014281,0.00014281,-1.0998e-06,-1.1054e-06,-1.099e-06,-1.1106e-06,-1.1128e-06,-1.0856e-06,-1.1311e-06,-1.0724e-06,-1.126e-06,-1.119e-06,-1.0906e-06,-1.0912e-06,-1.0861e-06,-1.0806e-06,-1.0934e-06,-1.0943e-06,-1.0883e-06,-1.0924e-06,-1.1046e-06,-1.0905e-06,-1.0948e-06,-1.0987e-06,-1.0945e-06,-1.0871e-06,-1.0979e-06,-1.091e-06,-1.091e-06,-1.1004e-06,-1.0911e-06,-1.1049e-06,-1.0917e-06,-1.0909e-06,-1.0909e-06,-1.0977e-06,-1.0982e-06,-1.0923e-06,-1.0903e-06,-1.0903e-06,-1.0946e-06,-1.0946e-06,-1.1006e-06,-1.0942e-06,-1.0942e-06,-1.0922e-06,-1.0889e-06,-1.0989e-06,-1.0989e-06,-1.096e-06,-1.096e-06,-1.1016e-06,-1.1016e-06,-1.1016e-06,-1.0961e-06,-1.0961e-06,-1.0967e-06,-1.0993e-06
5,1.5671,1.4382,1.466,1.466,1.4877,1.4627,1.4711,1.4767,1.4824,1.4791,1.4732,1.4855,1.482,1.4796,1.4846,1.4805,1.4774,1.4804,1.479,1.478,1.4803,1.479,1.4791,1.4766,1.4776,1.4788,1.4783,1.4777,1.478,1.4785,1.4785,1.4785,1.4779,1.4782,1.4783,1.4783,1.4783,1.4784,1.4784,1.4772,1.4783,1.4783,1.4786,1.4786,1.478,1.4783,1.4783,1.4783,1.4784,1.4784,1.4784,1.478,1.478,1.4783,1.4783,1.4783,1.4783,1.4783,1.4783,1.4782
6,0.61977,0.58582,0.59344,0.59344,0.6022,0.59315,0.59419,0.58871,0.57769,0.58599,0.57315,0.57582,0.58063,0.58789,0.57771,0.57668,0.57676,0.57791,0.57714,0.5793,0.57732,0.57518,0.57764,0.58088,0.57871,0.57876,0.57827,0.57584,0.57716,0.57847,0.57847,0.57832,0.57831,0.5779,0.57807,0.57806,0.57806,0.578,0.57804,0.57878,0.57823,0.57823,0.57781,0.57781,0.57851,0.57825,0.57825,0.57807,0.57772,0.57805,0.57805,0.57822,0.57822,0.57809,0.57809,0.57809,0.57818,0.57818,0.57817,0.57818
7,0.0024818,0.002175,0.0024021,0.0024021,0.0026606,0.0027128,0.0025621,-0.00034921,0.0022661,0.0018738,0.0013179,-0.001419,0.0018423,0.00096232,0.0016172,0.0013503,0.0022822,0.00017914,0.0015496,0.0015696,0.0010458,0.0013484,0.0010716,0.0012487,0.0012447,0.0015434,0.001252,0.0016303,0.0015091,0.0011966,0.0011966,0.0012529,0.0014463,0.0015138,0.0015334,0.0014349,0.0014349,0.0013452,0.0014559,0.0017933,0.0015145,0.0015145,0.0014395,0.0014395,0.0013536,0.0014375,0.0014375,0.0014663,0.0014956,0.0014789,0.0014789,0.0014414,0.0014414,0.0014601,0.0014601,0.0014601,0.0014819,0.0014819,0.0014574,0.0014572
8,0.00057466,0.00060662,0.000672,0.000672,0.000552,0.00049885,0.00062548,0.0034408,0.00076685,0.0012432,0.0017227,0.0047397,0.0013196,0.002107,0.0015887,0.0017434,0.00076638,0.0029867,0.0015157,0.001487,0.0021158,0.0017106,0.0020288,0.0017447,0.0017812,0.0015177,0.0018302,0.0013637,0.0015328,0.0018975,0.0018975,0.0018191,0.0015945,0.0015186,0.0014828,0.0016149,0.0016149,0.0017134,0.0015921,0.0012078,0.0015214,0.0015214,0.0016124,0.0016124,0.0016926,0.0016063,0.0016063,0.0015815,0.0015441,0.0015682,0.0015682,0.0016085,0.0016085,0.0015863,0.0015863,0.0015863,0.0015635,0.0015635,0.0015893,0.0015856
9,-1.8496e-06,-5.5549e-06,-3.5065e-06,-3.5065e-06,-5.9114e-06,-5.2271e-06,-8.1188e-06,-5.7341e-07,2.378e-06,-1.0608e-05,3.3165e-06,-2.6119e-05,-4.6673e-06,9.4276e-06,-5.7057e-06,-4.5679e-06,2.2488e-06,-8.8408e-06,4.2808e-07,-4.4725e-07,-1.2599e-06,-7.771e-07,-3.4654e-06,-1.126e-06,2.4523e-07,-7.7046e-07,-1.9782e-06,-6.968e-07,-1.6608e-06,-3.5212e-06,-3.5212e-06,-1.6548e-06,-8.6264e-07,-3.6321e-07,8.2465e-07,-1.6795e-06,-1.6795e-06,-1.3275e-06,-7.1472e-07,-1.1736e-06,-4.3998e-07,-4.3998e-07,-8.9907e-07,-8.9907e-07,-8.681e-07,-1.1513e-06,-1.1513e-06,-9.7753e-07,-6.2176e-07,-7.524e-07,-7.524e-07,-1.3124e-06,-1.3124e-06,-8.7516e-07,-8.7516e-07,-8.7516e-07,-8.2172e-07,-8.2172e-07,-6.9627e-07,-1.0305e-06
10,,,,,,,,1.0603e-06,,6.5286e-07,,6.1939e-06,,,,,,8.4711e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
