,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,78.501,74.255,74.422,74.748,74.943,75.224,74.613,74.371,73.773,74.724,73.548,73.947,73.776,73.593,73.947,73.619,73.886,73.515,73.867,73.959,73.595,73.812,73.9,73.439,73.729,73.868,73.617,73.658,73.84,73.923,73.731,73.844,73.832,73.746,73.729,73.856,73.829,73.685,73.904,73.692,73.863,73.816,73.764,73.764,73.761,73.892,73.703,73.742,73.805,73.846,73.66,73.789,73.777
1,-129.77,-124.26,-125.28,-125.37,-125.65,-125.85,-125.33,-125.09,-124.55,-125.51,-124.33,-124.68,-124.54,-124.36,-124.68,-124.35,-124.64,-124.28,-124.62,-124.69,-124.35,-124.57,-124.64,-124.2,-124.49,-124.62,-124.38,-124.41,-124.59,-124.67,-124.48,-124.59,-124.59,-124.5,-124.49,-124.61,-124.58,-124.44,-124.65,-124.45,-124.62,-124.57,-124.52,-124.52,-124.51,-124.63,-124.46,-124.49,-124.55,-124.59,-124.42,-124.54,-124.53
2,-4.0173,-4.1489,-4.0355,-4.1691,-4.0314,-4.1287,-4.0308,-4.0358,-4.0041,-4.029,-3.9971,-4.0308,-4.0142,-4.0376,-4.0502,-4.0462,-4.0221,-4.022,-4.0262,-4.0572,-4.0321,-4.02,-4.0463,-4.027,-4.0253,-4.0338,-4.0227,-4.0266,-4.0399,-4.038,-4.0305,-4.0375,-4.0221,-4.0313,-4.0211,-4.029,-4.0341,-4.0304,-4.0391,-4.0274,-4.0293,-4.0286,-4.024,-4.024,-4.0317,-4.0398,-4.0272,-4.0367,-4.0353,-4.0355,-4.0217,-4.034,-4.0269
3,-0.0077552,-0.0083833,-0.0077401,-0.0082182,-0.0075058,-0.0080436,-0.0076285,-0.0075707,-0.0076326,-0.0077231,-0.0075657,-0.0076797,-0.0076887,-0.0077814,-0.0078434,-0.0078295,-0.0076745,-0.0077481,-0.0077416,-0.0078101,-0.0077718,-0.0077233,-0.0078073,-0.0077576,-0.0077523,-0.007706,-0.0077285,-0.0077676,-0.00777,-0.0077816,-0.0077498,-0.0077742,-0.0077431,-0.0077285,-0.0077287,-0.007731,-0.0077646,-0.0077586,-0.0077929,-0.0077418,-0.0077358,-0.0077508,-0.0077238,-0.0077238,-0.007747,-0.007772,-0.007732,-0.0077678,-0.0077799,-0.0077628,-0.0077343,-0.007771,-0.0077405
4,-2.8397e-06,-3.0841e-06,-2.8328e-06,-3.0647e-06,-2.936e-06,-3.1437e-06,-2.8813e-06,-2.8933e-06,-2.8891e-06,-2.938e-06,-2.8655e-06,-2.9302e-06,-2.9615e-06,-2.9613e-06,-3.0457e-06,-3.0189e-06,-2.9278e-06,-2.9683e-06,-2.9805e-06,-2.9798e-06,-2.9714e-06,-2.9539e-06,-2.988e-06,-2.9513e-06,-2.9713e-06,-2.9414e-06,-2.9445e-06,-2.9448e-06,-2.963e-06,-2.9706e-06,-2.9558e-06,-2.9758e-06,-2.9638e-06,-2.9407e-06,-2.9574e-06,-2.9512e-06,-2.9631e-06,-2.9626e-06,-2.9728e-06,-2.9549e-06,-2.9475e-06,-2.9612e-06,-2.9464e-06,-2.9464e-06,-2.9464e-06,-2.9709e-06,-2.9457e-06,-2.9642e-06,-2.9667e-06,-2.9592e-06,-2.9484e-06,-2.9585e-06,-2.9538e-06
5,1.9034,1.9651,1.9576,1.9674,1.9826,1.9607,1.9655,1.9675,1.9746,1.9791,1.9729,1.9625,1.9736,1.9737,1.9715,1.9763,1.9729,1.9642,1.9691,1.9728,1.9716,1.9694,1.9705,1.9684,1.9695,1.9707,1.9705,1.9697,1.9693,1.9702,1.9704,1.9699,1.9706,1.9702,1.9702,1.97,1.9698,1.9717,1.9699,1.97,1.9693,1.9695,1.9699,1.9699,1.97,1.97,1.9701,1.97,1.9699,1.97,1.97,1.9701,1.9699
6,0.7723,0.76056,0.79368,0.71913,0.80448,0.78338,0.76456,0.77655,0.77829,0.76642,0.76884,0.78003,0.76949,0.78165,0.77079,0.76437,0.77031,0.77627,0.77224,0.77304,0.7712,0.76987,0.77084,0.77433,0.77294,0.77349,0.77201,0.7724,0.77289,0.77239,0.77203,0.77224,0.77146,0.77171,0.77218,0.77237,0.77222,0.77036,0.77248,0.77236,0.77272,0.77276,0.7725,0.7725,0.77219,0.77224,0.77212,0.77228,0.77223,0.77223,0.77234,0.77217,0.77228
7,0.0025307,-0.0060071,0.0025135,0.0022428,0.0028214,0.0035705,0.00081527,-0.0042708,-0.00082195,0.0023779,-0.0004943,-0.00023828,0.0008432,0.00057236,0.0024842,-0.0035281,0.0017143,0.0016838,0.001312,0.0020595,0.0017512,0.0018123,0.0015603,0.0022941,0.0014579,0.0012414,0.0011898,0.0012592,0.0015112,0.0012679,0.0011183,0.0013134,0.0010771,0.0013638,0.0012669,0.0012262,0.0013286,0.0012721,0.0013649,0.0012893,0.0014901,0.0011873,0.0011726,0.0011726,0.0013647,0.0013327,0.0013204,0.0013055,0.0013395,0.0012553,0.0013071,0.0012485,0.0012978
8,0.0010068,0.012523,0.0010268,0.0019388,0.00092375,0.0003517,0.0034135,0.0080864,0.0048796,0.0015188,0.0044646,0.0038978,0.0028841,0.0031577,0.0012134,0.0076704,0.0020371,0.0017843,0.0023394,0.0016017,0.0019386,0.0018411,0.0021012,0.001304,0.0021949,0.0024248,0.0025048,0.0024085,0.0021096,0.0024164,0.0025722,0.0023528,0.0026186,0.0022995,0.0024029,0.0024555,0.0023525,0.0024131,0.0022994,0.0023817,0.0021627,0.0025012,0.0025138,0.0025138,0.0023119,0.0023393,0.00236,0.002372,0.0023316,0.0024197,0.0023677,0.0024295,0.0023718
9,-1.1387e-05,0.0008844,-7.4544e-06,-8.7581e-06,-5.8111e-06,-5.1571e-06,-6.5031e-06,7.9233e-06,-2.651e-05,-3.5023e-06,-3.0572e-05,-7.1559e-06,-7.3449e-06,-1.8708e-05,-2.5976e-06,-4.6161e-05,-6.5149e-06,6.2995e-06,-6.6185e-06,-7.3711e-06,-2.812e-06,-6.3588e-07,-4.2903e-06,1.624e-06,-7.2004e-06,-7.1629e-06,-6.6746e-06,-6.2365e-06,-7.0144e-06,-5.064e-06,-7.849e-06,-4.0737e-06,-4.1029e-06,-2.9681e-06,-5.2203e-06,-5.0887e-06,-5.9872e-06,-5.8583e-06,-4.2924e-06,-5.013e-06,-4.897e-06,-6.5172e-06,-5.7493e-06,-5.7493e-06,-5.7575e-06,-5.1025e-06,-6.1051e-06,-5.4094e-06,-5.3111e-06,-5.622e-06,-5.4369e-06,-5.7614e-06,-5.121e-06
