,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0,81.856,86.328,80.346,82.359,80.637,82.036,79.836,81.898,81.438,80.622,81.027,81.35,80.873,80.81,81.555,81.645,80.705,81.085,80.902,80.911,81.33,81.132,81.462,81.111,81.088,81.138,80.834,81.029,81.172,81.319,81.023,81.259,81.017,81.22,81.311,81.247,80.993,81.085,81.051,81.076,80.952,81.212,81.045,81.045,81.08,81.186,81.156,81.139,81.087,81.258,81.104,81.069,81.163,81.146,81.146,81.141,81.142
1,-147.62,-149.47,-144.43,-146.3,-144.71,-145.69,-143.83,-145.75,-145.34,-144.55,-144.92,-145.27,-144.79,-144.71,-145.44,-145.55,-144.6,-145.01,-144.83,-144.84,-145.22,-145.05,-145.35,-145.04,-145.02,-145.07,-144.75,-144.94,-145.08,-145.23,-144.93,-145.16,-144.92,-145.13,-145.22,-145.15,-144.91,-145.0,-144.95,-144.98,-144.87,-145.12,-144.96,-144.96,-144.99,-145.1,-145.07,-145.05,-145.0,-145.16,-145.02,-144.98,-145.07,-145.05,-145.05,-145.05,-145.05
2,-4.5368,-4.822,-4.4715,-4.6056,-4.4094,-4.6314,-4.4789,-4.5373,-4.5745,-4.5528,-4.5737,-4.5596,-4.5579,-4.5773,-4.5894,-4.566,-4.5712,-4.5569,-4.5613,-4.5569,-4.5873,-4.5569,-4.5907,-4.5527,-4.5466,-4.5503,-4.5629,-4.5673,-4.5724,-4.5668,-4.5728,-4.5747,-4.5722,-4.5631,-4.5704,-4.5737,-4.5591,-4.5592,-4.5726,-4.5694,-4.5566,-4.5726,-4.5653,-4.5653,-4.5636,-4.5691,-4.5685,-4.5693,-4.5607,-4.5745,-4.5641,-4.5663,-4.5696,-4.5724,-4.5724,-4.5705,-4.5649
3,-0.011119,-0.01198,-0.010552,-0.011108,-0.010304,-0.011303,-0.010925,-0.010867,-0.011009,-0.011117,-0.011185,-0.011038,-0.011177,-0.011186,-0.011195,-0.011165,-0.011161,-0.011114,-0.01118,-0.011174,-0.011214,-0.011108,-0.011242,-0.011081,-0.011102,-0.011104,-0.011122,-0.011114,-0.011186,-0.011112,-0.011106,-0.011158,-0.011146,-0.011119,-0.01115,-0.011167,-0.011112,-0.011081,-0.011163,-0.011135,-0.011102,-0.011158,-0.011144,-0.011144,-0.011124,-0.01114,-0.011146,-0.011158,-0.011121,-0.011162,-0.011121,-0.011126,-0.011147,-0.011149,-0.011149,-0.01113,-0.011132
4,-3.0663e-05,-0.001871,-3.1867e-05,-3.2515e-05,-3.0059e-05,-3.3441e-05,-3.1813e-05,-3.1375e-05,-3.2305e-05,-3.3058e-05,-3.3017e-05,-3.2416e-05,-3.2786e-05,-3.2678e-05,-3.2682e-05,-3.2584e-05,-3.2851e-05,-3.2472e-05,-3.2896e-05,-3.2902e-05,-3.2844e-05,-3.2438e-05,-3.2933e-05,-3.252e-05,-3.2695e-05,-3.2604e-05,-3.2599e-05,-3.2571e-05,-3.2804e-05,-3.2564e-05,-3.2439e-05,-3.2528e-05,-3.2581e-05,-3.2643e-05,-3.2674e-05,-3.2771e-05,-3.2586e-05,-3.2377e-05,-3.2671e-05,-3.2633e-05,-3.2459e-05,-3.2689e-05,-3.2661e-05,-3.2661e-05,-3.2593e-05,-3.2655e-05,-3.2674e-05,-3.2704e-05,-3.2582e-05,-3.2611e-05,-3.2559e-05,-3.2641e-05,-3.2642e-05,-3.2602e-05,-3.2602e-05,-3.2562e-05,-3.264e-05
5,2.4973,2.5232,2.4479,2.4367,2.4742,2.4432,2.4529,2.4607,2.4671,2.4569,2.4566,2.4619,2.4606,2.4615,2.4635,2.4651,2.458,2.4541,2.4596,2.4647,2.4634,2.4611,2.4592,2.462,2.4597,2.4614,2.4626,2.462,2.4602,2.461,2.4613,2.4618,2.4615,2.4613,2.4614,2.4613,2.4618,2.4634,2.4613,2.4611,2.4604,2.4607,2.4612,2.4612,2.4609,2.461,2.4613,2.462,2.4614,2.4613,2.4614,2.4611,2.4614,2.4614,2.4614,2.4614,2.4614
6,1.0018,1.014,0.99178,0.9446,1.0074,0.96617,0.9779,0.9716,0.97413,0.97952,0.95845,0.96942,0.96779,0.967,0.96835,0.9641,0.96159,0.97169,0.97031,0.9677,0.96534,0.96463,0.96773,0.96715,0.9709,0.96737,0.96597,0.96605,0.96612,0.96658,0.96827,0.96691,0.96691,0.96689,0.9663,0.96681,0.9666,0.96428,0.9663,0.96695,0.96724,0.96725,0.96694,0.96694,0.96723,0.96722,0.96666,0.96648,0.96669,0.96667,0.9667,0.96679,0.96664,0.96664,0.96664,0.96658,0.96657
7,0.0032203,0.0033653,0.0028251,0.0050152,0.0027796,0.0043063,0.0043057,0.00021578,-0.0040613,0.0039966,2.6855e-05,0.0010825,0.0029427,0.0014777,-0.0042962,-1.0625e-05,-0.0016936,0.0010959,0.0011448,0.0014805,0.00092269,0.00061877,0.0017178,-3.4556e-05,-0.0010628,-0.00072475,-0.001453,0.0002165,0.0012632,-8.9083e-05,-0.00029103,-0.00051222,-0.00022771,-0.00022332,0.00016157,-2.1295e-05,-0.0012862,0.0001595,0.0010214,-1.8188e-05,0.00051909,-0.0001102,-0.00012028,-0.00012028,-0.00019113,-0.00038934,0.00019263,-0.00094324,0.00014942,0.00017805,8.0639e-05,0.00022069,6.105e-05,-2.079e-06,-2.079e-06,9.9453e-05,7.7137e-05
8,0.0016851,0.0014537,0.0015514,9.3458e-05,0.0011983,0.0022483,0.00035662,0.0043911,0.0091109,0.00047613,0.0046934,0.0034319,0.0014447,0.002996,0.0092107,0.0046495,0.0061937,0.0030604,0.003026,0.0029216,0.0035284,0.0038624,0.0026315,0.0045283,0.0056625,0.0052127,0.0060693,0.0042817,0.0030366,0.0045952,0.0048041,0.0050584,0.0047173,0.0047106,0.0043123,0.0044894,0.0059131,0.0043475,0.0033528,0.0045029,0.0039018,0.004608,0.004613,0.004613,0.0046978,0.0048939,0.0042777,0.0055054,0.0043243,0.0042823,0.0043786,0.0042319,0.0044143,0.0044883,0.0044883,0.0043811,0.0043898
9,-1.4223e-05,-1.5463e-05,-1.3373e-05,-7.5887e-06,-7.707e-06,-4.9196e-05,-7.7083e-06,-4.1266e-05,-6.6591e-05,5.059e-06,-4.0106e-05,-1.4429e-05,-1.1388e-05,-2.1853e-05,-4.3345e-05,-3.2342e-05,-4.0965e-05,1.0269e-05,-1.5017e-05,-1.2854e-05,-6.8903e-06,-1.468e-05,-4.1259e-06,-1.6323e-05,-2.7829e-05,-1.9694e-05,-3.4649e-05,-1.7341e-05,-5.3969e-06,-2.1648e-05,-2.3253e-05,-2.1917e-05,-1.6227e-05,-1.741e-05,-1.6804e-05,-1.4339e-05,-2.5807e-05,-1.6155e-05,-9.5381e-06,-1.5996e-05,-1.2591e-05,-1.708e-05,-1.6041e-05,-1.6041e-05,-1.6921e-05,-1.8307e-05,-1.5012e-05,-2.5821e-05,-1.4252e-05,-1.4314e-05,-1.4635e-05,-1.3532e-05,-1.4421e-05,-1.5668e-05,-1.5668e-05,-1.6027e-05,-1.5941e-05
