,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0,87.51,87.51,86.943,86.943,88.056,87.823,87.823,87.392,86.848,86.934,87.3,87.556,87.558,87.61,87.504,87.189,87.107,87.148,86.844,87.561,87.465,87.363,87.119,87.441,87.363,87.149,87.487,87.53,87.366,87.335,87.472,87.304,87.417,87.172,87.512,87.172,87.525,87.502,87.461,87.373,87.405,87.213,87.3,87.321,87.278,87.237,87.34,87.234,87.424,87.246,87.358,87.18,87.256,87.295,87.295,87.37,87.176,87.389,87.321,87.385,87.336,87.322
1,-162.63,-162.63,-163.97,-163.97,-164.87,-164.65,-164.65,-164.26,-163.79,-163.79,-164.15,-164.37,-164.32,-164.44,-164.36,-164.06,-163.97,-164.04,-163.74,-164.41,-164.3,-164.22,-164.0,-164.3,-164.21,-164.02,-164.34,-164.36,-164.21,-164.19,-164.3,-164.15,-164.28,-164.03,-164.37,-164.03,-164.37,-164.35,-164.31,-164.22,-164.26,-164.07,-164.15,-164.18,-164.13,-164.09,-164.19,-164.09,-164.27,-164.11,-164.21,-164.03,-164.12,-164.15,-164.15,-164.21,-164.03,-164.24,-164.18,-164.23,-164.19,-164.18
2,-5.3397,-5.3397,-5.2357,-5.2357,-5.2884,-5.3402,-5.3402,-5.277,-5.2379,-5.3117,-5.302,-5.3148,-5.408,-5.3487,-5.3137,-5.2963,-5.2933,-5.2816,-5.2865,-5.3252,-5.3214,-5.3115,-5.2855,-5.311,-5.3241,-5.2989,-5.3136,-5.336,-5.3235,-5.3106,-5.3386,-5.3204,-5.308,-5.3085,-5.3152,-5.3093,-5.3268,-5.3219,-5.3202,-5.3221,-5.313,-5.3159,-5.3141,-5.3108,-5.3179,-5.314,-5.3132,-5.3149,-5.3235,-5.3063,-5.3195,-5.3142,-5.3084,-5.3129,-5.3129,-5.3252,-5.311,-5.3204,-5.3137,-5.3212,-5.3172,-5.3139
3,-0.017866,-0.017866,-0.017916,-0.017916,-0.018306,-0.018643,-0.018643,-0.018039,-0.01784,-0.018397,-0.018386,-0.018478,-0.018705,-0.018569,-0.018341,-0.018248,-0.01824,-0.018098,-0.018189,-0.018367,-0.018376,-0.018273,-0.018186,-0.018259,-0.018361,-0.018244,-0.0183,-0.018414,-0.018415,-0.018273,-0.018446,-0.018384,-0.018271,-0.018296,-0.01832,-0.018277,-0.018375,-0.018335,-0.018357,-0.018364,-0.0183,-0.018327,-0.018325,-0.018314,-0.018335,-0.018314,-0.018319,-0.018319,-0.018366,-0.018272,-0.018322,-0.018322,-0.018286,-0.01832,-0.01832,-0.018368,-0.018316,-0.01835,-0.018305,-0.018357,-0.018321,-0.018315
4,-8.6423e-05,-8.6423e-05,-8.3261e-05,-8.3261e-05,-8.4801e-05,-8.672e-05,-8.672e-05,-8.4211e-05,-8.2709e-05,-8.5603e-05,-8.5464e-05,-8.5907e-05,-8.6485e-05,-8.6117e-05,-8.5287e-05,-8.4709e-05,-8.468e-05,-8.4108e-05,-8.4584e-05,-8.5237e-05,-8.5176e-05,-8.4959e-05,-8.4578e-05,-8.4698e-05,-8.5224e-05,-8.4784e-05,-8.4935e-05,-8.5449e-05,-8.5477e-05,-8.4836e-05,-8.5568e-05,-8.5247e-05,-8.4927e-05,-8.4915e-05,-8.5116e-05,-8.479e-05,-8.521e-05,-8.5096e-05,-8.5136e-05,-8.5264e-05,-8.4994e-05,-8.5046e-05,-8.5137e-05,-8.5004e-05,-8.5103e-05,-8.5011e-05,-8.5065e-05,-8.495e-05,-8.5255e-05,-8.479e-05,-8.5036e-05,-8.5024e-05,-8.4852e-05,-8.5065e-05,-8.5065e-05,-8.5274e-05,-8.5026e-05,-8.5112e-05,-8.4935e-05,-8.521e-05,-8.5088e-05,-8.4966e-05
5,2.8737,2.8737,2.9528,2.9528,2.9728,2.9526,2.9526,2.9387,2.9581,2.9573,2.9647,2.9442,2.9533,2.9563,2.9551,2.954,2.9557,2.9516,2.9544,2.9577,2.9611,2.9531,2.952,2.9548,2.9539,2.9534,2.9544,2.9541,2.9535,2.9534,2.9539,2.9534,2.9538,2.9534,2.9538,2.9534,2.9537,2.9539,2.9537,2.9537,2.9525,2.9538,2.9536,2.9537,2.9536,2.9524,2.9531,2.9537,2.9538,2.9536,2.9536,2.9536,2.9537,2.9535,2.9535,2.9537,2.9537,2.9537,2.9537,2.9536,2.9536,2.9539
6,1.1698,1.1698,1.2017,1.2017,1.2085,1.1631,1.1631,1.1586,1.1552,1.159,1.1433,1.1556,1.1645,1.1798,1.1566,1.1601,1.1543,1.1629,1.1611,1.1617,1.156,1.1603,1.1606,1.1596,1.1602,1.1603,1.16,1.1594,1.1608,1.1624,1.1604,1.1604,1.1602,1.1606,1.1603,1.161,1.1606,1.1601,1.1597,1.1604,1.1611,1.1606,1.1603,1.1605,1.1603,1.1613,1.1606,1.1604,1.1603,1.1605,1.1604,1.1604,1.1604,1.1603,1.1603,1.1604,1.1603,1.1603,1.1603,1.1604,1.1604,1.1604
7,0.0070348,0.0070348,0.0021473,0.0021473,0.0029149,0.0046153,0.0046153,0.0028312,-0.0077452,-0.0034154,-0.0091393,0.00029613,-0.0025199,-0.0018016,-9.8029e-05,6.8766e-05,-0.0060418,0.0015878,0.001089,0.0012597,-0.00033552,-0.00053766,0.0010251,-0.00023114,0.00026977,-0.00019948,-0.00050242,-0.00020133,0.00026276,-0.00017745,-0.00036687,-0.00020075,-0.0003376,0.00011274,-0.00028675,-0.00053583,-0.00035436,-0.0006531,0.00033314,-0.00041274,0.00017438,-0.00036225,-4.4558e-05,-0.00050142,-0.0003708,-0.00030643,-0.00021265,-0.00025872,-0.00026109,-0.00028393,-0.00023183,-0.00032017,-0.00025219,-0.00032689,-0.00032689,-0.00030419,-0.00029577,-0.00026528,-0.00031451,-0.00023817,-0.00028468,-0.00013855
8,-0.0023661,-0.0023661,0.0019001,0.0019001,0.0021234,0.00060395,0.00060395,0.0016279,0.013641,0.0087357,0.014984,0.0047014,0.0076601,0.0068462,0.0050761,0.0049149,0.011412,0.0033349,0.0038573,0.0035774,0.005402,0.0054987,0.0038347,0.0052295,0.0046856,0.0051311,0.0054893,0.0051584,0.0045908,0.0051106,0.0053338,0.0051097,0.0053059,0.0048363,0.0052256,0.0055144,0.0052877,0.0056299,0.0045693,0.0053536,0.0047261,0.0053221,0.0049723,0.0054621,0.005325,0.0052124,0.005136,0.0052163,0.0051951,0.0052113,0.0051874,0.0052662,0.0051963,0.005271,0.005271,0.0052464,0.0052297,0.0052021,0.0052678,0.0051772,0.0052143,0.0050673
9,0.0054128,0.0054128,2.3333e-05,2.3333e-05,-2.3384e-05,-3.0045e-05,-3.0045e-05,-1.7376e-05,-0.00011398,-7.7841e-05,-0.00014369,-3.9156e-05,-6.9901e-05,-2.4817e-05,-4.8385e-05,-3.7089e-05,-0.00010117,-2.1706e-05,-3.7874e-05,-3.0304e-05,-4.1534e-05,-3.5865e-05,-2.4418e-05,-4.1463e-05,-3.0449e-05,-3.5484e-05,-4.133e-05,-3.4301e-05,-3.1731e-05,-3.8347e-05,-3.8166e-05,-3.609e-05,-4.0153e-05,-3.6141e-05,-3.7679e-05,-4.1259e-05,-3.6273e-05,-4.2891e-05,-3.5022e-05,-3.8213e-05,-3.4375e-05,-3.8131e-05,-3.6588e-05,-3.9305e-05,-3.944e-05,-3.5161e-05,-3.7583e-05,-3.7277e-05,-3.803e-05,-3.7861e-05,-3.7222e-05,-3.6881e-05,-3.7924e-05,-3.8541e-05,-3.8541e-05,-3.7925e-05,-3.7937e-05,-3.8353e-05,-3.9129e-05,-3.8429e-05,-3.8037e-05,-3.6249e-05
