,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,92.733,92.733,94.706,92.767,92.767,90.947,94.28,92.888,93.557,94.815,92.296,92.296,93.524,94.129,93.74,93.455,93.917,93.686,93.686,94.004,94.004,93.525,94.364,93.522,93.623,93.623,93.376,93.837,93.789,93.64,93.787,93.787,93.632,93.548,94.042,93.703,93.703,93.703,93.703,93.756,93.96,93.96,93.96,93.792,93.792,93.907,93.634,93.738,93.924,93.924,93.705,93.705,93.705,93.635,93.635,93.635,93.737,93.78,93.78,93.65,93.65,93.696,93.625,93.611,93.611,93.611,93.743,93.598,93.808,93.746,93.746,93.756,93.756
1,-182.79,-182.79,-183.54,-182.51,-182.51,-181.14,-183.77,-182.53,-183.26,-184.44,-181.95,-181.95,-183.12,-183.71,-183.29,-182.97,-183.46,-183.3,-183.3,-183.59,-183.59,-183.09,-183.9,-183.14,-183.2,-183.2,-182.96,-183.39,-183.34,-183.24,-183.37,-183.37,-183.21,-183.12,-183.61,-183.28,-183.28,-183.28,-183.28,-183.34,-183.51,-183.51,-183.51,-183.35,-183.35,-183.48,-183.2,-183.31,-183.49,-183.49,-183.28,-183.28,-183.28,-183.21,-183.21,-183.21,-183.31,-183.35,-183.35,-183.22,-183.22,-183.27,-183.2,-183.19,-183.19,-183.19,-183.32,-183.17,-183.38,-183.32,-183.32,-183.33,-183.33
2,-6.1394,-6.1394,-6.2916,-6.1245,-6.1245,-5.9661,-6.3514,-6.1996,-6.1368,-6.2325,-6.2079,-6.2079,-6.2603,-6.2767,-6.2988,-6.3354,-6.304,-6.2467,-6.2467,-6.275,-6.275,-6.2893,-6.3256,-6.2419,-6.2811,-6.2811,-6.2751,-6.2998,-6.3093,-6.2613,-6.2707,-6.2707,-6.2792,-6.286,-6.2935,-6.2778,-6.2778,-6.2778,-6.2778,-6.2759,-6.3048,-6.3048,-6.3048,-6.2946,-6.2946,-6.2883,-6.295,-6.2845,-6.2942,-6.2942,-6.2842,-6.2842,-6.2842,-6.2862,-6.2862,-6.2862,-6.2813,-6.2839,-6.2839,-6.2864,-6.2864,-6.2825,-6.2851,-6.2827,-6.2827,-6.2827,-6.2828,-6.2821,-6.2896,-6.2854,-6.2854,-6.2878,-6.2878
3,-0.02579,-0.02579,-0.026544,-0.025787,-0.025787,-0.024966,-0.027255,-0.026646,-0.026147,-0.026791,-0.026502,-0.026502,-0.026723,-0.026706,-0.026882,-0.027272,-0.02686,-0.026637,-0.026637,-0.026887,-0.026887,-0.026839,-0.026975,-0.026564,-0.02686,-0.02686,-0.026707,-0.026957,-0.026883,-0.026696,-0.026685,-0.026685,-0.026796,-0.026834,-0.026867,-0.026794,-0.026794,-0.026794,-0.026794,-0.026778,-0.026964,-0.026964,-0.026964,-0.026921,-0.026921,-0.026824,-0.026893,-0.02683,-0.026884,-0.026884,-0.026816,-0.026816,-0.026816,-0.026852,-0.026852,-0.026852,-0.0268,-0.026826,-0.026826,-0.026834,-0.026834,-0.026847,-0.026812,-0.026825,-0.026825,-0.026825,-0.026808,-0.026798,-0.026843,-0.026822,-0.026822,-0.026847,-0.026847
4,-0.00013453,-0.00013453,-0.00014243,-0.00013506,-0.00013506,-0.00012891,-0.00013957,-0.00013872,-0.00013613,-0.00013949,-0.00013733,-0.00013733,-0.00013881,-0.00013855,-0.00013914,-0.00014094,-0.0001394,-0.0001383,-0.0001383,-0.00013947,-0.00013947,-0.00013919,-0.00013988,-0.000138,-0.00013924,-0.00013924,-0.00013858,-0.00013954,-0.00013937,-0.00013862,-0.00013837,-0.00013837,-0.00013918,-0.00013906,-0.00013939,-0.00013895,-0.00013895,-0.00013895,-0.00013895,-0.00013886,-0.00013987,-0.00013987,-0.00013987,-0.00013957,-0.00013957,-0.00013908,-0.0001394,-0.0001391,-0.00013953,-0.00013953,-0.00013903,-0.00013903,-0.00013903,-0.00013927,-0.00013927,-0.00013927,-0.00013912,-0.00013919,-0.00013919,-0.0001392,-0.0001392,-0.00013919,-0.00013899,-0.00013918,-0.00013918,-0.00013918,-0.00013912,-0.00013902,-0.00013923,-0.00013916,-0.00013916,-0.00013925,-0.00013925
5,3.6223,3.6223,3.2704,3.4579,3.4579,3.4809,3.4192,3.4238,3.4521,3.4397,3.4491,3.4491,3.4489,3.4388,3.4402,3.4485,3.4484,3.4416,3.4416,3.4438,3.4438,3.4434,3.4437,3.4433,3.4429,3.4429,3.4437,3.4433,3.444,3.443,3.4436,3.4436,3.4432,3.4436,3.4454,3.4434,3.4434,3.4434,3.4434,3.4458,3.4435,3.4435,3.4435,3.4436,3.4436,3.4435,3.4436,3.443,3.4436,3.4436,3.4435,3.4435,3.4435,3.4435,3.4435,3.4435,3.4435,3.4436,3.4436,3.4435,3.4435,3.4436,3.4435,3.4435,3.4435,3.4435,3.4437,3.4435,3.4436,3.4436,3.4436,3.4437,3.4437
6,1.0492,1.0492,1.2532,1.3639,1.3639,1.4169,1.3179,1.3621,1.3665,1.3496,1.3663,1.3663,1.359,1.357,1.3529,1.3541,1.361,1.3536,1.3536,1.3563,1.3563,1.3556,1.3552,1.3545,1.3567,1.3567,1.3548,1.3549,1.3555,1.3556,1.3556,1.3556,1.3576,1.3555,1.3537,1.3556,1.3556,1.3556,1.3556,1.3536,1.3554,1.3554,1.3554,1.3554,1.3554,1.3554,1.3555,1.3559,1.3554,1.3554,1.3554,1.3554,1.3554,1.3553,1.3553,1.3553,1.3554,1.3553,1.3553,1.3552,1.3552,1.3552,1.3553,1.3553,1.3553,1.3553,1.3553,1.3553,1.3553,1.3553,1.3553,1.3554,1.3554
7,-0.21398,-0.21398,0.0086211,0.0077565,0.0077565,0.0042304,0.0091762,0.0041689,-0.0092351,0.0055292,0.0059433,0.0059433,0.0021809,0.00036037,-0.0044133,-0.0018474,-0.0017424,-0.00054639,-0.00054639,8.0948e-05,8.0948e-05,0.0014607,0.000324,-0.0010982,0.0015892,0.0015892,0.00071988,-1.8937e-06,0.0004884,-0.00037718,0.00017548,0.00017548,-0.00096236,8.5185e-05,-0.0006368,0.00029295,0.00029295,0.00029295,0.00029295,-0.001699,6.6059e-05,6.6059e-05,6.6059e-05,7.0664e-05,7.0664e-05,5.4809e-05,5.1743e-05,0.00047678,0.00011299,0.00011299,0.00014551,0.00014551,0.00014551,7.7363e-05,7.7363e-05,7.7363e-05,0.00010139,3.9122e-05,3.9122e-05,6.2887e-05,6.2887e-05,9.1136e-07,5.4662e-05,0.00010037,0.00010037,0.00010037,-3.2727e-06,0.00011776,8.5974e-05,0.0001136,0.0001136,8.7956e-05,8.7956e-05
8,0.24488,0.24488,0.0010399,0.00038208,0.00038208,0.0023524,1.9538e-06,0.0027409,0.017107,0.0010341,0.0010475,0.0010475,0.0045434,0.0063198,0.011144,0.0086795,0.0084839,0.0070882,0.0070882,0.0064695,0.0064695,0.0050295,0.0062252,0.0076787,0.0048989,0.0048989,0.0058062,0.0065743,0.0060708,0.0069666,0.0064039,0.0064039,0.0075599,0.0064886,0.0073068,0.006251,0.006251,0.006251,0.006251,0.0083951,0.006505,0.006505,0.006505,0.0064824,0.0064824,0.0065121,0.0065098,0.0060551,0.0064468,0.0064468,0.0064181,0.0064181,0.0064181,0.0064813,0.0064813,0.0064813,0.006458,0.0065229,0.0065229,0.0064992,0.0064992,0.0065597,0.0065099,0.0064621,0.0064621,0.0064621,0.0065672,0.006442,0.0064778,0.0064485,0.0064485,0.006477,0.006477
9,-0.0012176,-0.0012176,-1.3145e-05,1.673e-05,1.673e-05,-2.6334e-05,-1.2449e-05,-3.0122e-05,-0.00014054,3.1138e-06,-1.8357e-05,-1.8357e-05,-4.8516e-05,-4.7529e-05,-9.654e-05,-7.6127e-05,-8.4209e-05,-6.5439e-05,-6.5439e-05,-5.6401e-05,-5.6401e-05,-4.2911e-05,-5.7585e-05,-7.1497e-05,-3.8604e-05,-3.8604e-05,-5.2792e-05,-6.3357e-05,-5.3166e-05,-6.3583e-05,-5.7679e-05,-5.7679e-05,-7.1477e-05,-6.0234e-05,-6.6005e-05,-5.5514e-05,-5.5514e-05,-5.5514e-05,-5.5514e-05,-7.626e-05,-5.7771e-05,-5.7771e-05,-5.7771e-05,-5.8885e-05,-5.8885e-05,-5.7961e-05,-5.9102e-05,-5.3949e-05,-5.7793e-05,-5.7793e-05,-5.7514e-05,-5.7514e-05,-5.7514e-05,-5.7486e-05,-5.7486e-05,-5.7486e-05,-5.6952e-05,-5.851e-05,-5.851e-05,-5.8309e-05,-5.8309e-05,-5.8683e-05,-5.8418e-05,-5.7627e-05,-5.7627e-05,-5.7627e-05,-5.849e-05,-5.8151e-05,-5.8125e-05,-5.7739e-05,-5.7739e-05,-5.7687e-05,-5.7687e-05
