,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
0,96.912,105.34,102.94,99.185,102.25,100.58,100.58,98.76,98.531,98.531,99.775,99.843,98.585,99.027,99.027,100.54,100.54,99.656,99.939,100.23,100.24,99.799,99.799,99.845,100.61,99.922,100.21,99.916,99.884,100.04,99.579,99.675,99.868,99.781,99.776,99.826,99.826,100.44,99.667,99.924,99.731,99.877,99.896,99.646,99.961,99.961,99.961,99.792,99.983,99.983,99.781,99.978,99.978,100.09,99.855,99.824,99.7,99.764,99.764,99.881,99.881,99.881,99.796,99.756,99.722,99.845,99.852,99.97,99.838,99.841,99.919,100.01,100.01,99.86,99.86,99.841,99.841,99.841,99.924,99.924,99.784,99.917,99.917
1,-207.56,-206.65,-205.52,-201.67,-204.77,-203.06,-203.06,-201.31,-201.12,-201.12,-202.22,-202.3,-201.01,-201.5,-201.5,-202.94,-202.94,-202.15,-202.41,-202.65,-202.61,-202.24,-202.24,-202.28,-202.99,-202.39,-202.63,-202.33,-202.34,-202.5,-202.02,-202.12,-202.31,-202.23,-202.23,-202.27,-202.27,-202.84,-202.12,-202.36,-202.18,-202.3,-202.33,-202.1,-202.38,-202.38,-202.38,-202.24,-202.4,-202.4,-202.23,-202.42,-202.42,-202.51,-202.3,-202.27,-202.16,-202.21,-202.21,-202.32,-202.32,-202.32,-202.24,-202.2,-202.18,-202.29,-202.3,-202.4,-202.28,-202.29,-202.36,-202.44,-202.44,-202.3,-202.3,-202.29,-202.29,-202.29,-202.37,-202.37,-202.23,-202.35,-202.35
2,-6.9869,-7.2177,-7.0883,-7.3232,-7.1201,-7.0865,-7.0865,-6.9738,-6.9884,-6.9884,-7.0999,-7.0781,-7.1233,-7.0724,-7.0724,-7.1497,-7.1497,-7.05,-7.0764,-7.1317,-7.1579,-7.1124,-7.1124,-7.1118,-7.1721,-7.0851,-7.1381,-7.132,-7.0924,-7.0829,-7.1016,-7.1048,-7.1036,-7.1029,-7.091,-7.1054,-7.1054,-7.1458,-7.0909,-7.1135,-7.0995,-7.129,-7.1133,-7.0959,-7.124,-7.124,-7.124,-7.1055,-7.1263,-7.1263,-7.1008,-7.1028,-7.1028,-7.1283,-7.1035,-7.0993,-7.089,-7.0972,-7.0972,-7.1099,-7.1099,-7.1099,-7.1041,-7.107,-7.091,-7.1015,-7.0974,-7.1186,-7.1072,-7.1035,-7.1078,-7.1164,-7.1164,-7.1065,-7.1065,-7.1016,-7.1016,-7.1016,-7.1057,-7.1057,-7.0981,-7.112,-7.112
3,-0.031444,-0.033372,-0.033153,-0.034712,-0.033129,-0.03358,-0.03358,-0.032076,-0.032657,-0.032657,-0.033773,-0.033191,-0.033702,-0.033332,-0.033332,-0.033693,-0.033693,-0.033187,-0.033181,-0.033569,-0.033867,-0.033523,-0.033523,-0.033449,-0.034019,-0.033256,-0.033696,-0.033641,-0.03336,-0.033287,-0.033528,-0.033527,-0.033489,-0.033496,-0.03345,-0.033527,-0.033527,-0.033724,-0.033425,-0.033515,-0.03345,-0.033626,-0.033494,-0.033437,-0.033607,-0.033607,-0.033607,-0.033488,-0.033662,-0.033662,-0.033459,-0.033508,-0.033508,-0.033691,-0.033477,-0.033478,-0.033413,-0.033498,-0.033498,-0.033573,-0.033573,-0.033573,-0.033494,-0.033535,-0.033405,-0.033507,-0.033477,-0.033642,-0.033519,-0.033458,-0.033506,-0.033565,-0.033565,-0.033491,-0.033491,-0.033473,-0.033473,-0.033473,-0.033503,-0.033503,-0.03346,-0.033533,-0.033533
4,-0.00016212,-0.0001808,-7.6238e-05,-0.00018567,-0.00017843,-0.0001801,-0.0001801,-0.00017242,-0.00017553,-0.00017553,-0.0001808,-0.00017874,-0.00018014,-0.00017832,-0.00017832,-0.00018101,-0.00018101,-0.00017826,-0.00017813,-0.00017972,-0.00018156,-0.0001798,-0.0001798,-0.000179,-0.00018205,-0.00017859,-0.00018033,-0.00018016,-0.00017906,-0.00017888,-0.00017977,-0.0001795,-0.00017945,-0.00017962,-0.00017927,-0.00017962,-0.00017962,-0.0001806,-0.00017923,-0.00017951,-0.00017937,-0.00017991,-0.00017955,-0.00017913,-0.0001801,-0.0001801,-0.0001801,-0.00017951,-0.00018026,-0.00018026,-0.00017951,-0.0001797,-0.0001797,-0.00018039,-0.0001794,-0.00017945,-0.0001792,-0.00017939,-0.00017939,-0.00017975,-0.00017975,-0.00017975,-0.0001795,-0.00017967,-0.00017904,-0.00017963,-0.00017936,-0.00018018,-0.00017963,-0.00017935,-0.0001795,-0.00017977,-0.00017977,-0.00017945,-0.00017945,-0.00017941,-0.00017941,-0.00017941,-0.00017949,-0.00017949,-0.00017931,-0.00017965,-0.00017965
5,4.1066,3.7517,3.9628,3.9246,3.9738,3.9522,3.9522,3.9434,3.951,3.951,3.9528,3.9501,3.9434,3.9466,3.9466,3.9466,3.9466,3.9507,3.9468,3.9461,3.955,3.9467,3.9467,3.9417,3.9431,3.9456,3.9442,3.944,3.9454,3.9445,3.944,3.9454,3.9461,3.9452,3.9453,3.9449,3.9449,3.9454,3.9452,3.9454,3.9435,3.9449,3.9469,3.9448,3.945,3.945,3.945,3.9446,3.9451,3.9451,3.9449,3.945,3.945,3.9452,3.9451,3.9451,3.9451,3.9451,3.9451,3.945,3.945,3.945,3.945,3.945,3.9452,3.945,3.9452,3.945,3.945,3.945,3.9451,3.945,3.945,3.9451,3.9451,3.945,3.945,3.945,3.945,3.945,3.9452,3.945,3.945
6,1.6196,1.5031,1.5939,1.5251,1.6053,1.5355,1.5355,1.5918,1.5369,1.5369,1.5207,1.5284,1.5361,1.5403,1.5403,1.527,1.527,1.538,1.5361,1.538,1.5329,1.5371,1.5371,1.5384,1.5388,1.5357,1.539,1.5399,1.5383,1.539,1.5395,1.5403,1.5371,1.5387,1.5386,1.5385,1.5385,1.5384,1.5385,1.5385,1.5397,1.5391,1.5376,1.5391,1.5387,1.5387,1.5387,1.539,1.5387,1.5387,1.5389,1.5386,1.5386,1.5387,1.5386,1.5387,1.5387,1.5387,1.5387,1.5386,1.5386,1.5386,1.5386,1.5387,1.5386,1.5388,1.5386,1.5387,1.5387,1.5387,1.5387,1.5387,1.5387,1.5387,1.5387,1.5387,1.5387,1.5387,1.5387,1.5387,1.5386,1.5387,1.5387
7,0.0070661,0.0040755,0.0051754,-0.038872,0.0059643,0.0046454,0.0046454,0.002095,-0.016668,-0.016668,-4.0957e-05,-0.0027803,-0.012375,0.001324,0.001324,0.0057729,0.0057729,-0.0074466,0.00088764,0.0017444,0.00029278,-0.0019503,-0.0019503,-0.00061472,0.00051711,-0.0016079,0.00052079,0.00067727,0.00088551,0.0004694,0.00055789,-0.0013028,-0.00048661,-0.00096956,0.00021543,4.5795e-05,4.5795e-05,-0.00042623,0.00016383,0.00055686,0.001019,0.00037297,0.00023482,0.00011017,0.00014313,0.00014313,0.00014313,0.00010355,0.00029115,0.00029115,0.00025446,0.00010362,0.00010362,-0.00021094,0.00017468,0.00024356,0.00027853,0.00014471,0.00014471,0.00020664,0.00020664,0.00020664,0.0001093,0.0001808,0.00025768,0.00024425,0.0002602,0.0002318,0.00019633,0.00019565,0.0001685,0.00017545,0.00017545,0.0001631,0.0001631,0.00021819,0.00021819,0.00021819,0.00019053,0.00019053,0.0002252,0.00019199,0.00019199
8,0.0023554,0.0038535,0.003336,0.054907,0.0022985,0.0039879,0.0039879,0.0058036,0.02633,0.02633,0.0084331,0.011084,0.02119,0.0067374,0.0067374,0.0024526,0.0024526,0.01615,0.0073699,0.0064271,0.0081228,0.010345,0.010345,0.0087915,0.0076161,0.0099083,0.0076557,0.0074911,0.0072729,0.0077029,0.0075845,0.0096113,0.0087573,0.0092388,0.007977,0.0081678,0.0081678,0.0086804,0.0080461,0.0076148,0.0071137,0.0078026,0.0079856,0.0080937,0.0080574,0.0080574,0.0080574,0.008114,0.0079053,0.0079053,0.0079417,0.0080948,0.0080948,0.0084406,0.0080177,0.0079506,0.0079094,0.0080526,0.0080526,0.0079914,0.0079914,0.0079914,0.0080958,0.0080131,0.0079332,0.007942,0.0079304,0.0079604,0.0080006,0.0080028,0.0080287,0.0080219,0.0080219,0.0080337,0.0080337,0.0079747,0.0079747,0.0079747,0.0080049,0.0080049,0.0079718,0.0080056,0.0080056
9,-3.0957e-05,-4.8671e-05,-4.1588e-05,0.00013093,-3.2838e-05,-7.0398e-05,-7.0398e-05,-4.6769e-05,-0.0002272,-0.0002272,-7.3562e-05,-0.00010283,-0.00018142,-5.7262e-05,-5.7262e-05,-1.7541e-05,-1.7541e-05,-0.00015156,-5.9608e-05,-5.1371e-05,-7.0525e-05,-9.4582e-05,-9.4582e-05,-7.5301e-05,-6.4033e-05,-9.3927e-05,-6.7312e-05,-6.7438e-05,-5.9483e-05,-7.0186e-05,-6.4076e-05,-8.5546e-05,-7.2221e-05,-8.053e-05,-6.8849e-05,-7.3467e-05,-7.3467e-05,-7.658e-05,-7.0178e-05,-6.4498e-05,-6.2954e-05,-6.711e-05,-6.8185e-05,-7.0625e-05,-7.1214e-05,-7.1214e-05,-7.1214e-05,-7.1507e-05,-6.8628e-05,-6.8628e-05,-6.8725e-05,-7.0441e-05,-7.0441e-05,-7.4208e-05,-6.9858e-05,-6.9131e-05,-6.8713e-05,-6.9747e-05,-6.9747e-05,-6.9744e-05,-6.9744e-05,-6.9744e-05,-6.9803e-05,-6.9867e-05,-6.8994e-05,-6.9427e-05,-6.8704e-05,-6.9383e-05,-6.9695e-05,-6.9542e-05,-7.0117e-05,-6.9855e-05,-6.9855e-05,-6.998e-05,-6.998e-05,-6.9321e-05,-6.9321e-05,-6.9321e-05,-6.9712e-05,-6.9712e-05,-6.9282e-05,-6.9668e-05,-6.9668e-05
