,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0,111.57,106.81,108.44,106.42,108.12,107.64,107.2,106.15,106.03,106.81,106.48,106.83,107.34,106.02,106.52,106.8,106.28,106.31,106.67,106.65,106.36,106.59,106.62,106.72,106.68,106.59,106.76,106.68,106.57,106.61,106.66,106.65,106.77,106.58,106.8,106.85,106.54,106.78,106.68,106.75,106.72,106.72,106.47,106.64,106.7,106.73,106.69,106.52,106.62,106.61,106.68,106.65,106.68,106.66,106.66,106.66,106.65
1,-225.94,-223.0,-223.21,-221.85,-223.19,-222.84,-222.3,-221.35,-221.31,-221.99,-221.64,-222.04,-222.54,-221.25,-221.69,-222.0,-221.53,-221.56,-221.9,-221.85,-221.59,-221.81,-221.83,-221.93,-221.87,-221.8,-221.96,-221.89,-221.78,-221.81,-221.89,-221.87,-221.96,-221.8,-222.0,-222.04,-221.77,-221.99,-221.89,-221.95,-221.92,-221.92,-221.7,-221.85,-221.9,-221.93,-221.9,-221.73,-221.82,-221.82,-221.89,-221.85,-221.88,-221.86,-221.87,-221.87,-221.85
2,-8.1135,-7.8173,-7.9793,-7.955,-7.9793,-8.0642,-8.1158,-7.9841,-7.9305,-8.0251,-8.0622,-8.0336,-8.0398,-8.0204,-8.0648,-8.0444,-7.9893,-7.9915,-8.0113,-8.0383,-8.0105,-8.0248,-8.0284,-8.0318,-8.0526,-8.0344,-8.0413,-8.0302,-8.0345,-8.0316,-8.0101,-8.018,-8.0428,-8.0229,-8.0372,-8.0425,-8.0121,-8.0248,-8.0293,-8.0314,-8.0374,-8.0374,-8.0169,-8.0275,-8.0397,-8.0305,-8.0291,-8.024,-8.0332,-8.0207,-8.0293,-8.0336,-8.0312,-8.0368,-8.0319,-8.0319,-8.0325
3,-0.040275,-0.039417,-0.041611,-0.040107,-0.040975,-0.04125,-0.04181,-0.040549,-0.04046,-0.041346,-0.04206,-0.041536,-0.041226,-0.041106,-0.041358,-0.041217,-0.040947,-0.040918,-0.041219,-0.041383,-0.041213,-0.041216,-0.041336,-0.041281,-0.041486,-0.041425,-0.041415,-0.041339,-0.041398,-0.041323,-0.041113,-0.041206,-0.041501,-0.041211,-0.041363,-0.041463,-0.041152,-0.041318,-0.041362,-0.041366,-0.041443,-0.041443,-0.041268,-0.041314,-0.041444,-0.041344,-0.041314,-0.041294,-0.041384,-0.041261,-0.041359,-0.04132,-0.041346,-0.041378,-0.041365,-0.041365,-0.04138
4,-0.00021091,-0.00020977,-0.00022605,-0.00021645,-0.00022117,-0.00022272,-0.00022171,-0.00021835,-0.00022059,-0.00022223,-0.00022513,-0.00022336,-0.00022205,-0.00022125,-0.00022225,-0.00022233,-0.00022097,-0.00022027,-0.00022249,-0.00022275,-0.00022225,-0.00022233,-0.00022249,-0.00022251,-0.00022329,-0.00022286,-0.00022292,-0.00022269,-0.00022292,-0.00022265,-0.00022192,-0.00022212,-0.00022335,-0.00022206,-0.00022279,-0.00022328,-0.0002219,-0.00022235,-0.00022258,-0.00022287,-0.00022299,-0.00022299,-0.00022235,-0.00022245,-0.00022307,-0.00022274,-0.00022269,-0.00022254,-0.00022284,-0.00022227,-0.00022269,-0.00022259,-0.00022271,-0.00022281,-0.00022271,-0.00022271,-0.00022281
5,4.6364,4.1873,4.3948,4.4599,4.4236,4.4457,4.4267,4.4207,4.4255,4.4319,4.4246,4.4211,4.43,4.431,4.4279,4.4287,4.4259,4.4264,4.4274,4.4271,4.4275,4.4274,4.4278,4.4277,4.4262,4.4282,4.4279,4.4267,4.4279,4.427,4.4273,4.4274,4.4276,4.4283,4.4275,4.4275,4.4273,4.4275,4.4273,4.4275,4.4276,4.4276,4.4274,4.4275,4.4274,4.4277,4.4277,4.4275,4.4278,4.4277,4.4276,4.4276,4.4275,4.4275,4.4276,4.4276,4.4276
6,1.8619,1.6618,1.7856,1.8109,1.7964,1.7813,1.7128,1.7547,1.7221,1.7413,1.7338,1.75,1.7452,1.7349,1.7349,1.7346,1.7404,1.7398,1.7438,1.7407,1.7425,1.7382,1.7399,1.7407,1.7408,1.7435,1.7407,1.7419,1.7401,1.7417,1.7404,1.7408,1.741,1.7402,1.7413,1.741,1.7416,1.741,1.7408,1.7412,1.7409,1.7409,1.7413,1.7412,1.741,1.7412,1.7408,1.7411,1.7408,1.7409,1.7405,1.7407,1.741,1.741,1.741,1.741,1.7409
7,0.0065741,-0.00061808,0.0083784,0.0065395,0.002162,0.0054909,0.0034479,0.0069844,-0.0019652,0.0060616,-0.0018393,0.0039556,0.0020908,-0.002903,-7.5725e-05,0.0036039,0.003995,0.0020761,0.0047892,-0.0015117,0.0030487,0.0025342,0.0017677,0.0031359,0.0010802,0.0020163,0.0021649,0.0015465,0.0011106,0.0016838,0.0017439,0.0021994,0.0017196,0.0011129,0.0019096,0.0014858,0.0016254,0.0017563,0.0018427,0.0019404,0.0015812,0.0015812,0.0016605,0.0014159,0.0015157,0.0014874,0.0015254,0.0015575,0.0016383,0.0015027,0.0016739,0.0015709,0.0016179,0.001648,0.0015789,0.0015789,0.0016414
8,0.0036538,0.014457,0.0018294,0.0050354,0.0079781,0.0050341,0.0068049,0.0029238,0.012053,0.0038391,0.011888,0.0055923,0.0079572,0.013093,0.010092,0.0061567,0.0056714,0.0077941,0.0050696,0.011417,0.0067872,0.0073136,0.0081069,0.0066518,0.0087902,0.0078293,0.007681,0.0083317,0.0087779,0.0081685,0.0081044,0.0076347,0.0081693,0.0087958,0.0079263,0.0083824,0.0082328,0.0080861,0.0080091,0.0078954,0.0082776,0.0082776,0.0081797,0.0084356,0.0083478,0.0083668,0.0083358,0.0083038,0.0082105,0.0083627,0.0081628,0.0082861,0.0082351,0.0082068,0.0082703,0.0082703,0.0082114
9,-4.8675e-05,0.001939,-5.4961e-06,-8.1762e-05,-6.9847e-05,-2.9612e-05,-2.662e-05,-3.7448e-05,-8.4558e-05,-4.7295e-05,-9.3376e-05,-5.1286e-05,-7.5576e-05,-0.00011084,-9.2486e-05,-6.1697e-05,-5.1038e-05,-6.6167e-05,-4.6976e-05,-0.0001026,-6.2581e-05,-6.9256e-05,-6.9586e-05,-6.2251e-05,-7.8466e-05,-7.0637e-05,-7.0783e-05,-7.4347e-05,-7.5419e-05,-7.1072e-05,-7.2746e-05,-6.8627e-05,-7.3745e-05,-7.9007e-05,-7.0043e-05,-7.4725e-05,-7.3359e-05,-7.2217e-05,-7.1668e-05,-7.0052e-05,-7.3073e-05,-7.3073e-05,-7.2353e-05,-7.4037e-05,-7.3928e-05,-7.3892e-05,-7.3709e-05,-7.3355e-05,-7.293e-05,-7.3593e-05,-7.1954e-05,-7.2793e-05,-7.3007e-05,-7.3129e-05,-7.3177e-05,-7.3177e-05,-7.2646e-05
