,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
0,231.14,230.47,230.47,235.5,237.88,238.03,236.75,235.58,235.58,235.58,235.93,236.47,236.68,235.04,236.51,235.93,236.53,235.68,236.63,235.99,236.27,235.75,235.24,235.8,235.85,236.3,235.66,235.59,235.59,235.59,235.92,235.96,235.96,235.96,236.17,236.18,236.15,236.15,236.16,236.17,236.17,236.17,236.2,236.09,236.09,236.14,236.14,236.18,236.18,236.18,236.02,236.2,236.2,236.15,236.12,236.12,236.25,236.25,236.25,236.25,236.25,236.09,236.09,236.09,236.2,236.2,236.2,236.2,236.2,236.22,236.22,236.16,236.16,236.13,236.13,236.19,236.19,236.19
1,-243.0,-239.95,-239.95,-246.05,-247.52,-247.92,-247.29,-245.43,-245.43,-245.43,-245.88,-246.19,-246.71,-245.1,-246.35,-245.92,-246.17,-245.58,-246.41,-245.86,-246.14,-245.48,-245.12,-245.68,-245.72,-246.12,-245.49,-245.53,-245.53,-245.53,-245.72,-245.78,-245.78,-245.78,-246.04,-246.03,-246.06,-246.06,-246.0,-246.02,-246.02,-246.02,-246.02,-245.95,-245.95,-245.98,-245.98,-246.02,-246.02,-246.02,-245.89,-246.01,-246.01,-245.99,-245.96,-245.96,-246.11,-246.11,-246.11,-246.11,-246.11,-245.95,-245.95,-245.95,-246.03,-246.03,-246.03,-246.03,-246.03,-246.07,-246.07,-246.01,-246.01,-245.99,-245.99,-246.02,-246.02,-246.02
2,-16.217,-16.672,-16.672,-15.617,-16.46,-16.36,-15.486,-16.448,-16.448,-16.448,-16.26,-16.541,-16.22,-16.219,-16.426,-16.235,-16.597,-16.354,-16.462,-16.387,-16.365,-16.503,-16.351,-16.37,-16.379,-16.413,-16.439,-16.302,-16.302,-16.302,-16.447,-16.437,-16.437,-16.437,-16.373,-16.396,-16.343,-16.343,-16.408,-16.387,-16.387,-16.387,-16.43,-16.383,-16.383,-16.415,-16.415,-16.405,-16.405,-16.405,-16.378,-16.427,-16.427,-16.403,-16.409,-16.409,-16.381,-16.381,-16.381,-16.381,-16.381,-16.388,-16.388,-16.388,-16.412,-16.412,-16.412,-16.412,-16.412,-16.397,-16.397,-16.397,-16.397,-16.385,-16.385,-16.408,-16.408,-16.408
3,-0.27488,-0.41505,-0.41505,-0.49532,-0.52572,-0.42807,-0.62333,-0.36559,-0.36559,-0.36559,-0.44059,-0.42027,-0.42122,-0.38934,-0.40346,-0.44021,-0.43555,-0.41124,-0.42572,-0.41979,-0.43922,-0.43036,-0.43908,-0.422,-0.42656,-0.42982,-0.40209,-0.42807,-0.42807,-0.42807,-0.42048,-0.41547,-0.41547,-0.41547,-0.42706,-0.4235,-0.41555,-0.41555,-0.42295,-0.42955,-0.42955,-0.42955,-0.4193,-0.41856,-0.41856,-0.42153,-0.42153,-0.42497,-0.42497,-0.42497,-0.41381,-0.42547,-0.42547,-0.42299,-0.41878,-0.41878,-0.42631,-0.42631,-0.42631,-0.42631,-0.42631,-0.42571,-0.42571,-0.42571,-0.42604,-0.42604,-0.42604,-0.42604,-0.42604,-0.42551,-0.42551,-0.42519,-0.42519,-0.42035,-0.42035,-0.42403,-0.42403,-0.42403
4,-0.0037583,-0.003284,-0.003284,-0.0052169,-0.0050838,-0.004195,-0.0062023,-0.0026274,-0.0026274,-0.0026274,-0.0041664,-0.0033467,-0.0035969,-0.0033216,-0.003381,-0.0038997,-0.003689,-0.0034959,-0.0036753,-0.0036175,-0.0037893,-0.0037982,-0.0038928,-0.0035773,-0.0037536,-0.003689,-0.0033102,-0.0037152,-0.0037152,-0.0037152,-0.0035093,-0.003526,-0.003526,-0.003526,-0.003731,-0.003704,-0.0035603,-0.0035603,-0.0036345,-0.0037001,-0.0037001,-0.0037001,-0.0036269,-0.003581,-0.003581,-0.0036052,-0.0036052,-0.0036931,-0.0036931,-0.0036931,-0.0035504,-0.0036764,-0.0036764,-0.0036493,-0.0036009,-0.0036009,-0.0037109,-0.0037109,-0.0037109,-0.0037109,-0.0037109,-0.003698,-0.003698,-0.003698,-0.0036781,-0.0036781,-0.0036781,-0.0036781,-0.0036781,-0.0036598,-0.0036598,-0.0036749,-0.0036749,-0.0036178,-0.0036178,-0.0036522,-0.0036522,-0.0036522
5,0.68047,0.69102,0.69102,0.72269,0.70989,0.7099,0.69481,0.70347,0.70347,0.70347,0.70321,0.7053,0.70364,0.70194,0.70386,0.70299,0.70382,0.70379,0.70362,0.70352,0.7036,0.70354,0.70345,0.70347,0.70359,0.70356,0.70346,0.70348,0.70348,0.70348,0.70342,0.70346,0.70346,0.70346,0.70348,0.70345,0.70346,0.70346,0.70347,0.70348,0.70348,0.70348,0.70348,0.70348,0.70348,0.70348,0.70348,0.70348,0.70348,0.70348,0.70348,0.70348,0.70348,0.70348,0.70348,0.70348,0.70348,0.70348,0.70348,0.70348,0.70348,0.70348,0.70348,0.70348,0.70348,0.70348,0.70348,0.70348,0.70348,0.70348,0.70348,0.70348,0.70348,0.70348,0.70348,0.70348,0.70348,0.70348
6,0.15683,0.18669,0.18669,0.19705,0.18225,0.18151,0.17875,0.18672,0.18672,0.18672,0.1837,0.18485,0.18468,0.18494,0.18548,0.18624,0.18488,0.18517,0.18546,0.18533,0.18525,0.18529,0.18518,0.18519,0.18517,0.18511,0.18525,0.18528,0.18528,0.18528,0.18519,0.1852,0.1852,0.1852,0.18517,0.18517,0.18521,0.18521,0.18519,0.18518,0.18518,0.18518,0.18518,0.18522,0.18522,0.18516,0.18516,0.18518,0.18518,0.18518,0.18518,0.18518,0.18518,0.18519,0.18519,0.18519,0.18519,0.18519,0.18519,0.18519,0.18519,0.18519,0.18519,0.18519,0.18521,0.18521,0.18521,0.18521,0.18521,0.18519,0.18519,0.1852,0.1852,0.18517,0.18517,0.18519,0.18519,0.18519
7,-0.0067237,-0.0053778,-0.0053778,-0.0061951,-0.0071721,-0.0069283,-0.0064517,-0.006844,-0.006844,-0.006844,-0.0069021,-0.0070015,-0.0067687,-0.0065119,-0.0067887,-0.0067659,-0.0068552,-0.006843,-0.0067137,-0.0068427,-0.0068487,-0.0068047,-0.0067627,-0.0068171,-0.0067933,-0.006788,-0.0067759,-0.0067965,-0.0067965,-0.0067965,-0.006799,-0.0067967,-0.0067967,-0.0067967,-0.0068074,-0.0067988,-0.0067896,-0.0067896,-0.0067973,-0.0068039,-0.0068039,-0.0068039,-0.0067885,-0.0068032,-0.0068032,-0.0068056,-0.0068056,-0.0067956,-0.0067956,-0.0067956,-0.0067987,-0.0067948,-0.0067948,-0.0067948,-0.0067945,-0.0067945,-0.0067985,-0.0067985,-0.0067985,-0.0067985,-0.0067985,-0.0067907,-0.0067907,-0.0067907,-0.0068044,-0.0068044,-0.0068044,-0.0068044,-0.0068044,-0.0067984,-0.0067984,-0.0068011,-0.0068011,-0.0068028,-0.0068028,-0.0067951,-0.0067951,-0.0067951
8,0.0020513,0.00040512,0.00040512,0.002809,0.0032787,0.0025401,0.0023746,0.0034145,0.0034145,0.0034145,0.0031719,0.003253,0.0031247,0.0028717,0.0031863,0.0031669,0.0032711,0.0031628,0.0030412,0.0032203,0.0032288,0.0031947,0.0031165,0.0031953,0.003162,0.0031244,0.0031114,0.0030817,0.0030817,0.0030817,0.0031576,0.0031597,0.0031597,0.0031597,0.0031553,0.0031712,0.0031242,0.0031242,0.003144,0.0031661,0.0031661,0.0031661,0.0031474,0.0031206,0.0031206,0.0031847,0.0031847,0.0031495,0.0031495,0.0031495,0.0031568,0.0031547,0.0031547,0.0031407,0.0031392,0.0031392,0.0031452,0.0031452,0.0031452,0.0031452,0.0031452,0.00314,0.00314,0.00314,0.0031365,0.0031365,0.0031365,0.0031365,0.0031365,0.0031456,0.0031456,0.0031398,0.0031398,0.0031718,0.0031718,0.0031431,0.0031431,0.0031431
9,0.00071684,0.00010898,0.00010898,-1.0602e-05,3.3594e-05,4.1145e-05,3.0854e-05,-6.9299e-06,-6.9299e-06,-6.9299e-06,-7.7411e-06,-1.0939e-06,1.1016e-05,1.1134e-05,1.7073e-05,1.3461e-06,5.8601e-06,9.5017e-07,1.2492e-06,1.0098e-05,-3.6805e-06,5.028e-06,-2.4e-06,6.8038e-06,5.894e-06,2.4245e-06,3.8687e-06,9.4513e-06,9.4513e-06,9.4513e-06,5.2175e-06,1.261e-05,1.261e-05,1.261e-05,3.3087e-06,5.8288e-06,5.2863e-06,5.2863e-06,5.8327e-06,5.1444e-06,5.1444e-06,5.1444e-06,6.2147e-06,9.9068e-06,9.9068e-06,4.8422e-06,4.8422e-06,6.3683e-06,6.3683e-06,6.3683e-06,6.7807e-06,3.8704e-06,3.8704e-06,8.4069e-06,1.069e-05,1.069e-05,7.3094e-06,7.3094e-06,7.3094e-06,7.3094e-06,7.3094e-06,5.0996e-06,5.0996e-06,5.0996e-06,7.4628e-06,7.4628e-06,7.4628e-06,7.4628e-06,7.4628e-06,8.9389e-06,8.9389e-06,7.3643e-06,7.3643e-06,6.5218e-06,6.5218e-06,7.7038e-06,7.7038e-06,7.7038e-06
