,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,329.42,320.23,320.23,318.59,316.76,322.34,320.28,320.15,320.86,320.17,320.5,320.02,321.31,321.03,320.48,321.89,321.31,320.06,321.27,320.96,321.15,320.73,320.85,320.73,321.11,321.28,320.58,320.68,320.87,320.72,321.04,320.98,321.12,320.94,320.86,320.98,320.8,321.12,320.97,320.98,320.87,321.3,320.93,321.01,320.91,321.01,320.95,321.01,321.0,321.17,320.94,320.84,320.87,321.04,320.87,320.97,321.07,321.03,320.99,321.0,321.03,321.01,321.01,321.01
1,-336.53,-330.35,-330.35,-328.28,-328.0,-332.39,-331.17,-330.05,-331.11,-330.35,-330.84,-330.43,-331.5,-331.26,-330.8,-332.15,-331.57,-330.53,-331.5,-331.11,-331.36,-331.07,-331.13,-331.02,-331.37,-331.54,-330.9,-330.98,-331.1,-331.01,-331.33,-331.23,-331.4,-331.18,-331.15,-331.23,-331.1,-331.43,-331.22,-331.22,-331.14,-331.52,-331.28,-331.33,-331.24,-331.33,-331.24,-331.31,-331.32,-331.45,-331.23,-331.17,-331.12,-331.33,-331.15,-331.27,-331.36,-331.29,-331.27,-331.26,-331.33,-331.29,-331.29,-331.29
2,-29.875,-28.416,-28.416,-29.442,-27.522,-28.917,-28.096,-29.087,-28.788,-28.779,-28.543,-28.547,-28.769,-28.638,-28.496,-28.569,-28.695,-28.463,-28.603,-28.724,-28.717,-28.647,-28.675,-28.612,-28.664,-28.629,-28.619,-28.62,-28.719,-28.613,-28.609,-28.659,-28.626,-28.657,-28.607,-28.645,-28.592,-28.606,-28.652,-28.674,-28.617,-28.688,-28.549,-28.586,-28.573,-28.593,-28.618,-28.599,-28.577,-28.617,-28.614,-28.586,-28.664,-28.594,-28.635,-28.615,-28.638,-28.648,-28.651,-28.64,-28.614,-28.641,-28.641,-28.641
3,-1.7301,-1.5361,-1.5361,-0.81404,-1.2333,-1.0554,-1.0189,-1.0033,-0.9493,-1.0256,-1.0903,-1.036,-1.0294,-1.1174,-1.1652,-1.1503,-1.0271,-1.0539,-1.1439,-1.1033,-1.0568,-1.001,-1.0383,-1.0894,-1.068,-1.0906,-1.0444,-1.0665,-1.0444,-1.0785,-1.079,-1.0787,-1.0743,-1.0825,-1.0961,-1.0816,-1.0867,-1.0675,-1.0828,-1.0706,-1.0966,-1.0759,-1.0839,-1.0802,-1.0802,-1.0717,-1.0688,-1.082,-1.0854,-1.0865,-1.0748,-1.0716,-1.0755,-1.0907,-1.071,-1.0674,-1.0631,-1.0802,-1.0611,-1.0777,-1.0708,-1.061,-1.061,-1.061
4,-0.016762,-0.049597,-0.049597,-0.016138,-0.031987,-0.027056,-0.026771,-0.024602,-0.019533,-0.025674,-0.026727,-0.021225,-0.021909,-0.026072,-0.028365,-0.027711,-0.02277,-0.02482,-0.027839,-0.027041,-0.02389,-0.021699,-0.023767,-0.026473,-0.023881,-0.025827,-0.023208,-0.024363,-0.02305,-0.025195,-0.02559,-0.025693,-0.024608,-0.024953,-0.025546,-0.02502,-0.025612,-0.024388,-0.025476,-0.024375,-0.025366,-0.025337,-0.025064,-0.025245,-0.025157,-0.025191,-0.024517,-0.025418,-0.025266,-0.02604,-0.025269,-0.024982,-0.02528,-0.025337,-0.024743,-0.024503,-0.024428,-0.0249,-0.024514,-0.02507,-0.025058,-0.024409,-0.024409,-0.024409
5,1.0653,1.0477,1.0477,1.0591,1.0709,1.0616,1.06,1.0657,1.0569,1.057,1.0555,1.056,1.0533,1.0539,1.055,1.0548,1.056,1.056,1.056,1.0557,1.0558,1.0558,1.0558,1.0557,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0557,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558,1.0558
6,0.29474,0.27397,0.27397,0.2896,0.28195,0.2782,0.28728,0.28348,0.28216,0.2812,0.28309,0.28232,0.28243,0.2809,0.28188,0.28269,0.282,0.2819,0.28192,0.28154,0.28163,0.28165,0.28188,0.28197,0.28186,0.28179,0.2818,0.2818,0.28184,0.28184,0.28182,0.28184,0.28183,0.28183,0.28184,0.28181,0.28185,0.2818,0.28183,0.28181,0.2818,0.28183,0.28181,0.28184,0.28183,0.28183,0.28184,0.28181,0.28184,0.28183,0.28183,0.28183,0.28183,0.28182,0.28182,0.28185,0.28183,0.28184,0.28182,0.28182,0.28183,0.28184,0.28184,0.28184
7,-0.011473,-0.012121,-0.012121,-0.011956,-0.012438,-0.012411,-0.012492,-0.01286,-0.012687,-0.012596,-0.01237,-0.012608,-0.012379,-0.012552,-0.01251,-0.012508,-0.012607,-0.012701,-0.012597,-0.012684,-0.012545,-0.012607,-0.012597,-0.012589,-0.012582,-0.012582,-0.012573,-0.012601,-0.012583,-0.012569,-0.012624,-0.012581,-0.01257,-0.012569,-0.012579,-0.012585,-0.012593,-0.012603,-0.012573,-0.012595,-0.012603,-0.012583,-0.012599,-0.012602,-0.012612,-0.01262,-0.01259,-0.01261,-0.012591,-0.012601,-0.012578,-0.012582,-0.012604,-0.012597,-0.012593,-0.012605,-0.012595,-0.012595,-0.012587,-0.012604,-0.012597,-0.012581,-0.012581,-0.012581
8,0.0016243,0.0010144,0.0010144,0.0022033,0.0021424,0.0022008,0.0022369,0.0026205,0.0024424,0.0024607,0.0021653,0.0021683,0.0021126,0.0020232,0.0021612,0.0022352,0.0023042,0.0022903,0.0022204,0.0023009,0.00222,0.0022307,0.0022299,0.0022152,0.0022404,0.0022158,0.0022075,0.0022307,0.0022279,0.0022218,0.0022129,0.0022313,0.0022191,0.0022362,0.0022292,0.0022238,0.0022302,0.0022302,0.0022198,0.0022321,0.0022374,0.0022293,0.0022342,0.0022269,0.0022251,0.0022311,0.0022255,0.0022339,0.0022282,0.0022296,0.0022247,0.0022264,0.0022324,0.0022288,0.0022279,0.0022222,0.0022271,0.0022239,0.0022275,0.0022304,0.0022267,0.0022218,0.0022218,0.0022218
9,0.00012284,6.4359e-05,6.4359e-05,1.8687e-05,5.6657e-05,5.2268e-05,5.1681e-05,3.5323e-05,3.8547e-05,2.7623e-05,3.496e-05,5.3426e-05,5.2401e-05,4.8363e-05,4.1562e-05,4.3592e-05,3.6464e-05,3.0289e-05,3.8903e-05,4.2894e-05,4.0231e-05,3.7725e-05,3.7212e-05,4.1182e-05,4.0751e-05,3.9428e-05,3.9692e-05,4.4466e-05,4.545e-05,3.995e-05,3.5202e-05,4.3945e-05,4.1831e-05,4.4702e-05,4.3431e-05,4.1995e-05,4.3277e-05,4.2647e-05,4.0493e-05,4.0916e-05,4.0365e-05,4.1451e-05,4.1996e-05,4.2248e-05,4.0803e-05,4.3469e-05,4.2857e-05,4.1341e-05,4.2859e-05,4.2302e-05,4.3487e-05,4.2085e-05,4.2907e-05,4.3528e-05,4.046e-05,4.3287e-05,3.9604e-05,4.4083e-05,4.3782e-05,4.1221e-05,4.2942e-05,4.2318e-05,4.2318e-05,4.2318e-05
