,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
0,396.03,403.17,403.17,402.61,403.17,403.17,401.7,405.28,404.93,404.28,403.63,403.31,403.86,404.56,403.31,404.41,404.71,403.24,404.47,404.76,404.29,404.03,404.18,404.04,403.61,403.66,404.04,404.27,404.46,403.57,404.66,404.58,404.39,403.92,404.4,404.11,404.89,404.39,404.03,404.07,404.3,403.7,404.03,404.15,404.27,404.4,404.4,404.07,404.08,404.07,404.11,403.94,404.11,404.01,404.21,404.21,404.33,404.3,404.22,404.13,404.05,404.05,404.3,404.06,404.32,404.08,404.23,404.23,404.23,404.17,404.25,404.1,404.1,404.33,404.06,404.18,404.14,404.23,404.19,404.2,404.27,404.1,404.1,404.05,404.11,404.26,404.23,404.18
1,-405.0,-413.75,-413.75,-413.7,-414.1,-414.1,-412.67,-415.57,-415.46,-415.09,-413.99,-414.02,-414.26,-414.57,-413.72,-415.06,-415.19,-413.87,-414.84,-415.21,-414.8,-414.7,-414.57,-414.42,-414.15,-414.19,-414.47,-414.66,-414.8,-414.11,-414.99,-414.91,-414.83,-414.41,-414.84,-414.59,-415.25,-414.81,-414.53,-414.54,-414.73,-414.18,-414.51,-414.59,-414.67,-414.88,-414.88,-414.54,-414.59,-414.53,-414.56,-414.45,-414.52,-414.42,-414.66,-414.66,-414.75,-414.74,-414.67,-414.58,-414.48,-414.48,-414.76,-414.53,-414.77,-414.55,-414.66,-414.69,-414.69,-414.65,-414.68,-414.59,-414.59,-414.74,-414.52,-414.62,-414.58,-414.7,-414.66,-414.66,-414.71,-414.55,-414.55,-414.52,-414.55,-414.72,-414.69,-414.65
2,-41.084,-40.774,-40.774,-40.0,-40.3,-40.3,-40.137,-40.863,-40.472,-40.297,-40.629,-40.275,-40.482,-40.843,-40.518,-40.337,-40.487,-40.421,-40.571,-40.579,-40.56,-40.364,-40.651,-40.622,-40.456,-40.548,-40.577,-40.553,-40.602,-40.509,-40.62,-40.674,-40.572,-40.494,-40.516,-40.525,-40.569,-40.595,-40.498,-40.511,-40.546,-40.534,-40.523,-40.577,-40.57,-40.475,-40.475,-40.53,-40.496,-40.528,-40.553,-40.482,-40.543,-40.597,-40.553,-40.553,-40.574,-40.562,-40.545,-40.518,-40.558,-40.558,-40.526,-40.51,-40.524,-40.521,-40.564,-40.531,-40.531,-40.515,-40.552,-40.497,-40.497,-40.569,-40.512,-40.538,-40.544,-40.527,-40.526,-40.521,-40.565,-40.55,-40.55,-40.517,-40.541,-40.527,-40.531,-40.519
3,-2.0482,-1.9218,-1.9218,-2.1208,-2.0063,-2.0063,-2.1198,-2.1089,-2.2506,-2.152,-2.2778,-2.2754,-2.3637,-2.3955,-2.3261,-2.2679,-2.2865,-2.2123,-2.3147,-2.2295,-2.1936,-2.2253,-2.2246,-2.2615,-2.2665,-2.19,-2.2572,-2.3067,-2.3149,-2.2111,-2.3059,-2.2588,-2.2429,-2.2723,-2.2928,-2.2593,-2.3228,-2.2539,-2.2564,-2.2749,-2.2747,-2.2457,-2.2615,-2.2466,-2.2863,-2.3,-2.3,-2.2675,-2.2583,-2.2715,-2.2545,-2.2602,-2.3048,-2.2534,-2.2586,-2.2586,-2.2698,-2.2588,-2.2614,-2.2834,-2.2657,-2.2657,-2.2703,-2.2792,-2.2862,-2.2678,-2.2636,-2.2746,-2.2746,-2.2653,-2.2791,-2.275,-2.275,-2.2754,-2.2852,-2.2731,-2.2744,-2.2606,-2.267,-2.2698,-2.2593,-2.2563,-2.2563,-2.2701,-2.2792,-2.2714,-2.2698,-2.2677
4,-0.078533,-0.072623,-0.072623,-0.067825,-0.070191,-0.070191,-0.073595,-0.074778,-0.079961,-0.076825,-0.085499,-0.089929,-0.091005,-0.092705,-0.089553,-0.088631,-0.087374,-0.082262,-0.087302,-0.083164,-0.079537,-0.079685,-0.082729,-0.083135,-0.086245,-0.079081,-0.083774,-0.08569,-0.087626,-0.082619,-0.088084,-0.084317,-0.080867,-0.086386,-0.087642,-0.084957,-0.090108,-0.082429,-0.084562,-0.085609,-0.086323,-0.08292,-0.083406,-0.083199,-0.085522,-0.087206,-0.087206,-0.084868,-0.084885,-0.085762,-0.084653,-0.084348,-0.087954,-0.083099,-0.084519,-0.084519,-0.084359,-0.084907,-0.085307,-0.085629,-0.084871,-0.084871,-0.085082,-0.085771,-0.086441,-0.085231,-0.084731,-0.085747,-0.085747,-0.085853,-0.08626,-0.085589,-0.085589,-0.085417,-0.085967,-0.085555,-0.085526,-0.084457,-0.085027,-0.0853,-0.084986,-0.084447,-0.084447,-0.085588,-0.085826,-0.08556,-0.085414,-0.08472
5,1.4947,1.3696,1.3696,1.3868,1.4115,1.4115,1.4114,1.4188,1.4028,1.4064,1.4148,1.4099,1.4115,1.4121,1.4104,1.4115,1.4102,1.4104,1.4105,1.4099,1.4095,1.4098,1.4102,1.41,1.4099,1.4099,1.41,1.41,1.4101,1.4099,1.4099,1.41,1.4099,1.4101,1.41,1.41,1.41,1.4099,1.4099,1.4099,1.4101,1.4099,1.41,1.4099,1.41,1.4101,1.4101,1.41,1.4099,1.4099,1.41,1.41,1.41,1.4099,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.4099,1.41,1.41,1.41,1.41,1.41,1.4099,1.41
6,0.43892,0.35408,0.35408,0.37097,0.37828,0.37828,0.37389,0.384,0.38291,0.3783,0.38015,0.38228,0.38112,0.37999,0.38073,0.37972,0.37977,0.37967,0.37824,0.38001,0.38059,0.38077,0.37982,0.37969,0.37997,0.38052,0.38012,0.38021,0.37975,0.38005,0.38007,0.37985,0.3805,0.37996,0.3797,0.37985,0.37959,0.38026,0.38007,0.38028,0.37969,0.38012,0.38012,0.38015,0.37989,0.37978,0.37978,0.37998,0.38005,0.37992,0.37995,0.38005,0.37979,0.38005,0.37999,0.37999,0.38004,0.37995,0.37998,0.37985,0.38001,0.38001,0.37997,0.37994,0.3799,0.37997,0.38,0.38006,0.38006,0.37989,0.3799,0.37992,0.37992,0.37995,0.3799,0.37987,0.37999,0.38001,0.37989,0.37993,0.38008,0.38007,0.38007,0.37992,0.37995,0.37998,0.38005,0.37995
7,-0.027995,-0.023705,-0.023705,-0.02152,-0.024236,-0.024236,-0.025801,-0.024846,-0.023719,-0.023984,-0.024958,-0.025304,-0.025307,-0.024398,-0.024602,-0.025068,-0.024684,-0.024968,-0.024602,-0.024641,-0.024948,-0.024914,-0.02457,-0.02472,-0.024852,-0.024888,-0.024822,-0.024909,-0.024895,-0.024747,-0.025023,-0.024768,-0.025031,-0.025002,-0.024815,-0.024811,-0.024813,-0.024913,-0.024762,-0.024943,-0.024854,-0.024852,-0.02498,-0.024835,-0.024825,-0.02492,-0.02492,-0.02489,-0.024876,-0.024827,-0.024897,-0.024944,-0.024902,-0.024814,-0.024843,-0.024843,-0.024922,-0.024858,-0.024837,-0.024883,-0.024903,-0.024903,-0.024843,-0.024888,-0.024902,-0.024849,-0.024868,-0.024966,-0.024966,-0.024886,-0.024882,-0.024839,-0.024839,-0.024874,-0.024848,-0.024874,-0.024891,-0.024852,-0.024789,-0.024877,-0.024895,-0.02491,-0.02491,-0.024868,-0.024947,-0.024899,-0.024889,-0.024863
8,-0.00033535,0.0023446,0.0023446,0.0036685,0.0030261,0.0030261,0.00037356,0.0030969,0.0028685,0.0024835,0.0033139,0.0032335,0.0032824,0.002911,0.002725,0.0030081,0.0032904,0.0032028,0.002366,0.0027092,0.0031395,0.0031799,0.0027706,0.0028401,0.0029606,0.0031686,0.0030037,0.0030852,0.0029416,0.0028994,0.0031872,0.0027587,0.0032313,0.0030702,0.0028427,0.0028517,0.0027387,0.0031426,0.0029946,0.0031473,0.0028421,0.0031168,0.0031663,0.003054,0.0029394,0.0029541,0.0029541,0.0030187,0.0030566,0.0029961,0.0030268,0.0030961,0.0029528,0.0029986,0.0030012,0.0030012,0.0031105,0.0029397,0.0029781,0.0029713,0.0030935,0.0030935,0.0029944,0.0030566,0.0030132,0.0029899,0.003024,0.0031387,0.0031387,0.0029765,0.0029979,0.0029597,0.0029597,0.0029963,0.002941,0.0029603,0.0030374,0.0030347,0.0029146,0.0029695,0.003094,0.0030877,0.0030877,0.002986,0.0030772,0.0030469,0.0030909,0.0030051
9,-0.0019152,0.00022867,0.00022867,0.00049641,-5.8617e-05,-5.8617e-05,0.0017081,0.00037564,0.00020016,0.00043357,8.681e-05,-0.0003134,-0.00028844,0.00050817,0.00058494,0.00029851,0.00038599,6.4077e-05,0.0012834,0.0010117,0.00045268,-4.9121e-05,0.0012557,0.00054052,0.00036288,0.00018248,0.00065632,-3.928e-05,0.00044881,0.00096433,2.1775e-05,0.00078798,0.00035538,0.00047823,0.00067472,0.00059399,0.00062895,0.0002232,0.00046055,0.00033115,0.00087743,0.00041096,0.00037914,0.00048837,0.00080933,0.00059547,0.00059547,0.00051517,0.00045064,0.00051493,0.00047762,0.00051386,0.00051102,0.00030933,0.00057429,0.00057429,0.00054613,0.00062705,0.00027725,0.00044836,0.00041063,0.00041063,0.00044196,0.00046138,0.00057783,0.00047749,0.00062365,0.00028566,0.00028566,0.00064403,0.00046512,0.00057283,0.00057283,0.00049611,0.00054052,0.00043267,0.00038519,0.00051071,0.00062127,0.00048229,0.00045378,0.00035272,0.00035272,0.00056927,0.00043363,0.00043902,0.00049187,0.00047993
