,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
0,501.47,507.69,507.69,509.0,501.11,496.72,496.72,499.28,498.45,498.53,501.9,501.0,501.03,500.13,501.15,500.82,501.84,501.9,500.9,500.22,500.77,500.1,500.91,500.41,501.18,501.43,500.86,500.86,500.46,500.82,501.03,501.11,500.92,501.27,500.86,501.18,501.74,501.09,500.95,501.03,500.79,500.52,500.52,500.46,500.69,500.73,500.78,500.73,500.97,501.0,501.0,500.65,500.71,500.87,500.82,500.82,500.84,500.84,500.58,500.99,500.9,500.77,500.77,501.05,501.05,500.86,500.89,500.96
1,-512.56,-515.25,-515.25,-517.08,-510.67,-506.64,-506.64,-508.34,-506.94,-508.21,-511.09,-510.19,-510.04,-509.24,-510.44,-509.79,-510.95,-510.79,-510.11,-509.35,-510.02,-509.24,-510.07,-509.71,-510.3,-510.53,-510.12,-510.12,-509.69,-509.99,-510.21,-510.32,-510.14,-510.39,-509.98,-510.42,-510.8,-510.23,-510.07,-510.17,-510.03,-509.74,-509.74,-509.63,-509.86,-509.97,-509.99,-509.87,-510.14,-510.2,-510.2,-509.86,-509.92,-510.06,-510.02,-510.02,-510.05,-510.05,-509.79,-510.11,-510.08,-509.99,-509.99,-510.27,-510.27,-510.05,-510.04,-510.13
2,-50.03,-54.138,-54.138,-53.725,-52.393,-52.065,-52.065,-52.928,-53.408,-52.265,-52.683,-52.79,-52.913,-52.769,-52.721,-52.947,-52.842,-53.063,-52.707,-52.789,-52.687,-52.806,-52.77,-52.699,-52.822,-52.819,-52.736,-52.736,-52.733,-52.763,-52.769,-52.767,-52.741,-52.831,-52.831,-52.736,-52.878,-52.811,-52.821,-52.801,-52.742,-52.747,-52.747,-52.791,-52.787,-52.735,-52.752,-52.803,-52.768,-52.76,-52.76,-52.756,-52.752,-52.771,-52.766,-52.766,-52.745,-52.745,-52.753,-52.833,-52.777,-52.734,-52.734,-52.738,-52.738,-52.771,-52.804,-52.789
3,-3.7422,-4.6724,-4.6724,-4.6923,-4.3446,-4.4087,-4.4087,-4.376,-4.5081,-4.4417,-4.5004,-4.4195,-4.4506,-4.4888,-4.3709,-4.4518,-4.4375,-4.4333,-4.4557,-4.4593,-4.4402,-4.4343,-4.4496,-4.3892,-4.439,-4.4593,-4.3852,-4.3852,-4.4205,-4.4385,-4.4257,-4.3991,-4.4109,-4.4316,-4.427,-4.4073,-4.4456,-4.4243,-4.432,-4.4382,-4.3949,-4.4088,-4.4088,-4.4172,-4.4182,-4.4095,-4.4089,-4.4304,-4.4344,-4.4163,-4.4163,-4.413,-4.4223,-4.4149,-4.4165,-4.4165,-4.4236,-4.4236,-4.4133,-4.424,-4.4209,-4.4227,-4.4227,-4.4233,-4.4233,-4.4152,-4.4232,-4.4141
4,-0.27773,-0.32575,-0.32575,-0.32964,-0.29325,-0.28256,-0.28256,-0.30345,-0.29477,-0.29339,-0.29856,-0.28135,-0.30438,-0.30206,-0.29088,-0.30398,-0.28963,-0.29843,-0.30103,-0.29931,-0.29449,-0.29874,-0.29672,-0.29162,-0.29639,-0.29799,-0.29528,-0.29528,-0.29637,-0.30093,-0.296,-0.29791,-0.29858,-0.29872,-0.29759,-0.2962,-0.2984,-0.29635,-0.29874,-0.29568,-0.29677,-0.29568,-0.29568,-0.29688,-0.29589,-0.29597,-0.29584,-0.29645,-0.29712,-0.29571,-0.29571,-0.29674,-0.29696,-0.2969,-0.29705,-0.29705,-0.29599,-0.29599,-0.2961,-0.29822,-0.29656,-0.29862,-0.29862,-0.29791,-0.29791,-0.29666,-0.29721,-0.29683
5,1.7427,1.8316,1.8316,1.782,1.7581,1.764,1.764,1.7683,1.775,1.7685,1.7642,1.765,1.7677,1.7689,1.7673,1.7685,1.7691,1.7695,1.7694,1.7692,1.7687,1.7692,1.7692,1.7694,1.7694,1.7691,1.7692,1.7692,1.7691,1.7693,1.7692,1.7693,1.7691,1.7691,1.7692,1.7691,1.7692,1.7692,1.7691,1.7692,1.7692,1.7693,1.7693,1.7692,1.7692,1.7692,1.7692,1.7692,1.7692,1.7691,1.7691,1.7692,1.7692,1.7692,1.7691,1.7691,1.7693,1.7693,1.7692,1.7692,1.7692,1.7691,1.7691,1.7692,1.7692,1.7692,1.7692,1.7692
6,0.4591,0.48702,0.48702,0.46612,0.44956,0.47031,0.47031,0.46378,0.47168,0.46436,0.46592,0.46583,0.464,0.46514,0.46517,0.46478,0.46676,0.46621,0.46453,0.46533,0.46563,0.46582,0.46522,0.46564,0.4655,0.46548,0.46562,0.46562,0.46562,0.4653,0.46555,0.46543,0.46557,0.46551,0.46549,0.46554,0.46549,0.4655,0.46551,0.46544,0.46563,0.46547,0.46547,0.46545,0.4655,0.46554,0.46553,0.46551,0.46547,0.46556,0.46556,0.4655,0.4656,0.46541,0.4655,0.4655,0.46539,0.46539,0.46547,0.46551,0.46554,0.46548,0.46548,0.46545,0.46545,0.46548,0.46549,0.4655
7,-0.036551,-0.035472,-0.035472,-0.038865,-0.034292,-0.037669,-0.037669,-0.037919,-0.037619,-0.036476,-0.038339,-0.037115,-0.036748,-0.038287,-0.036468,-0.036828,-0.037726,-0.037623,-0.037175,-0.036833,-0.037582,-0.037103,-0.037143,-0.03744,-0.037045,-0.037209,-0.037237,-0.037237,-0.037544,-0.03685,-0.03736,-0.036992,-0.037481,-0.037363,-0.037286,-0.037371,-0.037181,-0.037198,-0.037346,-0.037198,-0.037272,-0.037083,-0.037083,-0.037218,-0.037247,-0.037316,-0.037258,-0.037329,-0.037281,-0.037328,-0.037328,-0.037281,-0.037283,-0.037083,-0.037283,-0.037283,-0.037106,-0.037106,-0.037123,-0.037119,-0.0373,-0.037257,-0.037257,-0.037149,-0.037149,-0.037208,-0.037248,-0.037142
8,0.0056983,0.0061642,0.0061642,0.005275,0.0015006,0.0036101,0.0036101,0.0026652,0.0037479,0.0021604,0.0036494,0.0033462,0.0021746,0.0030065,0.0021698,0.0023073,0.0030719,0.0027881,0.0024661,0.0020458,0.0027896,0.0023723,0.0023565,0.0027055,0.0022823,0.0025262,0.0025005,0.0025005,0.002838,0.0021573,0.0025315,0.0022159,0.0026443,0.0025788,0.0024498,0.0026036,0.0023685,0.0024257,0.0025436,0.0024246,0.0024753,0.0024108,0.0024108,0.0024855,0.002442,0.0025531,0.0025048,0.0026077,0.0025065,0.0025846,0.0025846,0.0025078,0.0024812,0.0023901,0.0025592,0.0025592,0.0023565,0.0023565,0.0023614,0.0023833,0.002507,0.0024916,0.0024916,0.0023958,0.0023958,0.0024415,0.0024873,0.0024011
9,0.00058005,0.0027548,0.0027548,0.004358,0.0030582,0.0055106,0.0055106,0.0046158,0.0052942,0.0062504,0.0042018,0.0036959,0.0065709,0.005046,0.0062197,0.004902,0.0052757,0.0055628,0.0047111,0.0057145,0.005982,0.0053829,0.0064418,0.0051136,0.0055858,0.004732,0.0058373,0.0058373,0.0046598,0.0055577,0.0058254,0.006,0.0052684,0.0055754,0.0059859,0.0058711,0.0060442,0.0054059,0.0057021,0.0056148,0.0054077,0.0050008,0.0050008,0.0054876,0.0056381,0.005371,0.0058397,0.0051762,0.0053465,0.0055361,0.0055361,0.0056911,0.0056974,0.0057918,0.0053496,0.0053496,0.0057361,0.0057361,0.0058636,0.0056225,0.0057229,0.0054004,0.0054004,0.0054722,0.0054722,0.0056569,0.005376,0.0056693
10,0.0013848,0.0021474,0.0021474,0.0012227,0.0018257,0.00067903,0.00067903,0.0021926,0.00093426,0.00021758,0.0023749,0.0024191,3.3475e-06,0.0016795,0.00024129,0.0017206,0.0014678,0.0012401,0.0020641,0.0010674,0.00073985,0.0014183,0.00036705,0.0016969,0.0012636,0.0019657,0.0010272,0.0010272,0.0020793,0.0012742,0.0010134,0.00088426,0.0015766,0.0012357,0.00087149,0.00093448,0.00082471,0.0014384,0.0011219,0.0012272,0.001442,0.0017819,0.0017819,0.0013221,0.0012117,0.0014556,0.00099222,0.0016109,0.0014739,0.001271,0.001271,0.0011415,0.001151,0.001025,0.00145,0.00145,0.0011031,0.0011031,0.0009861,0.0012113,0.0011185,0.0014303,0.0014303,0.0013522,0.0013522,0.0011762,0.001445,0.0011699
11,-3.5051e-05,9.6771e-05,9.6771e-05,-1.7058e-05,-1.6564e-05,-1.8836e-05,-1.8836e-05,-5.3553e-05,-3.5886e-05,-1.2535e-05,-5.6838e-05,-5.7348e-05,-3.544e-06,-3.3221e-05,-1.0989e-05,-4.389e-05,-3.6705e-05,-3.0084e-05,-5.129e-05,-2.9008e-05,-2.2977e-05,-3.7507e-05,-1.4941e-05,-4.2636e-05,-3.2709e-05,-4.748e-05,-2.8808e-05,-2.8808e-05,-4.9956e-05,-3.3298e-05,-2.8439e-05,-2.7373e-05,-3.9971e-05,-3.2089e-05,-2.6739e-05,-2.7058e-05,-2.5455e-05,-3.8181e-05,-3.039e-05,-3.2313e-05,-3.6745e-05,-4.4213e-05,-4.4213e-05,-3.412e-05,-3.2316e-05,-3.6578e-05,-2.7775e-05,-4.0003e-05,-3.8026e-05,-3.3038e-05,-3.3038e-05,-3.0422e-05,-3.0958e-05,-2.8986e-05,-3.7343e-05,-3.7343e-05,-3.0411e-05,-3.0411e-05,-2.8169e-05,-3.2307e-05,-3.0295e-05,-3.6313e-05,-3.6313e-05,-3.4361e-05,-3.4361e-05,-3.1441e-05,-3.66e-05,-3.1477e-05
12,1.941e-06,-1.0522e-05,-1.0522e-05,5.0545e-07,8.516e-07,1.9675e-06,1.9675e-06,3.0133e-06,-3.333e-07,5.7252e-07,4.825e-06,5.6811e-06,,4.4851e-06,1.9506e-06,4.283e-06,3.0383e-06,3.6002e-06,3.9906e-06,3.0096e-06,2.3893e-06,2.9559e-06,1.9227e-06,4.1652e-06,3.3449e-06,4.2188e-06,2.8054e-06,2.8054e-06,4.7284e-06,3.2004e-06,2.5961e-06,2.2952e-06,3.9121e-06,3.1277e-06,2.3825e-06,2.6139e-06,2.729e-06,2.9859e-06,2.6388e-06,3.1821e-06,3.771e-06,4.2659e-06,4.2659e-06,3.2851e-06,2.8503e-06,3.763e-06,2.8705e-06,3.8516e-06,3.62e-06,3.1929e-06,3.1929e-06,2.8595e-06,2.9395e-06,2.729e-06,3.5019e-06,3.5019e-06,2.7407e-06,2.7407e-06,2.7011e-06,3.0507e-06,2.9141e-06,3.5903e-06,3.5903e-06,3.4001e-06,3.4001e-06,2.9734e-06,3.5675e-06,2.8755e-06
