,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,622.79,622.79,620.33,619.79,621.99,622.59,621.5,621.15,624.23,620.81,621.88,621.76,619.13,622.15,622.83,623.33,620.42,622.89,621.62,620.75,620.42,621.99,622.37,620.99,622.05,622.01,621.72,621.41,622.18,621.82,621.25,621.1,621.58,620.62,621.82,621.61,621.67,621.87,621.39,621.06,621.94,621.28,621.76,621.57,621.53,621.34,621.31,621.14,621.47,621.31,621.36,621.54
1,-627.04,-627.04,-623.72,-624.94,-627.72,-628.66,-626.51,-625.93,-629.44,-626.44,-627.51,-627.58,-624.21,-627.48,-628.97,-628.25,-625.78,-628.32,-627.13,-626.55,-626.04,-627.56,-627.91,-626.62,-627.54,-627.55,-627.34,-627.02,-627.82,-627.38,-626.87,-626.84,-627.21,-626.21,-627.54,-627.29,-627.05,-627.42,-627.1,-626.76,-627.51,-626.98,-627.32,-627.22,-627.14,-626.95,-626.98,-626.81,-627.08,-626.96,-627.03,-627.19
2,-67.165,-67.165,-67.427,-65.953,-65.893,-65.587,-66.387,-66.511,-66.381,-65.914,-65.928,-65.938,-66.395,-66.278,-65.669,-66.531,-66.225,-66.132,-66.108,-65.808,-65.952,-66.046,-66.027,-65.967,-66.108,-66.079,-66.015,-65.999,-66.001,-66.004,-65.988,-65.902,-65.993,-66.013,-65.901,-65.951,-66.173,-66.071,-65.928,-65.938,-66.033,-65.937,-66.045,-65.972,-65.999,-66.004,-65.953,-65.95,-65.992,-65.967,-65.956,-65.981
3,-7.824,-7.824,-8.8145,-8.2206,-7.775,-7.7729,-8.0349,-8.1264,-7.8707,-7.8886,-7.8762,-7.7143,-7.9659,-7.8479,-7.6549,-7.981,-7.8589,-7.8742,-7.8367,-7.8275,-7.8633,-7.836,-7.8759,-7.8486,-7.8426,-7.8244,-7.8118,-7.8292,-7.8139,-7.8744,-7.833,-7.8105,-7.816,-7.8342,-7.821,-7.8151,-7.8863,-7.8323,-7.8104,-7.8083,-7.8399,-7.8085,-7.8417,-7.8296,-7.8372,-7.8376,-7.8242,-7.8229,-7.8417,-7.8225,-7.8198,-7.8201
4,-0.52623,-0.52623,-0.60867,-0.56571,-0.55811,-0.56593,-0.58961,-0.5688,-0.54721,-0.56193,-0.57381,-0.53794,-0.5669,-0.55366,-0.5437,-0.5686,-0.55973,-0.56154,-0.55644,-0.55842,-0.56402,-0.55785,-0.56146,-0.55806,-0.55715,-0.55733,-0.55374,-0.55902,-0.55438,-0.5619,-0.56074,-0.55361,-0.55874,-0.55823,-0.55737,-0.5567,-0.56525,-0.55876,-0.55601,-0.55886,-0.56048,-0.55773,-0.55911,-0.55849,-0.55973,-0.55883,-0.55791,-0.55827,-0.55968,-0.55609,-0.55774,-0.55696
5,2.187,2.187,2.1796,2.1361,2.1378,2.1232,2.1293,2.1146,2.1284,2.1222,2.1259,2.1206,2.1195,2.1209,2.1244,2.1231,2.1234,2.1228,2.1226,2.1238,2.1236,2.123,2.1231,2.1234,2.1233,2.1235,2.1231,2.1233,2.1231,2.1232,2.1232,2.1232,2.1232,2.1232,2.1234,2.1232,2.1231,2.1232,2.1233,2.1235,2.1231,2.1233,2.1232,2.1233,2.1234,2.1233,2.1232,2.1233,2.1233,2.1232,2.1232,2.1232
6,0.56186,0.56186,0.58498,0.54954,0.55042,0.55091,0.55164,0.54413,0.55191,0.55258,0.55049,0.55205,0.55351,0.54792,0.55334,0.54941,0.55141,0.55189,0.55134,0.5513,0.55151,0.55195,0.55163,0.55173,0.55122,0.55148,0.55149,0.55164,0.55153,0.5513,0.55147,0.55146,0.55157,0.5516,0.55137,0.55175,0.55138,0.55168,0.55165,0.55146,0.55167,0.55163,0.55154,0.55159,0.5514,0.55142,0.5516,0.55151,0.55143,0.5516,0.55177,0.5516
7,-0.036479,-0.036479,-0.036961,-0.02934,-0.038447,-0.044079,-0.039822,-0.034436,-0.040215,-0.038205,-0.040296,-0.039075,-0.040528,-0.039029,-0.041995,-0.039643,-0.040386,-0.041493,-0.040263,-0.039624,-0.039311,-0.041007,-0.040046,-0.04,-0.040032,-0.039875,-0.04028,-0.040421,-0.040196,-0.039932,-0.040025,-0.040297,-0.040325,-0.040359,-0.039762,-0.040547,-0.040073,-0.040531,-0.0403,-0.039817,-0.040475,-0.040304,-0.040249,-0.040062,-0.039854,-0.040108,-0.040263,-0.040054,-0.039839,-0.040439,-0.040491,-0.040342
8,-0.0085588,-0.0085588,0.0014769,-0.0046889,-0.00072899,0.003204,-0.000437,-0.0033308,0.00081952,-0.0010211,0.0009141,4.6228e-05,0.001167,-0.00034525,0.0022158,0.00055954,0.00056766,0.0013528,0.00044803,6.6942e-05,-0.00029409,0.0011031,0.00070259,0.00044452,0.00024498,0.00018676,0.00064213,0.00067981,0.00063234,0.00047932,0.00050205,0.00066247,0.00064985,0.00066033,0.00016172,0.00068904,0.0006277,0.00073868,0.0005837,2.7602e-06,0.00078766,0.00048681,0.00061046,0.00036663,0.00019196,0.00048338,0.00060354,0.0003508,0.00021085,0.00070303,0.00074302,0.0006297
9,0.0061283,0.0061283,0.0025678,0.00016908,0.0024285,0.0031807,0.0035536,0.0039613,0.003841,0.0039276,0.0031848,0.0037463,0.003196,0.0034865,0.0032606,0.003342,0.0034954,0.0033783,0.0035682,0.0035961,0.0036513,0.0034436,0.0034007,0.0034537,0.0036,0.0035724,0.0034194,0.0034786,0.0035244,0.0034742,0.0035205,0.0035314,0.0035205,0.0034773,0.0035586,0.0035565,0.0034452,0.0035081,0.0035241,0.0036762,0.0034275,0.0035584,0.003497,0.0036042,0.0035988,0.0035364,0.0034884,0.0035561,0.0036105,0.0034967,0.0034793,0.0035146
