,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,758.74,766.96,766.96,765.98,777.66,779.24,781.32,774.37,775.97,778.29,779.0,773.44,778.35,775.42,778.14,777.13,777.36,776.59,776.84,777.37,777.22,777.69,777.12,776.05,778.17,777.14,777.32,778.47,776.1,778.03,777.7,776.53,778.39,776.78,776.58,776.94,777.35,777.18,777.31,777.85,777.59,776.77,777.38,776.98,777.37,777.48,776.73,777.83,776.82,777.1,777.88,777.07,777.43,777.3,776.83,776.9,776.85,776.85,777.63,777.6
1,-757.29,-768.28,-768.28,-759.95,-774.42,-772.42,-775.35,-769.0,-770.51,-773.25,-774.03,-768.58,-774.25,-771.62,-773.62,-772.73,-772.14,-771.64,-771.68,-772.48,-772.35,-773.02,-772.39,-771.58,-772.97,-772.38,-772.56,-773.59,-771.44,-773.37,-773.03,-771.95,-773.58,-771.94,-771.92,-772.47,-772.47,-772.45,-772.56,-772.94,-772.71,-772.0,-772.74,-772.49,-772.62,-772.63,-771.96,-773.21,-772.15,-772.55,-773.21,-772.26,-772.76,-772.54,-772.13,-772.15,-772.14,-772.14,-772.96,-772.89
2,-79.362,-80.548,-80.548,-85.929,-83.772,-86.707,-85.944,-85.486,-85.568,-85.203,-85.161,-85.043,-84.501,-84.358,-84.811,-84.757,-85.378,-85.165,-85.309,-85.137,-85.148,-84.987,-84.986,-84.777,-85.382,-85.029,-85.023,-85.129,-84.96,-84.943,-84.965,-84.882,-85.073,-85.086,-84.951,-84.787,-85.124,-84.995,-85.018,-85.144,-85.102,-85.031,-84.931,-84.809,-85.014,-85.083,-85.021,-84.914,-84.948,-84.864,-84.952,-85.063,-84.959,-85.027,-84.975,-85.015,-84.989,-84.989,-84.964,-84.995
3,-10.85,-10.689,-10.689,-12.43,-11.909,-12.482,-12.349,-12.236,-12.249,-12.165,-12.149,-12.164,-11.973,-11.826,-12.071,-12.012,-12.192,-12.137,-12.2,-12.115,-12.082,-12.048,-12.111,-12.064,-12.174,-12.091,-12.098,-12.107,-12.072,-12.075,-12.065,-12.063,-12.095,-12.107,-12.073,-12.047,-12.114,-12.092,-12.1,-12.124,-12.133,-12.103,-12.073,-12.047,-12.102,-12.119,-12.103,-12.07,-12.085,-12.051,-12.081,-12.111,-12.072,-12.1,-12.095,-12.094,-12.086,-12.086,-12.065,-12.082
4,-0.96846,-0.8333,-0.8333,-0.98585,-0.91357,-0.98295,-0.9885,-0.96697,-0.98515,-0.98151,-0.97133,-0.97408,-0.96131,-0.93548,-0.95963,-0.95874,-0.97382,-0.96704,-0.97622,-0.96342,-0.9688,-0.95827,-0.96275,-0.95657,-0.97036,-0.96445,-0.96198,-0.96464,-0.95607,-0.96466,-0.96117,-0.95825,-0.96116,-0.96405,-0.9611,-0.95931,-0.96488,-0.96223,-0.96172,-0.96389,-0.96519,-0.96497,-0.96002,-0.95716,-0.96405,-0.96539,-0.96264,-0.96084,-0.96213,-0.95852,-0.96182,-0.96434,-0.96144,-0.96467,-0.9612,-0.96295,-0.96169,-0.96169,-0.96072,-0.96268
5,2.2622,2.4351,2.4351,2.495,2.4285,2.4716,2.4717,2.4673,2.4738,2.4803,2.4715,2.4725,2.4719,2.4728,2.4758,2.4726,2.4724,2.4741,2.4727,2.4735,2.4735,2.4731,2.473,2.4736,2.4735,2.4732,2.4733,2.4734,2.4736,2.4734,2.4734,2.4734,2.4734,2.4733,2.4733,2.4734,2.4736,2.4733,2.4734,2.4733,2.4733,2.4733,2.4733,2.4733,2.4732,2.4733,2.4732,2.4734,2.4733,2.4733,2.4734,2.4732,2.4733,2.4733,2.4734,2.4734,2.4734,2.4734,2.4734,2.4733
6,0.56263,0.61978,0.61978,0.65063,0.62334,0.63807,0.63631,0.63498,0.64499,0.63215,0.63323,0.63778,0.63879,0.63507,0.63709,0.6383,0.6357,0.63522,0.63566,0.6352,0.63632,0.63661,0.63658,0.63629,0.63595,0.63641,0.63625,0.6359,0.63627,0.63634,0.63632,0.6363,0.636,0.6364,0.63636,0.63636,0.63605,0.63621,0.63619,0.63641,0.63608,0.63624,0.63638,0.63632,0.63612,0.63606,0.63638,0.6363,0.63607,0.63637,0.63619,0.63617,0.63638,0.63634,0.63626,0.63626,0.63627,0.63627,0.63634,0.63632
7,-0.03082,-0.03693,-0.03693,-0.038985,-0.039087,-0.03949,-0.042116,-0.040072,-0.043114,-0.039541,-0.04063,-0.040987,-0.040512,-0.041043,-0.039737,-0.040986,-0.039233,-0.040075,-0.039846,-0.040302,-0.039868,-0.040069,-0.039846,-0.039846,-0.040026,-0.039846,-0.039783,-0.039701,-0.040127,-0.039715,-0.039851,-0.040227,-0.039761,-0.040274,-0.04051,-0.039918,-0.039908,-0.040267,-0.039975,-0.040112,-0.039848,-0.040042,-0.039865,-0.039999,-0.039835,-0.039913,-0.040154,-0.039857,-0.039935,-0.040172,-0.040031,-0.04005,-0.040125,-0.040128,-0.039947,-0.04005,-0.039909,-0.039909,-0.039958,-0.04001
8,0.0048676,-0.034133,-0.034133,-0.029357,-0.023017,-0.033891,-0.019903,-0.032604,-0.012517,-0.042137,-0.034089,-0.03422,-0.014359,-0.029491,-0.034456,-0.034017,-0.024464,-0.035411,-0.031964,-0.034133,-0.033734,-0.034038,-0.017275,-0.030511,-0.029509,-0.03275,-0.028987,-0.029311,-0.033783,-0.022273,-0.028546,-0.033576,-0.027511,-0.027814,-0.033345,-0.022619,-0.030575,-0.034427,-0.035044,-0.030493,-0.02415,-0.031556,-0.021177,-0.030791,-0.027218,-0.029883,-0.02941,-0.025927,-0.032605,-0.032273,-0.032509,-0.03125,-0.032515,-0.030028,-0.031558,-0.032328,-0.030419,-0.030419,-0.031517,-0.028474
9,-0.0053656,0.028048,0.028048,0.020551,0.0186,0.026233,0.014245,0.026604,0.010289,0.033321,0.027761,0.028045,0.0082304,0.024189,0.027243,0.02704,0.01651,0.028839,0.024732,0.027179,0.026409,0.026774,0.010189,0.023001,0.022128,0.025554,0.021557,0.021807,0.026545,0.014655,0.020759,0.026414,0.019918,0.020403,0.026504,0.01523,0.023123,0.027634,0.028028,0.023206,0.016653,0.024258,0.01381,0.023466,0.019706,0.022439,0.022164,0.018402,0.025314,0.025183,0.02533,0.024038,0.025281,0.022626,0.024173,0.025044,0.022961,0.022961,0.024154,0.021069
10,0.0041045,0.0043931,0.0043931,0.0057283,0.0024342,0.0053962,0.004963,0.004257,0.003144,0.0064271,0.0045579,0.0046674,0.0041674,0.0041969,0.0052714,0.0053325,0.0053821,0.0047893,0.0050815,0.004942,0.0052127,0.0053293,0.0048418,0.0053574,0.0052509,0.0051682,0.0052385,0.0052749,0.0052549,0.0052717,0.0055298,0.0052441,0.0053309,0.0053582,0.0050764,0.0051907,0.0053059,0.0049945,0.005077,0.0052846,0.005236,0.0052612,0.0051397,0.0052914,0.0053057,0.0053082,0.0052391,0.0053179,0.0052281,0.0051819,0.0051946,0.0051972,0.0052623,0.0053545,0.005306,0.0052614,0.0053247,0.0053247,0.0052927,0.0052961
11,8.1208e-05,-0.00018269,-0.00018269,-0.00017013,-8.2173e-05,-0.00018185,-0.00014367,-0.00016352,-0.00011583,-0.00021404,-0.00018532,-0.00018328,-0.00011542,-0.00015671,-0.00019105,-0.00019082,-0.00014976,-0.00018246,-0.00018921,-0.0001848,-0.00019074,-0.00019297,-0.00012529,-0.00018353,-0.00017839,-0.0001882,-0.00017538,-0.00017471,-0.00019234,-0.00014169,-0.00017117,-0.00019265,-0.00016567,-0.0001732,-0.00018903,-0.00014997,-0.00018102,-0.00018932,-0.00019001,-0.00018354,-0.00015338,-0.00018534,-0.00014055,-0.00018355,-0.00016552,-0.00017929,-0.00017904,-0.00016125,-0.00018868,-0.00018923,-0.00018928,-0.00018457,-0.0001891,-0.00018116,-0.00018628,-0.00018846,-0.00018138,-0.00018138,-0.00018631,-0.00017309
12,7.0206e-05,1.3021e-05,1.3021e-05,1.2199e-05,1.6065e-05,2.7559e-06,1.3954e-05,8.2257e-06,1.3768e-05,4.8305e-06,9.1342e-06,6.0265e-06,1.8563e-05,8.2531e-06,4.6548e-06,5.998e-06,5.3092e-06,4.4409e-06,7.2146e-06,5.9951e-06,6.6658e-06,4.9756e-06,9.3904e-06,4.9052e-06,6.197e-06,4.9441e-06,5.2093e-06,5.8383e-06,6.4877e-06,3.611e-06,5.7868e-06,5.3914e-06,5.2479e-06,5.5975e-06,5.2931e-06,5.6977e-06,4.6631e-06,5.5497e-06,6.5565e-06,5.3517e-06,5.2574e-06,4.9113e-06,4.2086e-06,5.6383e-06,5.5635e-06,4.7775e-06,4.9533e-06,4.8957e-06,5.6827e-06,5.4673e-06,6.1265e-06,5.5467e-06,5.288e-06,5.5722e-06,5.262e-06,5.4189e-06,5.7915e-06,5.7915e-06,5.5396e-06,5.0827e-06
