,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,22.38,22.38,23.271,22.298,22.703,22.73,23.007,23.007,23.007,22.736,22.909,22.879,22.879,22.797,22.797,22.72,22.72,22.72,22.855,22.701
1,-47.477,-47.477,-48.026,-47.486,-47.621,-47.599,-47.89,-47.89,-47.89,-47.577,-47.757,-47.741,-47.741,-47.65,-47.65,-47.588,-47.588,-47.588,-47.713,-47.573
2,-1.5083,-1.5083,-1.4987,-1.5034,-1.5036,-1.4893,-1.493,-1.493,-1.493,-1.5165,-1.4951,-1.4993,-1.4993,-1.4937,-1.4937,-1.4914,-1.4914,-1.4914,-1.4997,-1.4919
3,-0.0075293,-0.0075293,-0.0073153,-0.0071889,-0.0073556,-0.0073215,-0.0072343,-0.0072343,-0.0072343,-0.0074291,-0.0072848,-0.0073129,-0.0073129,-0.0072693,-0.0072693,-0.0072904,-0.0072904,-0.0072904,-0.0073241,-0.0072782
4,-6.1624e-05,-6.1624e-05,-5.8794e-05,-5.6348e-05,-5.8523e-05,-5.9039e-05,-5.8282e-05,-5.8282e-05,-5.8282e-05,-5.967e-05,-5.8496e-05,-5.8654e-05,-5.8654e-05,-5.8572e-05,-5.8571e-05,-5.8692e-05,-5.8692e-05,-5.8692e-05,-5.9006e-05,-5.8533e-05
5,0.090063,0.090063,0.090844,0.090987,0.090513,0.091798,0.090816,0.090816,0.090816,0.091185,0.090957,0.090562,0.090562,0.090709,0.090709,0.090927,0.090927,0.090927,0.090734,0.091037
6,0.066215,0.066215,0.066845,0.065871,0.066764,0.067315,0.066688,0.066688,0.066688,0.066946,0.066765,0.066537,0.066537,0.066643,0.066643,0.066743,0.066743,0.066743,0.066663,0.066847
7,-5.2975e-05,-5.2975e-05,-5.2667e-05,-5.0373e-05,-5.4607e-05,-5.1428e-05,-5.2889e-05,-5.2889e-05,-5.2889e-05,-5.1197e-05,-5.1933e-05,-5.3281e-05,-5.3281e-05,-5.2862e-05,-5.2861e-05,-5.2651e-05,-5.2652e-05,-5.2652e-05,-5.3135e-05,-5.2691e-05
8,-1.3815e-06,-1.3815e-06,-1.2483e-06,-1.53e-06,-1.1247e-06,-1.0758e-06,-1.3117e-06,-1.3115e-06,-1.3115e-06,-1.2732e-06,-1.1927e-06,-1.326e-06,-1.326e-06,-1.3106e-06,-1.3111e-06,-1.2453e-06,-1.246e-06,-1.246e-06,-1.2887e-06,-1.2496e-06
9,3.4599e-07,3.4599e-07,4.3538e-07,,,3.9915e-07,3.9123e-07,3.9104e-07,3.9104e-07,,4.1142e-07,3.8397e-07,3.8397e-07,4.0416e-07,4.034e-07,3.9642e-07,3.963e-07,3.963e-07,3.9285e-07,
