,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,293.21,296.2,286.33,287.5,287.8,292.82,291.66,290.12,290.24,291.81,290.23,290.5,291.96,291.9,290.5,290.68,290.35,290.35,291.04,291.04
1,-274.96,-275.99,-268.0,-269.75,-269.18,-273.66,-272.81,-271.52,-271.39,-272.77,-271.66,-271.78,-272.9,-272.74,-271.68,-271.8,-271.58,-271.58,-272.29,-272.29
2,-36.308,-37.877,-36.084,-35.482,-36.383,-36.899,-36.617,-36.353,-36.58,-36.779,-36.315,-36.465,-36.8,-36.884,-36.571,-36.619,-36.514,-36.514,-36.489,-36.489
3,-0.53601,-0.66505,-0.55973,-0.59169,-0.59439,-0.60054,-0.59904,-0.58832,-0.59297,-0.6006,-0.58894,-0.5895,-0.59542,-0.6075,-0.58788,-0.59063,-0.59256,-0.59256,-0.58798,-0.58798
4,-0.0005773,-0.00076722,-0.00059392,-0.00064192,-0.00064821,-0.00065714,-0.00064747,-0.00065038,-0.00065585,-0.0006563,-0.00064871,-0.00064496,-0.00065672,-0.00067097,-0.00064225,-0.0006415,-0.00065421,-0.00065421,-0.00064356,-0.00064356
5,2.2936,2.2215,2.013,2.0769,2.1045,2.1074,2.0938,2.0752,2.0871,2.0798,2.0717,2.0738,2.0837,2.0709,2.0766,2.0885,2.0793,2.0793,2.083,2.083
6,1.2343,1.289,1.369,1.2898,1.3139,1.3199,1.3146,1.326,1.3057,1.3289,1.3296,1.3289,1.3181,1.3369,1.3279,1.3169,1.3259,1.3259,1.322,1.322
7,0.048917,0.048367,0.039262,0.042769,0.043226,0.046284,0.045457,0.041593,0.043099,0.043142,0.04181,0.043816,0.044052,0.043005,0.043896,0.04417,0.044603,0.044603,0.044656,0.044656
8,0.004996,0.005245,0.008672,0.006826,0.0076252,0.0057692,0.0056856,0.0075931,0.0068764,0.0068292,0.0075175,0.0065248,0.006455,0.0069239,0.0066021,0.0064384,0.0063234,0.0063234,0.006232,0.006232
9,-3.1356e-05,-2.3006e-05,-1.1404e-05,-5.0173e-06,-4.1148e-05,-2.6998e-05,-9.9891e-06,-8.9078e-06,-1.158e-05,-1.0203e-05,-1.5304e-05,-7.7297e-06,-1.3566e-05,-6.6209e-06,-1.7694e-05,-1.7044e-05,-1.777e-05,-1.777e-05,-1.6587e-05,-1.6587e-05
10,3.7655e-06,-1.1679e-05,-3.8238e-06,,-4.4805e-07,3.4841e-06,1.7146e-06,,2.3967e-06,2.2059e-06,1.7465e-06,1.4811e-06,1.1438e-06,9.9561e-07,8.938e-07,1.1753e-06,3.204e-06,3.204e-06,2.0019e-06,2.0019e-06
11,,-6.3319e-07,,,,,,,,,,,,,,,,,,
