,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,936.53,928.37,932.38,928.37,929.24,929.24,928.32,930.61,930.23,930.23,929.75,929.75,931.03,931.03,929.92,929.37,929.51,930.05,929.67,929.67
1,-956.68,-950.88,-954.46,-950.88,-951.75,-951.75,-950.81,-952.88,-952.59,-952.59,-952.2,-952.2,-953.37,-953.37,-952.42,-951.87,-951.88,-952.43,-952.19,-952.19
2,-38.201,-36.381,-37.115,-36.381,-36.462,-36.462,-36.464,-36.649,-36.552,-36.552,-36.488,-36.488,-36.613,-36.613,-36.425,-36.426,-36.562,-36.541,-36.409,-36.409
3,-0.83428,-0.78617,-0.79308,-0.78617,-0.78996,-0.78996,-0.78914,-0.79202,-0.78892,-0.78892,-0.78801,-0.78801,-0.78717,-0.78717,-0.78568,-0.78435,-0.78956,-0.78885,-0.78745,-0.78745
4,-0.011707,-0.0093532,-0.014924,-0.0093532,-0.0084905,-0.0084905,-0.008285,-0.0091667,-0.0088998,-0.0088998,-0.0088869,-0.0088869,-0.0092193,-0.0092193,-0.008638,-0.0088207,-0.0090636,-0.0089434,-0.0085948,-0.0085948
5,3.0587,2.6408,2.8017,2.6408,2.6917,2.6917,2.7122,2.6952,2.6663,2.6663,2.6792,2.6792,2.6935,2.6935,2.6692,2.689,2.6816,2.6822,2.6826,2.6826
6,0.066784,0.048643,0.049542,0.048643,0.049739,0.049739,0.050676,0.049631,0.048907,0.048907,0.049492,0.049492,0.050621,0.050621,0.049322,0.048542,0.049868,0.048793,0.04902,0.04902
7,0.028384,0.0259,0.026882,0.0259,0.026491,0.026491,0.026803,0.026648,0.026324,0.026324,0.026429,0.026429,0.026615,0.026615,0.026412,0.026324,0.026489,0.026346,0.026388,0.026388
8,0.0026619,-0.00036255,-0.00042325,-0.00036255,-0.00028624,-0.00028624,-0.00035216,-0.00043511,-0.00027218,-0.00027218,-0.00026934,-0.00026934,-0.00045106,-0.00045106,-0.00030425,-0.00049676,-0.00030722,-0.00049839,-0.00027569,-0.00027569
9,0.00064163,0.00010562,0.00022758,0.00010562,2.5292e-05,2.5292e-05,0.00016776,0.00022422,1.1503e-05,1.1503e-05,1.3534e-05,1.3534e-05,0.00024383,0.00024383,4.9544e-05,0.00028478,5.2555e-05,0.00028856,1.7089e-05,1.7089e-05
10,-0.00023628,1.5948e-06,5.773e-05,1.5949e-06,1.5689e-05,1.5689e-05,-4.1752e-07,-8.1137e-06,2.3627e-05,2.3627e-05,1.6932e-05,1.6932e-05,-2.967e-06,-2.967e-06,2.1076e-06,2.1112e-06,1.9514e-06,-4.0542e-08,1.2004e-05,1.2004e-05
11,0.00024324,2.7097e-05,-2.5766e-05,2.7096e-05,1.4658e-05,1.4658e-05,2.1076e-05,2.7825e-05,6.2012e-06,6.2012e-06,1.0852e-05,1.0852e-05,2.7321e-05,2.7321e-05,2.4416e-05,2.0967e-05,2.4596e-05,2.3054e-05,1.5586e-05,1.5586e-05
12,8.2471e-06,1.6561e-06,1.6058e-05,1.6565e-06,1.6136e-07,1.6136e-07,6.2043e-06,1.542e-06,-4.0467e-07,-4.0467e-07,-3.3368e-07,-3.3368e-07,1.1161e-06,1.1161e-06,1.5062e-06,9.09e-07,8.8139e-07,5.2356e-07,7.5225e-07,7.5225e-07
13,-4.2084e-06,-1.8368e-06,5.865e-07,-1.8366e-06,-1.953e-06,-1.953e-06,,,,,,,,,-9.7328e-07,,,,,
14,,-5.6445e-08,,-5.6183e-08,-2.9642e-08,-2.9642e-08,,,,,,,,,,,,,,
