,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,713.35,738.05,738.61,724.42,722.53,727.21,730.11,728.32,729.91,734.53,727.33,730.1,726.65,728.45,729.88,729.92,728.28,729.2,727.86,728.72
1,-767.24,-802.89,-801.69,-788.18,-785.73,-789.58,-794.21,-790.86,-792.25,-797.09,-790.14,-793.1,-789.64,-791.44,-792.95,-792.37,-791.03,-791.94,-790.72,-791.64
2,-93.872,-87.884,-89.798,-88.97,-89.262,-90.12,-88.597,-89.95,-90.126,-89.965,-89.663,-89.506,-89.479,-89.495,-89.44,-90.012,-89.727,-89.763,-89.617,-89.574
3,-6.0694,-4.623,-4.7127,-4.7824,-5.0172,-4.9823,-4.7738,-4.9674,-4.975,-4.9401,-4.9684,-4.9438,-4.9782,-4.969,-4.9453,-4.9976,-4.9836,-4.9612,-4.9837,-4.9709
4,-0.19745,-0.17813,-0.17871,-0.18031,-0.18726,-0.18566,-0.17701,-0.18577,-0.18614,-0.18496,-0.1865,-0.1862,-0.18869,-0.18631,-0.18658,-0.18828,-0.18719,-0.18636,-0.18786,-0.1868
5,6.0924,6.778,6.6999,6.4465,6.5748,6.5681,6.5888,6.5816,6.597,6.5816,6.5636,6.5501,6.5625,6.5798,6.5819,6.5732,6.5789,6.5798,6.5752,6.5743
6,1.7098,2.1297,2.0731,2.1184,2.2006,2.1558,2.1506,2.1556,2.1482,2.1413,2.1485,2.153,2.1657,2.1402,2.1405,2.1541,2.1524,2.153,2.1529,2.1599
7,0.064424,0.018659,0.020605,0.028427,0.023238,0.024756,0.025098,0.02621,0.024122,0.026087,0.024606,0.026542,0.024119,0.027338,0.026085,0.025637,0.026102,0.024778,0.024775,0.02439
8,0.0049556,0.0082683,0.0069862,0.0033714,0.0045654,0.0040099,0.0029258,0.0029343,0.0034783,0.0027293,0.0031961,0.0026757,0.0033663,0.0020165,0.0024777,0.002766,0.0025732,0.0031296,0.0030913,0.0034081
9,0.0028105,0.0015198,0.00079355,0.00038879,0.00019118,0.00020609,0.00016426,-4.037e-05,5.9837e-06,-2.3957e-05,-9.7164e-06,-5.7388e-05,0.00013439,-4.0223e-05,-3.6165e-05,-6.7824e-05,-0.00010221,-6.1641e-05,-0.00010676,-9.0194e-05
10,0.00017833,-0.00012044,-6.1533e-05,-9.7106e-05,-0.00014032,-0.00010563,-0.00010946,-0.00013044,-0.00012531,-0.00012787,-0.00011879,-0.00012081,-9.9633e-05,-0.00011542,-0.00010949,-0.00010879,-9.1968e-05,-0.00011212,-8.7205e-05,-9.9601e-05
11,-5.4341e-05,-1.3789e-05,-5.9522e-05,-3.2998e-05,-2.9572e-05,-4.1807e-05,-2.1274e-05,5.9524e-08,-3.0348e-06,-1.8301e-06,-1.2227e-05,-7.1464e-07,-1.2301e-05,-2.5325e-06,-4.107e-06,-1.5822e-06,3.834e-06,1.0014e-06,5.0023e-06,1.3364e-06
12,-6.7145e-06,9.3408e-07,1.9517e-06,3.2782e-06,1.8002e-05,8.6219e-06,7.9615e-06,,,,7.4311e-06,,7.7561e-06,,,,,,,
13,,,,,1.9984e-06,,,,,,,,,,,,,,,
