,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,8.0246,8.8421,9.0386,9.308,9.3767,8.5121,9.3973,8.5183,9.1638,9.0721,9.1971,9.054,9.1054,9.2376,9.3435,8.9887,9.1158,9.0752,9.1148,9.012
1,-27.434,-28.105,-28.093,-28.478,-28.462,-27.745,-28.533,-27.731,-28.297,-28.217,-28.371,-28.229,-28.273,-28.374,-28.468,-28.155,-28.29,-28.237,-28.286,-28.19
2,-1.3406,-1.3004,-1.5451,-1.41,-1.5182,-1.4051,-1.511,-1.4141,-1.4955,-1.4965,-1.4625,-1.4586,-1.4628,-1.4935,-1.5092,-1.4672,-1.4575,-1.4705,-1.4615,-1.4556
3,-0.0029295,-0.0025028,-0.0039755,-0.0030784,-0.0038837,-0.0031325,-0.0036259,-0.0033461,-0.0035316,-0.0034902,-0.0033277,-0.0034757,-0.003415,-0.0035188,-0.0037223,-0.0034482,-0.0033483,-0.0034724,-0.00341,-0.00338
4,-1.281e-07,-7.3878e-08,-1.6403e-07,-1.0409e-07,-1.4635e-07,-1.1171e-07,-1.355e-07,-1.2506e-07,-1.2644e-07,-1.2345e-07,-1.225e-07,-1.2745e-07,-1.2443e-07,-1.3067e-07,-1.4058e-07,-1.2741e-07,-1.2334e-07,-1.2624e-07,-1.2616e-07,-1.2466e-07
5,2.6577,2.6573,2.5721,2.5507,2.5605,2.609,2.6154,2.5986,2.592,2.597,2.6037,2.6069,2.5932,2.5966,2.5998,2.5972,2.5969,2.5964,2.5976,2.5992
6,0.17042,0.13867,0.1042,0.098929,0.1394,0.14211,0.13202,0.13293,0.13283,0.13317,0.12665,0.12805,0.1273,0.12486,0.13167,0.13101,0.12803,0.13035,0.12953,0.12766
7,0.025554,0.024869,0.022602,0.022521,0.02241,0.021377,0.020298,0.020442,0.021555,0.023075,0.020977,0.02007,0.022156,0.021488,0.020349,0.022451,0.02166,0.020782,0.020749,0.021939
8,0.0029006,0.0027615,3.7204e-05,-3.8969e-05,0.00056806,0.0019406,0.0015799,0.0017274,0.00097257,-3.2241e-05,0.00096568,0.0019532,0.00027255,0.00064088,0.001854,0.00027995,0.00065095,0.001457,0.0013898,0.00045749
9,2.9268e-05,-6.7321e-05,1.0164e-05,0.00012034,9.7927e-05,0.00011181,0.00010869,0.00017064,0.00015046,0.00014654,0.00016355,0.00013976,0.0001475,0.00016523,0.00015699,0.00017644,0.00016538,0.00015162,0.00015756,0.00016026
10,1.4994e-05,1.0644e-05,1.4571e-05,1.4107e-05,3.981e-06,2.1508e-05,6.8447e-06,3.6206e-06,6.3469e-06,1.6448e-06,6.1854e-06,1.1601e-05,3.9353e-06,2.4797e-06,7.3771e-06,3.8468e-06,5.088e-06,4.5023e-06,3.8326e-06,2.584e-06
11,5.7833e-06,1.8278e-05,6.152e-07,1.2406e-05,,2.8641e-05,,,,,,7.9382e-06,,,,,,,,
12,,3.2597e-06,,2.4173e-06,,-3.7758e-07,,,,,,,,,,,,,,
