,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,84.822,85.424,87.782,86.195,87.539,87.55,86.806,87.74,87.368,87.763,87.123,87.69,87.349,87.69,87.172,87.378,87.255,87.501,87.132,87.457
1,-160.97,-161.7,-164.74,-163.03,-164.33,-164.38,-163.63,-164.58,-164.2,-164.59,-163.97,-164.53,-164.21,-164.53,-164.03,-164.22,-164.12,-164.36,-163.98,-164.29
2,-5.322,-5.2224,-5.1361,-5.2759,-5.3312,-5.3286,-5.3109,-5.3258,-5.3126,-5.3344,-5.3121,-5.3297,-5.3019,-5.3297,-5.3086,-5.3252,-5.3029,-5.313,-5.3155,-5.3319
3,-0.018329,-0.017952,-0.017589,-0.017999,-0.018619,-0.018266,-0.01853,-0.0182,-0.018377,-0.018344,-0.01821,-0.018386,-0.018338,-0.018386,-0.018219,-0.018407,-0.018248,-0.018318,-0.01835,-0.01838
4,-8.4539e-05,-8.4136e-05,-8.2477e-05,-8.3885e-05,-8.54e-05,-8.4728e-05,-8.5559e-05,-8.4835e-05,-8.5463e-05,-8.4885e-05,-8.4356e-05,-8.5465e-05,-8.4923e-05,-8.5464e-05,-8.4497e-05,-8.5414e-05,-8.4453e-05,-8.5001e-05,-8.4891e-05,-8.516e-05
5,2.8769,2.9497,2.9933,2.9747,2.9568,2.9555,2.945,2.9538,2.9607,2.9572,2.9528,2.9537,2.9588,2.9537,2.9527,2.9531,2.9538,2.9517,2.9518,2.9541
6,1.0627,1.1356,1.166,1.1903,1.1971,1.1638,1.1499,1.1682,1.1504,1.1518,1.1525,1.1599,1.1546,1.1599,1.1615,1.1614,1.1614,1.1621,1.1621,1.1588
7,0.006266,0.0032196,0.0039801,0.0028891,0.003056,-0.0042363,0.0011075,0.0037502,-0.0079817,-0.0026761,0.0011043,0.0013389,0.0008746,0.0013389,0.00014305,0.00096647,0.0014658,0.0012663,0.00097848,-0.00086685
8,0.00010429,0.0078006,0.0026723,0.0027649,0.002157,0.0095294,0.0040764,0.0012767,0.013804,0.0078175,0.0037777,0.00346,0.0042438,0.00346,0.0047617,0.0038881,0.0033883,0.0035088,0.0038022,0.0058385
9,2.4474e-05,0.00079939,1.6586e-05,-4.2072e-05,-1.8141e-05,-7.8949e-05,-3.1535e-05,-2.0602e-05,-0.00011549,-7.5089e-05,-3.641e-05,-2.5324e-05,-3.3539e-05,-2.5324e-05,-4.2953e-05,-2.4623e-05,-2.245e-05,-1.9158e-05,-2.4535e-05,-4.5066e-05
10,8.9704e-06,1.3883e-06,1.0646e-05,3.9299e-06,3.7711e-06,1.4152e-05,3.761e-06,2.829e-06,1.407e-05,1.0643e-05,5.8328e-06,5.1204e-06,6.2087e-06,5.1211e-06,6.9164e-06,6.0218e-06,5.4822e-06,4.3462e-06,5.9569e-06,7.714e-06
11,,,4.9509e-06,,,2.3485e-06,,1.6475e-06,-9.9011e-08,3.7765e-06,,1.192e-06,,1.192e-06,,9.6706e-07,,,,1.5984e-06
12,,,,,,-1.6053e-06,,-2.3671e-07,,-1.7225e-06,,-1.1662e-06,,-1.1669e-06,,,,,,-1.6685e-06
13,,,,,,-3.3297e-07,,,,-3.1718e-07,,-2.3533e-07,,-2.3563e-07,,,,,,-3.4717e-07
