,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,616.22,618.11,623.46,617.16,619.79,623.71,619.55,622.26,620.61,620.68,622.03,621.04,622.07,621.4,621.98,621.59,621.36,620.51,620.71,621.86
1,-626.81,-626.23,-630.02,-622.44,-625.23,-628.95,-624.98,-627.92,-626.31,-626.28,-627.72,-626.48,-627.65,-627.04,-627.74,-627.33,-626.97,-626.41,-626.34,-627.51
2,-63.682,-64.149,-65.162,-66.432,-66.172,-66.322,-66.16,-65.908,-65.871,-66.015,-65.967,-66.109,-66.049,-65.955,-65.893,-65.896,-66.009,-65.765,-65.986,-65.951
3,-7.262,-7.1804,-7.7898,-7.8264,-7.8364,-7.8915,-7.8618,-7.8541,-7.8598,-7.8317,-7.8035,-7.9015,-7.8196,-7.8488,-7.782,-7.8095,-7.8319,-7.7784,-7.8248,-7.8386
4,-0.48394,-0.48362,-0.53765,-0.55655,-0.57004,-0.5628,-0.561,-0.57253,-0.56469,-0.553,-0.55296,-0.55974,-0.55894,-0.56083,-0.55851,-0.55609,-0.55469,-0.55985,-0.56029,-0.55932
5,2.1283,2.1327,2.1022,2.1277,2.1244,2.1263,2.1253,2.1237,2.1236,2.1237,2.125,2.1244,2.1247,2.1228,2.1231,2.1234,2.1234,2.1233,2.1235,2.1232
6,0.49923,0.54829,0.54033,0.5511,0.55135,0.55176,0.54841,0.55024,0.54928,0.54976,0.55144,0.5517,0.55273,0.55138,0.55163,0.55165,0.55165,0.55163,0.55128,0.55172
7,-0.034221,-0.045068,-0.034171,-0.039967,-0.037013,-0.041242,-0.039242,-0.040862,-0.038441,-0.040242,-0.040611,-0.039945,-0.041821,-0.039552,-0.0403,-0.039731,-0.040153,-0.04001,-0.039673,-0.040339
8,-0.011272,0.006372,-0.0022711,0.00047377,-0.0021107,0.0018648,-0.00078733,0.0013868,-0.00048746,-0.00015755,0.00085522,0.0005174,0.0015048,-9.2559e-05,0.0002901,0.00011023,0.0003993,0.00041065,8.3975e-05,0.00055077
9,0.0082923,0.0020166,0.003042,0.0031166,0.0036759,0.0029586,0.0038679,0.0035398,0.0035747,0.0039949,0.0036832,0.0038919,0.0034627,0.0035967,0.0037153,0.0036763,0.0035208,0.0034842,0.0035898,0.0035744
10,0.00045591,0.0022691,0.0010105,0.0019824,0.0017882,0.0017468,0.0022608,0.0020565,0.0021766,0.0021787,0.0021321,0.0018726,0.0024014,0.0023094,0.0022791,0.0022373,0.002347,0.0022784,0.0022379,0.0022609
11,0.00050694,0.00011857,-3.8887e-05,-6.5798e-05,-4.678e-05,-3.4768e-05,-3.9018e-05,-3.7299e-05,-2.6612e-05,-4.0675e-05,-1.2814e-05,-3.3248e-05,-3.635e-05,-4.1568e-05,-2.9531e-05,-3.946e-05,-3.1509e-05,-2.1184e-05,-3.1997e-05,-3.852e-05
12,4.856e-05,-7.4822e-06,1.1231e-05,1.3546e-05,5.9444e-06,6.2097e-06,1.1312e-05,6.3836e-06,1.0007e-05,8.6621e-06,6.617e-06,6.6256e-06,7.9798e-06,9.5665e-06,8.6069e-06,8.7796e-06,8.6106e-06,8.8157e-06,9.5755e-06,9.4536e-06
13,1.8006e-05,2.5967e-06,1.7687e-05,1.0753e-05,,,9.9676e-06,,8.9419e-06,,,,,,,,,,,
14,3.8046e-06,,2.3196e-06,5.6248e-06,,,,,,,,,,,,,,,,
