,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,782.47,768.56,773.41,773.41,780.54,777.0,777.0,778.68,778.3,778.3,778.36,776.63,778.07,778.07,777.79,776.77
1,-782.1,-763.71,-769.04,-769.04,-776.33,-772.64,-772.64,-774.47,-773.7,-773.7,-773.31,-771.49,-773.47,-773.47,-773.1,-772.6
2,-80.955,-85.086,-84.717,-84.717,-84.553,-84.76,-84.76,-84.599,-84.952,-84.952,-85.269,-85.259,-84.916,-84.916,-84.962,-84.571
3,-11.06,-12.217,-12.021,-12.021,-12.042,-11.976,-11.976,-11.976,-12.021,-12.021,-12.134,-12.235,-12.056,-12.056,-12.085,-11.971
4,-0.91587,-0.9442,-0.95498,-0.95498,-0.95926,-0.94418,-0.94418,-0.95199,-0.95622,-0.95622,-0.96988,-0.97603,-0.95823,-0.95823,-0.9647,-0.95478
5,2.3642,2.4669,2.4791,2.4791,2.4713,2.4728,2.4728,2.4718,2.4738,2.4738,2.474,2.4737,2.4734,2.4734,2.4733,2.4735
6,0.55577,0.629,0.64165,0.64165,0.63992,0.63766,0.63766,0.63555,0.63595,0.63595,0.63522,0.63603,0.63611,0.63611,0.63663,0.63651
7,-0.04548,-0.038181,-0.040721,-0.040721,-0.040255,-0.039859,-0.039859,-0.040175,-0.040353,-0.040353,-0.039821,-0.039684,-0.039921,-0.039921,-0.039982,-0.040227
8,0.0088035,-0.01579,-0.032305,-0.032305,-0.031297,-0.035184,-0.035184,-0.029223,-0.021919,-0.021919,-0.033675,-0.02972,-0.026989,-0.026989,-0.01666,-0.03028
9,-0.0073574,0.0096095,0.02598,0.02598,0.024554,0.027984,0.027984,0.021443,0.014824,0.014824,0.026153,0.021959,0.019441,0.019441,0.0095905,0.023125
10,0.0033346,0.0037648,0.0049149,0.0049149,0.0047169,0.0052175,0.0052175,0.0055791,0.0051042,0.0051042,0.0053178,0.005459,0.005366,0.005366,0.0048152,0.0052315
11,0.00026672,-0.00010557,-0.00016999,-0.00016999,-0.00017669,-0.00019543,-0.00019543,-0.00018747,-0.00014849,-0.00014849,-0.00018689,-0.000178,-0.00016571,-0.00016571,-0.00011044,-0.00018365
12,1.2662e-05,4.2133e-06,6.1778e-06,6.1778e-06,8.0331e-06,6.3093e-06,6.3093e-06,1.1443e-05,2.9994e-06,2.9994e-06,5.4813e-06,7.1215e-06,4.9145e-06,4.9145e-06,5.7093e-06,4.5425e-06
13,2.8214e-05,,,,,,,2.0951e-05,,,,,,,,
14,3.0111e-06,,,,,,,1.3507e-05,,,,,,,,
15,,,,,,,,-7.1667e-07,,,,,,,,
